Script started!
Using device: cuda
Loading data with k=2, batch_size=512...
Starting training for up to 15 epochs...
Epoch 001 | 18.4s | Train Loss: 0.4449 | Val Loss: 0.2042 | Val Prec: 0.5340 | Val Rec: 0.1951
Epoch 002 | 17.9s | Train Loss: 0.2768 | Val Loss: 0.1789 | Val Prec: 0.4981 | Val Rec: 0.3739
Epoch 003 | 17.9s | Train Loss: 0.2402 | Val Loss: 0.1713 | Val Prec: 0.4949 | Val Rec: 0.5079
Epoch 004 | 18.2s | Train Loss: 0.2283 | Val Loss: 0.1681 | Val Prec: 0.4925 | Val Rec: 0.5716
Epoch 005 | 18.0s | Train Loss: 0.2227 | Val Loss: 0.1671 | Val Prec: 0.4877 | Val Rec: 0.6188
Epoch 006 | 17.9s | Train Loss: 0.2185 | Val Loss: 0.1628 | Val Prec: 0.4905 | Val Rec: 0.6389
Epoch 007 | 18.2s | Train Loss: 0.2158 | Val Loss: 0.1630 | Val Prec: 0.4930 | Val Rec: 0.6500
Epoch 008 | 17.8s | Train Loss: 0.2139 | Val Loss: 0.1607 | Val Prec: 0.4912 | Val Rec: 0.6641
Epoch 009 | 18.1s | Train Loss: 0.2127 | Val Loss: 0.1570 | Val Prec: 0.4936 | Val Rec: 0.6588
Epoch 010 | 17.8s | Train Loss: 0.2121 | Val Loss: 0.1569 | Val Prec: 0.4928 | Val Rec: 0.6725
Epoch 011 | 18.2s | Train Loss: 0.2108 | Val Loss: 0.1576 | Val Prec: 0.4926 | Val Rec: 0.6766
Epoch 012 | 18.0s | Train Loss: 0.2110 | Val Loss: 0.1548 | Val Prec: 0.4981 | Val Rec: 0.6717
Epoch 013 | 18.0s | Train Loss: 0.2095 | Val Loss: 0.1536 | Val Prec: 0.4987 | Val Rec: 0.6764
Epoch 014 | 18.1s | Train Loss: 0.2091 | Val Loss: 0.1584 | Val Prec: 0.4942 | Val Rec: 0.6867
Epoch 015 | 18.2s | Train Loss: 0.2100 | Val Loss: 0.1595 | Val Prec: 0.4940 | Val Rec: 0.6891
Plots saved to 2026-03-07_investigation_of_2026-02-28_results/plots
