Terminated

ERROR conda.cli.main_run:execute(127): `conda run python3 2026-03-07_investigation_of_2026-02-28_results/train_final_large.py` failed. (See above for error)
Starting LARGE training: 500000 events, 80 epochs, k=2
Epoch 001 | T-Loss: 0.1743 | V-Loss: 0.1365 | Prec: 0.6292 | Rec: 0.3952 | P@R0.9: 0.3284
Epoch 002 | T-Loss: 0.1361 | V-Loss: 0.1364 | Prec: 0.6579 | Rec: 0.3438 | P@R0.9: 0.3292
Epoch 003 | T-Loss: 0.1345 | V-Loss: 0.1334 | Prec: 0.6553 | Rec: 0.3936 | P@R0.9: 0.3357
Epoch 004 | T-Loss: 0.1333 | V-Loss: 0.1323 | Prec: 0.6611 | Rec: 0.4000 | P@R0.9: 0.3388
Epoch 005 | T-Loss: 0.1321 | V-Loss: 0.1318 | Prec: 0.6615 | Rec: 0.4034 | P@R0.9: 0.3400
Epoch 006 | T-Loss: 0.1315 | V-Loss: 0.1312 | Prec: 0.6597 | Rec: 0.4085 | P@R0.9: 0.3428
Epoch 007 | T-Loss: 0.1313 | V-Loss: 0.1308 | Prec: 0.6552 | Rec: 0.4234 | P@R0.9: 0.3445
Epoch 008 | T-Loss: 0.1306 | V-Loss: 0.1303 | Prec: 0.6591 | Rec: 0.4162 | P@R0.9: 0.3464
Epoch 009 | T-Loss: 0.1306 | V-Loss: 0.1301 | Prec: 0.6592 | Rec: 0.4133 | P@R0.9: 0.3471
Epoch 010 | T-Loss: 0.1301 | V-Loss: 0.1307 | Prec: 0.6544 | Rec: 0.4170 | P@R0.9: 0.3459
Epoch 011 | T-Loss: 0.1301 | V-Loss: 0.1303 | Prec: 0.6562 | Rec: 0.4189 | P@R0.9: 0.3485
Epoch 012 | T-Loss: 0.1299 | V-Loss: 0.1297 | Prec: 0.6541 | Rec: 0.4268 | P@R0.9: 0.3488
Epoch 013 | T-Loss: 0.1298 | V-Loss: 0.1323 | Prec: 0.6484 | Rec: 0.4359 | P@R0.9: 0.3493
Epoch 014 | T-Loss: 0.1296 | V-Loss: 0.1295 | Prec: 0.6516 | Rec: 0.4366 | P@R0.9: 0.3499
Epoch 015 | T-Loss: 0.1296 | V-Loss: 0.1313 | Prec: 0.6450 | Rec: 0.4484 | P@R0.9: 0.3503
Epoch 016 | T-Loss: 0.1295 | V-Loss: 0.1299 | Prec: 0.6533 | Rec: 0.4295 | P@R0.9: 0.3486
Epoch 017 | T-Loss: 0.1294 | V-Loss: 0.1292 | Prec: 0.6560 | Rec: 0.4278 | P@R0.9: 0.3506
Epoch 018 | T-Loss: 0.1291 | V-Loss: 0.1291 | Prec: 0.6503 | Rec: 0.4458 | P@R0.9: 0.3510
Epoch 019 | T-Loss: 0.1290 | V-Loss: 0.1291 | Prec: 0.6539 | Rec: 0.4361 | P@R0.9: 0.3508
Epoch 020 | T-Loss: 0.1290 | V-Loss: 0.1290 | Prec: 0.6587 | Rec: 0.4270 | P@R0.9: 0.3518
Epoch 021 | T-Loss: 0.1289 | V-Loss: 0.1288 | Prec: 0.6528 | Rec: 0.4430 | P@R0.9: 0.3523
Epoch 022 | T-Loss: 0.1288 | V-Loss: 0.1291 | Prec: 0.6510 | Rec: 0.4488 | P@R0.9: 0.3519
Epoch 023 | T-Loss: 0.1287 | V-Loss: 0.1288 | Prec: 0.6567 | Rec: 0.4370 | P@R0.9: 0.3525
Epoch 024 | T-Loss: 0.1286 | V-Loss: 0.1292 | Prec: 0.6537 | Rec: 0.4392 | P@R0.9: 0.3513
Epoch 025 | T-Loss: 0.1286 | V-Loss: 0.1286 | Prec: 0.6575 | Rec: 0.4361 | P@R0.9: 0.3529
Epoch 026 | T-Loss: 0.1285 | V-Loss: 0.1287 | Prec: 0.6576 | Rec: 0.4391 | P@R0.9: 0.3531
Epoch 027 | T-Loss: 0.1284 | V-Loss: 0.1285 | Prec: 0.6578 | Rec: 0.4395 | P@R0.9: 0.3537
Epoch 028 | T-Loss: 0.1284 | V-Loss: 0.1284 | Prec: 0.6562 | Rec: 0.4436 | P@R0.9: 0.3533
Epoch 029 | T-Loss: 0.1283 | V-Loss: 0.1285 | Prec: 0.6500 | Rec: 0.4595 | P@R0.9: 0.3531
Epoch 030 | T-Loss: 0.1282 | V-Loss: 0.1282 | Prec: 0.6529 | Rec: 0.4541 | P@R0.9: 0.3548
Epoch 031 | T-Loss: 0.1281 | V-Loss: 0.1282 | Prec: 0.6532 | Rec: 0.4538 | P@R0.9: 0.3547
Epoch 032 | T-Loss: 0.1281 | V-Loss: 0.1282 | Prec: 0.6534 | Rec: 0.4546 | P@R0.9: 0.3545
Epoch 033 | T-Loss: 0.1280 | V-Loss: 0.1284 | Prec: 0.6667 | Rec: 0.4236 | P@R0.9: 0.3549
Epoch 034 | T-Loss: 0.1280 | V-Loss: 0.1281 | Prec: 0.6572 | Rec: 0.4470 | P@R0.9: 0.3554
Epoch 035 | T-Loss: 0.1280 | V-Loss: 0.1280 | Prec: 0.6603 | Rec: 0.4405 | P@R0.9: 0.3553
Epoch 036 | T-Loss: 0.1280 | V-Loss: 0.1281 | Prec: 0.6547 | Rec: 0.4537 | P@R0.9: 0.3560
Epoch 037 | T-Loss: 0.1279 | V-Loss: 0.1280 | Prec: 0.6570 | Rec: 0.4494 | P@R0.9: 0.3557
Epoch 038 | T-Loss: 0.1279 | V-Loss: 0.1279 | Prec: 0.6581 | Rec: 0.4471 | P@R0.9: 0.3561
