Starting FINAL training: 100000 events, 40 epochs, k=2, EQUAL WEIGHTS
Epoch 001 | T-Loss: 0.2860 | V-Loss: 0.1750 | Prec: 0.5771 | Rec: 0.1708 | P@R0.9: 0.2658
Epoch 002 | T-Loss: 0.1619 | V-Loss: 0.1513 | Prec: 0.5832 | Rec: 0.2468 | P@R0.9: 0.3046
Epoch 003 | T-Loss: 0.1483 | V-Loss: 0.1437 | Prec: 0.6075 | Rec: 0.2974 | P@R0.9: 0.3119
Epoch 004 | T-Loss: 0.1417 | V-Loss: 0.1382 | Prec: 0.6292 | Rec: 0.3664 | P@R0.9: 0.3229
Epoch 005 | T-Loss: 0.1378 | V-Loss: 0.1361 | Prec: 0.6463 | Rec: 0.3752 | P@R0.9: 0.3269
Epoch 006 | T-Loss: 0.1366 | V-Loss: 0.1359 | Prec: 0.6500 | Rec: 0.3786 | P@R0.9: 0.3291
Epoch 007 | T-Loss: 0.1372 | V-Loss: 0.1349 | Prec: 0.6463 | Rec: 0.3928 | P@R0.9: 0.3310
Epoch 008 | T-Loss: 0.1357 | V-Loss: 0.1343 | Prec: 0.6533 | Rec: 0.3809 | P@R0.9: 0.3328
Epoch 009 | T-Loss: 0.1351 | V-Loss: 0.1346 | Prec: 0.6547 | Rec: 0.3735 | P@R0.9: 0.3318
Epoch 010 | T-Loss: 0.1352 | V-Loss: 0.1338 | Prec: 0.6539 | Rec: 0.3883 | P@R0.9: 0.3338
Epoch 011 | T-Loss: 0.1349 | V-Loss: 0.1335 | Prec: 0.6572 | Rec: 0.3838 | P@R0.9: 0.3345
Epoch 012 | T-Loss: 0.1350 | V-Loss: 0.1334 | Prec: 0.6600 | Rec: 0.3829 | P@R0.9: 0.3346
Epoch 013 | T-Loss: 0.1346 | V-Loss: 0.1333 | Prec: 0.6611 | Rec: 0.3805 | P@R0.9: 0.3348
Epoch 014 | T-Loss: 0.1343 | V-Loss: 0.1330 | Prec: 0.6605 | Rec: 0.3832 | P@R0.9: 0.3358
Epoch 015 | T-Loss: 0.1345 | V-Loss: 0.1340 | Prec: 0.6671 | Rec: 0.3702 | P@R0.9: 0.3367
Epoch 016 | T-Loss: 0.1337 | V-Loss: 0.1327 | Prec: 0.6571 | Rec: 0.3933 | P@R0.9: 0.3374
Epoch 017 | T-Loss: 0.1333 | V-Loss: 0.1327 | Prec: 0.6591 | Rec: 0.3901 | P@R0.9: 0.3368
Epoch 018 | T-Loss: 0.1333 | V-Loss: 0.1323 | Prec: 0.6661 | Rec: 0.3855 | P@R0.9: 0.3380
Epoch 019 | T-Loss: 0.1341 | V-Loss: 0.1325 | Prec: 0.6562 | Rec: 0.3974 | P@R0.9: 0.3377
Epoch 020 | T-Loss: 0.1336 | V-Loss: 0.1320 | Prec: 0.6643 | Rec: 0.3929 | P@R0.9: 0.3387
Epoch 021 | T-Loss: 0.1337 | V-Loss: 0.1318 | Prec: 0.6634 | Rec: 0.3958 | P@R0.9: 0.3398
Epoch 022 | T-Loss: 0.1325 | V-Loss: 0.1320 | Prec: 0.6619 | Rec: 0.4001 | P@R0.9: 0.3400
Epoch 023 | T-Loss: 0.1328 | V-Loss: 0.1317 | Prec: 0.6576 | Rec: 0.4123 | P@R0.9: 0.3408
Epoch 024 | T-Loss: 0.1320 | V-Loss: 0.1313 | Prec: 0.6619 | Rec: 0.4060 | P@R0.9: 0.3412
Epoch 025 | T-Loss: 0.1320 | V-Loss: 0.1314 | Prec: 0.6674 | Rec: 0.3936 | P@R0.9: 0.3416
Epoch 026 | T-Loss: 0.1321 | V-Loss: 0.1312 | Prec: 0.6605 | Rec: 0.4084 | P@R0.9: 0.3423
Epoch 027 | T-Loss: 0.1321 | V-Loss: 0.1325 | Prec: 0.6658 | Rec: 0.3874 | P@R0.9: 0.3389
Epoch 028 | T-Loss: 0.1324 | V-Loss: 0.1309 | Prec: 0.6652 | Rec: 0.4045 | P@R0.9: 0.3426
Epoch 029 | T-Loss: 0.1314 | V-Loss: 0.1308 | Prec: 0.6628 | Rec: 0.4091 | P@R0.9: 0.3430
Epoch 030 | T-Loss: 0.1314 | V-Loss: 0.1323 | Prec: 0.6674 | Rec: 0.3853 | P@R0.9: 0.3400
Epoch 031 | T-Loss: 0.1328 | V-Loss: 0.1311 | Prec: 0.6660 | Rec: 0.4032 | P@R0.9: 0.3437
Epoch 032 | T-Loss: 0.1318 | V-Loss: 0.1306 | Prec: 0.6690 | Rec: 0.3977 | P@R0.9: 0.3441
Epoch 033 | T-Loss: 0.1312 | V-Loss: 0.1308 | Prec: 0.6584 | Rec: 0.4220 | P@R0.9: 0.3446
Epoch 034 | T-Loss: 0.1315 | V-Loss: 0.1304 | Prec: 0.6669 | Rec: 0.4056 | P@R0.9: 0.3449
Epoch 035 | T-Loss: 0.1313 | V-Loss: 0.1306 | Prec: 0.6601 | Rec: 0.4185 | P@R0.9: 0.3451
Epoch 036 | T-Loss: 0.1309 | V-Loss: 0.1303 | Prec: 0.6648 | Rec: 0.4075 | P@R0.9: 0.3449
Epoch 037 | T-Loss: 0.1313 | V-Loss: 0.1302 | Prec: 0.6680 | Rec: 0.3997 | P@R0.9: 0.3453
Epoch 038 | T-Loss: 0.1308 | V-Loss: 0.1308 | Prec: 0.6628 | Rec: 0.4104 | P@R0.9: 0.3459
Epoch 039 | T-Loss: 0.1308 | V-Loss: 0.1303 | Prec: 0.6621 | Rec: 0.4122 | P@R0.9: 0.3455
Epoch 040 | T-Loss: 0.1310 | V-Loss: 0.1299 | Prec: 0.6633 | Rec: 0.4127 | P@R0.9: 0.3464

