Starting OVERFIT experiment: 200000 events, 300 epochs, k=2
Epoch 001 | T-Loss: 0.1518 | V-Loss: 0.1516 | T-Prec: 0.5857 | V-Prec: 0.5887 | T-Rec: 0.2465 | V-Rec: 0.2510 | T-P@R0.9: 0.3022 | V-P@R0.9: 0.3074
Epoch 002 | T-Loss: 0.1382 | V-Loss: 0.1380 | T-Prec: 0.6233 | V-Prec: 0.6252 | T-Rec: 0.3797 | V-Rec: 0.3895 | T-P@R0.9: 0.3238 | V-P@R0.9: 0.3277
Epoch 003 | T-Loss: 0.1355 | V-Loss: 0.1354 | T-Prec: 0.6412 | V-Prec: 0.6436 | T-Rec: 0.3996 | V-Rec: 0.4086 | T-P@R0.9: 0.3288 | V-P@R0.9: 0.3321
Epoch 004 | T-Loss: 0.1350 | V-Loss: 0.1350 | T-Prec: 0.6501 | V-Prec: 0.6537 | T-Rec: 0.3874 | V-Rec: 0.3978 | T-P@R0.9: 0.3310 | V-P@R0.9: 0.3345
Epoch 005 | T-Loss: 0.1355 | V-Loss: 0.1360 | T-Prec: 0.6467 | V-Prec: 0.6499 | T-Rec: 0.3984 | V-Rec: 0.4073 | T-P@R0.9: 0.3317 | V-P@R0.9: 0.3357
Epoch 006 | T-Loss: 0.1358 | V-Loss: 0.1367 | T-Prec: 0.6501 | V-Prec: 0.6528 | T-Rec: 0.3959 | V-Rec: 0.4049 | T-P@R0.9: 0.3326 | V-P@R0.9: 0.3361
Epoch 007 | T-Loss: 0.1336 | V-Loss: 0.1335 | T-Prec: 0.6599 | V-Prec: 0.6633 | T-Rec: 0.3869 | V-Rec: 0.3948 | T-P@R0.9: 0.3339 | V-P@R0.9: 0.3383
Epoch 008 | T-Loss: 0.1330 | V-Loss: 0.1329 | T-Prec: 0.6634 | V-Prec: 0.6658 | T-Rec: 0.3888 | V-Rec: 0.3951 | T-P@R0.9: 0.3353 | V-P@R0.9: 0.3388
Epoch 009 | T-Loss: 0.1325 | V-Loss: 0.1323 | T-Prec: 0.6595 | V-Prec: 0.6624 | T-Rec: 0.4074 | V-Rec: 0.4150 | T-P@R0.9: 0.3367 | V-P@R0.9: 0.3406
Epoch 010 | T-Loss: 0.1327 | V-Loss: 0.1327 | T-Prec: 0.6594 | V-Prec: 0.6618 | T-Rec: 0.4113 | V-Rec: 0.4176 | T-P@R0.9: 0.3372 | V-P@R0.9: 0.3416
Epoch 011 | T-Loss: 0.1318 | V-Loss: 0.1316 | T-Prec: 0.6654 | V-Prec: 0.6683 | T-Rec: 0.4051 | V-Rec: 0.4122 | T-P@R0.9: 0.3384 | V-P@R0.9: 0.3422
