Device: cuda | Model: 3 layers, 512 channels | Events: 150000
Starting CAPACITY EXPANSION training...
Epoch 001 | T-Loss: 0.1470 | V-Loss: 0.1470 | T-Prec: 0.5733 | V-Prec: 0.5717 | T-Rec: 0.3033 | V-Rec: 0.3029 | T-P@R0.9: 0.3052 | V-P@R0.9: 0.3072
Epoch 002 | T-Loss: 0.1395 | V-Loss: 0.1429 | T-Prec: 0.6225 | V-Prec: 0.6204 | T-Rec: 0.4264 | V-Rec: 0.4275 | T-P@R0.9: 0.3294 | V-P@R0.9: 0.3310
Epoch 003 | T-Loss: 0.1366 | V-Loss: 0.1384 | T-Prec: 0.6457 | V-Prec: 0.6426 | T-Rec: 0.3855 | V-Rec: 0.3869 | T-P@R0.9: 0.3316 | V-P@R0.9: 0.3327
Epoch 004 | T-Loss: 0.1347 | V-Loss: 0.1349 | T-Prec: 0.6502 | V-Prec: 0.6467 | T-Rec: 0.3877 | V-Rec: 0.3892 | T-P@R0.9: 0.3315 | V-P@R0.9: 0.3324
Epoch 005 | T-Loss: 0.1343 | V-Loss: 0.1343 | T-Prec: 0.6553 | V-Prec: 0.6520 | T-Rec: 0.3804 | V-Rec: 0.3798 | T-P@R0.9: 0.3330 | V-P@R0.9: 0.3347
Epoch 006 | T-Loss: 0.1380 | V-Loss: 0.1414 | T-Prec: 0.6580 | V-Prec: 0.6552 | T-Rec: 0.3657 | V-Rec: 0.3669 | T-P@R0.9: 0.3334 | V-P@R0.9: 0.3347
Epoch 007 | T-Loss: 0.1339 | V-Loss: 0.1340 | T-Prec: 0.6551 | V-Prec: 0.6514 | T-Rec: 0.3890 | V-Rec: 0.3869 | T-P@R0.9: 0.3339 | V-P@R0.9: 0.3352
Epoch 008 | T-Loss: 0.1337 | V-Loss: 0.1341 | T-Prec: 0.6572 | V-Prec: 0.6537 | T-Rec: 0.3905 | V-Rec: 0.3881 | T-P@R0.9: 0.3337 | V-P@R0.9: 0.3347
Epoch 009 | T-Loss: 0.1329 | V-Loss: 0.1330 | T-Prec: 0.6718 | V-Prec: 0.6682 | T-Rec: 0.3737 | V-Rec: 0.3728 | T-P@R0.9: 0.3350 | V-P@R0.9: 0.3367
Epoch 010 | T-Loss: 0.1331 | V-Loss: 0.1340 | T-Prec: 0.6677 | V-Prec: 0.6649 | T-Rec: 0.3859 | V-Rec: 0.3856 | T-P@R0.9: 0.3362 | V-P@R0.9: 0.3379
Epoch 011 | T-Loss: 0.1328 | V-Loss: 0.1341 | T-Prec: 0.6664 | V-Prec: 0.6626 | T-Rec: 0.3902 | V-Rec: 0.3871 | T-P@R0.9: 0.3358 | V-P@R0.9: 0.3354
Epoch 012 | T-Loss: 0.1321 | V-Loss: 0.1324 | T-Prec: 0.6652 | V-Prec: 0.6620 | T-Rec: 0.4022 | V-Rec: 0.4005 | T-P@R0.9: 0.3379 | V-P@R0.9: 0.3396
Epoch 013 | T-Loss: 0.1318 | V-Loss: 0.1320 | T-Prec: 0.6638 | V-Prec: 0.6608 | T-Rec: 0.4080 | V-Rec: 0.4063 | T-P@R0.9: 0.3389 | V-P@R0.9: 0.3408
Epoch 014 | T-Loss: 0.1356 | V-Loss: 0.1394 | T-Prec: 0.6544 | V-Prec: 0.6518 | T-Rec: 0.4248 | V-Rec: 0.4242 | T-P@R0.9: 0.3396 | V-P@R0.9: 0.3409
Epoch 015 | T-Loss: 0.1319 | V-Loss: 0.1327 | T-Prec: 0.6689 | V-Prec: 0.6666 | T-Rec: 0.3981 | V-Rec: 0.3970 | T-P@R0.9: 0.3416 | V-P@R0.9: 0.3425
Epoch 016 | T-Loss: 0.1329 | V-Loss: 0.1353 | T-Prec: 0.6595 | V-Prec: 0.6557 | T-Rec: 0.4122 | V-Rec: 0.4081 | T-P@R0.9: 0.3379 | V-P@R0.9: 0.3359
Epoch 017 | T-Loss: 0.1309 | V-Loss: 0.1310 | T-Prec: 0.6683 | V-Prec: 0.6654 | T-Rec: 0.4054 | V-Rec: 0.4023 | T-P@R0.9: 0.3424 | V-P@R0.9: 0.3435
Epoch 018 | T-Loss: 0.1310 | V-Loss: 0.1311 | T-Prec: 0.6637 | V-Prec: 0.6611 | T-Rec: 0.4137 | V-Rec: 0.4119 | T-P@R0.9: 0.3420 | V-P@R0.9: 0.3438
Epoch 019 | T-Loss: 0.1310 | V-Loss: 0.1312 | T-Prec: 0.6584 | V-Prec: 0.6553 | T-Rec: 0.4276 | V-Rec: 0.4244 | T-P@R0.9: 0.3430 | V-P@R0.9: 0.3434
Epoch 020 | T-Loss: 0.1307 | V-Loss: 0.1308 | T-Prec: 0.6593 | V-Prec: 0.6566 | T-Rec: 0.4283 | V-Rec: 0.4262 | T-P@R0.9: 0.3423 | V-P@R0.9: 0.3441
Epoch 021 | T-Loss: 0.1306 | V-Loss: 0.1307 | T-Prec: 0.6613 | V-Prec: 0.6579 | T-Rec: 0.4232 | V-Rec: 0.4222 | T-P@R0.9: 0.3436 | V-P@R0.9: 0.3450
Epoch 022 | T-Loss: 0.1305 | V-Loss: 0.1308 | T-Prec: 0.6573 | V-Prec: 0.6550 | T-Rec: 0.4321 | V-Rec: 0.4308 | T-P@R0.9: 0.3447 | V-P@R0.9: 0.3453
Epoch 023 | T-Loss: 0.1304 | V-Loss: 0.1304 | T-Prec: 0.6591 | V-Prec: 0.6573 | T-Rec: 0.4301 | V-Rec: 0.4286 | T-P@R0.9: 0.3438 | V-P@R0.9: 0.3457
Epoch 024 | T-Loss: 0.1304 | V-Loss: 0.1306 | T-Prec: 0.6631 | V-Prec: 0.6608 | T-Rec: 0.4182 | V-Rec: 0.4150 | T-P@R0.9: 0.3450 | V-P@R0.9: 0.3459
Epoch 025 | T-Loss: 0.1305 | V-Loss: 0.1305 | T-Prec: 0.6580 | V-Prec: 0.6549 | T-Rec: 0.4338 | V-Rec: 0.4316 | T-P@R0.9: 0.3431 | V-P@R0.9: 0.3445
Epoch 026 | T-Loss: 0.1301 | V-Loss: 0.1302 | T-Prec: 0.6579 | V-Prec: 0.6557 | T-Rec: 0.4355 | V-Rec: 0.4345 | T-P@R0.9: 0.3453 | V-P@R0.9: 0.3469
Epoch 027 | T-Loss: 0.1302 | V-Loss: 0.1303 | T-Prec: 0.6671 | V-Prec: 0.6656 | T-Rec: 0.4103 | V-Rec: 0.4103 | T-P@R0.9: 0.3451 | V-P@R0.9: 0.3464
Epoch 028 | T-Loss: 0.1301 | V-Loss: 0.1302 | T-Prec: 0.6597 | V-Prec: 0.6570 | T-Rec: 0.4305 | V-Rec: 0.4290 | T-P@R0.9: 0.3464 | V-P@R0.9: 0.3475
Epoch 029 | T-Loss: 0.1300 | V-Loss: 0.1301 | T-Prec: 0.6561 | V-Prec: 0.6536 | T-Rec: 0.4376 | V-Rec: 0.4361 | T-P@R0.9: 0.3465 | V-P@R0.9: 0.3478
Epoch 030 | T-Loss: 0.1299 | V-Loss: 0.1301 | T-Prec: 0.6677 | V-Prec: 0.6645 | T-Rec: 0.4106 | V-Rec: 0.4089 | T-P@R0.9: 0.3466 | V-P@R0.9: 0.3478
Epoch 031 | T-Loss: 0.1301 | V-Loss: 0.1302 | T-Prec: 0.6569 | V-Prec: 0.6550 | T-Rec: 0.4379 | V-Rec: 0.4370 | T-P@R0.9: 0.3455 | V-P@R0.9: 0.3464
Epoch 032 | T-Loss: 0.1299 | V-Loss: 0.1301 | T-Prec: 0.6589 | V-Prec: 0.6567 | T-Rec: 0.4345 | V-Rec: 0.4337 | T-P@R0.9: 0.3464 | V-P@R0.9: 0.3474
Epoch 033 | T-Loss: 0.1303 | V-Loss: 0.1310 | T-Prec: 0.6593 | V-Prec: 0.6572 | T-Rec: 0.4303 | V-Rec: 0.4288 | T-P@R0.9: 0.3469 | V-P@R0.9: 0.3479
Epoch 034 | T-Loss: 0.1298 | V-Loss: 0.1300 | T-Prec: 0.6633 | V-Prec: 0.6602 | T-Rec: 0.4213 | V-Rec: 0.4182 | T-P@R0.9: 0.3470 | V-P@R0.9: 0.3479
Epoch 035 | T-Loss: 0.1298 | V-Loss: 0.1299 | T-Prec: 0.6561 | V-Prec: 0.6536 | T-Rec: 0.4405 | V-Rec: 0.4386 | T-P@R0.9: 0.3472 | V-P@R0.9: 0.3482
Epoch 036 | T-Loss: 0.1298 | V-Loss: 0.1299 | T-Prec: 0.6614 | V-Prec: 0.6589 | T-Rec: 0.4253 | V-Rec: 0.4244 | T-P@R0.9: 0.3465 | V-P@R0.9: 0.3478
Epoch 037 | T-Loss: 0.1297 | V-Loss: 0.1298 | T-Prec: 0.6668 | V-Prec: 0.6633 | T-Rec: 0.4166 | V-Rec: 0.4152 | T-P@R0.9: 0.3471 | V-P@R0.9: 0.3487
Epoch 038 | T-Loss: 0.1298 | V-Loss: 0.1300 | T-Prec: 0.6540 | V-Prec: 0.6527 | T-Rec: 0.4429 | V-Rec: 0.4406 | T-P@R0.9: 0.3474 | V-P@R0.9: 0.3475
Epoch 039 | T-Loss: 0.1296 | V-Loss: 0.1297 | T-Prec: 0.6627 | V-Prec: 0.6605 | T-Rec: 0.4266 | V-Rec: 0.4249 | T-P@R0.9: 0.3478 | V-P@R0.9: 0.3489
Epoch 040 | T-Loss: 0.1298 | V-Loss: 0.1299 | T-Prec: 0.6638 | V-Prec: 0.6607 | T-Rec: 0.4254 | V-Rec: 0.4245 | T-P@R0.9: 0.3479 | V-P@R0.9: 0.3492
Epoch 041 | T-Loss: 0.1299 | V-Loss: 0.1302 | T-Prec: 0.6634 | V-Prec: 0.6606 | T-Rec: 0.4233 | V-Rec: 0.4208 | T-P@R0.9: 0.3461 | V-P@R0.9: 0.3472
Epoch 042 | T-Loss: 0.1297 | V-Loss: 0.1298 | T-Prec: 0.6621 | V-Prec: 0.6592 | T-Rec: 0.4278 | V-Rec: 0.4265 | T-P@R0.9: 0.3467 | V-P@R0.9: 0.3482
Epoch 043 | T-Loss: 0.1296 | V-Loss: 0.1296 | T-Prec: 0.6503 | V-Prec: 0.6485 | T-Rec: 0.4578 | V-Rec: 0.4574 | T-P@R0.9: 0.3476 | V-P@R0.9: 0.3490
Epoch 044 | T-Loss: 0.1297 | V-Loss: 0.1301 | T-Prec: 0.6619 | V-Prec: 0.6599 | T-Rec: 0.4259 | V-Rec: 0.4246 | T-P@R0.9: 0.3487 | V-P@R0.9: 0.3496
