Device: cuda | Experiment: Deep & Wide | Events: 150000
Epoch 001 | T-Loss: 0.1394 | V-Loss: 0.1397 | V-P@R0.9: 0.3236
Epoch 002 | T-Loss: 0.1353 | V-Loss: 0.1354 | V-P@R0.9: 0.3311
Epoch 003 | T-Loss: 0.1345 | V-Loss: 0.1346 | V-P@R0.9: 0.3334
Epoch 004 | T-Loss: 0.1343 | V-Loss: 0.1346 | V-P@R0.9: 0.3342
Epoch 005 | T-Loss: 0.1334 | V-Loss: 0.1336 | V-P@R0.9: 0.3364
Epoch 006 | T-Loss: 0.1333 | V-Loss: 0.1335 | V-P@R0.9: 0.3383
Epoch 007 | T-Loss: 0.1329 | V-Loss: 0.1332 | V-P@R0.9: 0.3391
Epoch 008 | T-Loss: 0.1327 | V-Loss: 0.1329 | V-P@R0.9: 0.3397
Epoch 009 | T-Loss: 0.1326 | V-Loss: 0.1328 | V-P@R0.9: 0.3401
Epoch 010 | T-Loss: 0.1324 | V-Loss: 0.1325 | V-P@R0.9: 0.3401
Epoch 011 | T-Loss: 0.1321 | V-Loss: 0.1323 | V-P@R0.9: 0.3411
Epoch 012 | T-Loss: 0.1319 | V-Loss: 0.1322 | V-P@R0.9: 0.3423
Epoch 013 | T-Loss: 0.1319 | V-Loss: 0.1320 | V-P@R0.9: 0.3423
Epoch 014 | T-Loss: 0.1318 | V-Loss: 0.1319 | V-P@R0.9: 0.3432
Epoch 015 | T-Loss: 0.1315 | V-Loss: 0.1317 | V-P@R0.9: 0.3442
Epoch 016 | T-Loss: 0.1315 | V-Loss: 0.1317 | V-P@R0.9: 0.3446
Epoch 017 | T-Loss: 0.1312 | V-Loss: 0.1314 | V-P@R0.9: 0.3456
Epoch 018 | T-Loss: 0.1310 | V-Loss: 0.1311 | V-P@R0.9: 0.3470
Epoch 019 | T-Loss: 0.1309 | V-Loss: 0.1312 | V-P@R0.9: 0.3469
Epoch 020 | T-Loss: 0.1308 | V-Loss: 0.1310 | V-P@R0.9: 0.3480
Epoch 021 | T-Loss: 0.1310 | V-Loss: 0.1312 | V-P@R0.9: 0.3470
Epoch 022 | T-Loss: 0.1306 | V-Loss: 0.1308 | V-P@R0.9: 0.3490
Epoch 023 | T-Loss: 0.1306 | V-Loss: 0.1309 | V-P@R0.9: 0.3486
Epoch 024 | T-Loss: 0.1305 | V-Loss: 0.1307 | V-P@R0.9: 0.3492
Epoch 025 | T-Loss: 0.1306 | V-Loss: 0.1308 | V-P@R0.9: 0.3485
Epoch 026 | T-Loss: 0.1307 | V-Loss: 0.1309 | V-P@R0.9: 0.3493
Epoch 027 | T-Loss: 0.1308 | V-Loss: 0.1310 | V-P@R0.9: 0.3494
Epoch 028 | T-Loss: 0.1302 | V-Loss: 0.1304 | V-P@R0.9: 0.3512
Epoch 029 | T-Loss: 0.1304 | V-Loss: 0.1306 | V-P@R0.9: 0.3511
Epoch 030 | T-Loss: 0.1301 | V-Loss: 0.1304 | V-P@R0.9: 0.3512
