nohup: ignoring input
Device: cuda | Experiment: Deep & Wide LONG | Events: 300000
Epoch 001 | T-Loss: 0.1360 | V-Loss: 0.1355 | V-P@R0.9: 0.3322
Epoch 002 | T-Loss: 0.1348 | V-Loss: 0.1343 | V-P@R0.9: 0.3355
Epoch 003 | T-Loss: 0.1337 | V-Loss: 0.1332 | V-P@R0.9: 0.3389
Epoch 004 | T-Loss: 0.1334 | V-Loss: 0.1329 | V-P@R0.9: 0.3398
Epoch 005 | T-Loss: 0.1332 | V-Loss: 0.1328 | V-P@R0.9: 0.3397
Epoch 006 | T-Loss: 0.1329 | V-Loss: 0.1325 | V-P@R0.9: 0.3417
Epoch 007 | T-Loss: 0.1324 | V-Loss: 0.1320 | V-P@R0.9: 0.3439
Epoch 008 | T-Loss: 0.1322 | V-Loss: 0.1318 | V-P@R0.9: 0.3450
Epoch 009 | T-Loss: 0.1320 | V-Loss: 0.1315 | V-P@R0.9: 0.3468
Epoch 010 | T-Loss: 0.1316 | V-Loss: 0.1311 | V-P@R0.9: 0.3485
Epoch 011 | T-Loss: 0.1315 | V-Loss: 0.1311 | V-P@R0.9: 0.3481
Epoch 012 | T-Loss: 0.1314 | V-Loss: 0.1309 | V-P@R0.9: 0.3498
Epoch 013 | T-Loss: 0.1313 | V-Loss: 0.1308 | V-P@R0.9: 0.3501
Epoch 014 | T-Loss: 0.1309 | V-Loss: 0.1305 | V-P@R0.9: 0.3514
Epoch 015 | T-Loss: 0.1312 | V-Loss: 0.1307 | V-P@R0.9: 0.3513
Epoch 016 | T-Loss: 0.1303 | V-Loss: 0.1299 | V-P@R0.9: 0.3531
Epoch 017 | T-Loss: 0.1303 | V-Loss: 0.1298 | V-P@R0.9: 0.3546
Epoch 018 | T-Loss: 0.1304 | V-Loss: 0.1300 | V-P@R0.9: 0.3543
Epoch 019 | T-Loss: 0.1302 | V-Loss: 0.1297 | V-P@R0.9: 0.3559
Epoch 020 | T-Loss: 0.1294 | V-Loss: 0.1289 | V-P@R0.9: 0.3580
Epoch 021 | T-Loss: 0.1295 | V-Loss: 0.1290 | V-P@R0.9: 0.3583
Epoch 022 | T-Loss: 0.1290 | V-Loss: 0.1285 | V-P@R0.9: 0.3587
Epoch 023 | T-Loss: 0.1288 | V-Loss: 0.1283 | V-P@R0.9: 0.3591
Epoch 024 | T-Loss: 0.1289 | V-Loss: 0.1284 | V-P@R0.9: 0.3586
