nohup: ignoring input
Device: cuda | Experiment: v3 (768 internal) | Events: 250000
/home/levos/miniconda3/envs/baikal/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
Starting v3 training (800 epochs)...
Epoch 001 | Time: 108.2s | LR: 2.00e-04 | T-Loss: 0.1400 | V-Loss: 0.1391 | T-Prec: 0.6376 | V-Prec: 0.6323 | T-Rec: 0.3690 | V-Rec: 0.3640 | T-P@R0.9: 0.3240 | V-P@R0.9: 0.3202
Epoch 002 | Time: 107.7s | LR: 2.00e-04 | T-Loss: 0.1353 | V-Loss: 0.1337 | T-Prec: 0.6556 | V-Prec: 0.6522 | T-Rec: 0.3737 | V-Rec: 0.3630 | T-P@R0.9: 0.3326 | V-P@R0.9: 0.3294
Epoch 003 | Time: 108.1s | LR: 2.00e-04 | T-Loss: 0.1345 | V-Loss: 0.1329 | T-Prec: 0.6590 | V-Prec: 0.6555 | T-Rec: 0.3778 | V-Rec: 0.3680 | T-P@R0.9: 0.3356 | V-P@R0.9: 0.3312
Epoch 004 | Time: 108.9s | LR: 2.00e-04 | T-Loss: 0.1340 | V-Loss: 0.1324 | T-Prec: 0.6546 | V-Prec: 0.6504 | T-Rec: 0.3940 | V-Rec: 0.3851 | T-P@R0.9: 0.3362 | V-P@R0.9: 0.3318
Epoch 005 | Time: 108.1s | LR: 2.00e-04 | T-Loss: 0.1338 | V-Loss: 0.1322 | T-Prec: 0.6529 | V-Prec: 0.6476 | T-Rec: 0.4043 | V-Rec: 0.3944 | T-P@R0.9: 0.3362 | V-P@R0.9: 0.3320
Epoch 006 | Time: 108.3s | LR: 2.00e-04 | T-Loss: 0.1342 | V-Loss: 0.1326 | T-Prec: 0.6682 | V-Prec: 0.6631 | T-Rec: 0.3704 | V-Rec: 0.3599 | T-P@R0.9: 0.3381 | V-P@R0.9: 0.3339
Epoch 007 | Time: 108.4s | LR: 2.00e-04 | T-Loss: 0.1331 | V-Loss: 0.1316 | T-Prec: 0.6659 | V-Prec: 0.6612 | T-Rec: 0.3801 | V-Rec: 0.3704 | T-P@R0.9: 0.3395 | V-P@R0.9: 0.3348
Epoch 008 | Time: 108.3s | LR: 2.00e-04 | T-Loss: 0.1329 | V-Loss: 0.1314 | T-Prec: 0.6558 | V-Prec: 0.6507 | T-Rec: 0.4046 | V-Rec: 0.3933 | T-P@R0.9: 0.3401 | V-P@R0.9: 0.3356
Epoch 009 | Time: 108.5s | LR: 2.00e-04 | T-Loss: 0.1328 | V-Loss: 0.1312 | T-Prec: 0.6569 | V-Prec: 0.6519 | T-Rec: 0.4021 | V-Rec: 0.3910 | T-P@R0.9: 0.3403 | V-P@R0.9: 0.3356
Epoch 010 | Time: 108.1s | LR: 2.00e-04 | T-Loss: 0.1328 | V-Loss: 0.1313 | T-Prec: 0.6694 | V-Prec: 0.6637 | T-Rec: 0.3757 | V-Rec: 0.3643 | T-P@R0.9: 0.3405 | V-P@R0.9: 0.3354
Epoch 011 | Time: 108.6s | LR: 2.00e-04 | T-Loss: 0.1325 | V-Loss: 0.1311 | T-Prec: 0.6568 | V-Prec: 0.6518 | T-Rec: 0.4011 | V-Rec: 0.3910 | T-P@R0.9: 0.3414 | V-P@R0.9: 0.3365
Epoch 012 | Time: 108.1s | LR: 2.00e-04 | T-Loss: 0.1323 | V-Loss: 0.1309 | T-Prec: 0.6618 | V-Prec: 0.6551 | T-Rec: 0.3935 | V-Rec: 0.3804 | T-P@R0.9: 0.3429 | V-P@R0.9: 0.3376
Epoch 013 | Time: 108.4s | LR: 2.00e-04 | T-Loss: 0.1320 | V-Loss: 0.1306 | T-Prec: 0.6490 | V-Prec: 0.6435 | T-Rec: 0.4246 | V-Rec: 0.4137 | T-P@R0.9: 0.3435 | V-P@R0.9: 0.3389
Epoch 014 | Time: 108.6s | LR: 2.00e-04 | T-Loss: 0.1319 | V-Loss: 0.1304 | T-Prec: 0.6565 | V-Prec: 0.6508 | T-Rec: 0.4093 | V-Rec: 0.3980 | T-P@R0.9: 0.3446 | V-P@R0.9: 0.3396
Epoch 015 | Time: 108.7s | LR: 2.00e-04 | T-Loss: 0.1317 | V-Loss: 0.1302 | T-Prec: 0.6567 | V-Prec: 0.6507 | T-Rec: 0.4099 | V-Rec: 0.3984 | T-P@R0.9: 0.3456 | V-P@R0.9: 0.3409
Epoch 016 | Time: 108.5s | LR: 2.00e-04 | T-Loss: 0.1315 | V-Loss: 0.1300 | T-Prec: 0.6569 | V-Prec: 0.6503 | T-Rec: 0.4095 | V-Rec: 0.3968 | T-P@R0.9: 0.3468 | V-P@R0.9: 0.3422
Epoch 017 | Time: 107.7s | LR: 2.00e-04 | T-Loss: 0.1314 | V-Loss: 0.1299 | T-Prec: 0.6536 | V-Prec: 0.6480 | T-Rec: 0.4191 | V-Rec: 0.4068 | T-P@R0.9: 0.3475 | V-P@R0.9: 0.3427
Epoch 018 | Time: 108.1s | LR: 2.00e-04 | T-Loss: 0.1314 | V-Loss: 0.1298 | T-Prec: 0.6636 | V-Prec: 0.6573 | T-Rec: 0.3961 | V-Rec: 0.3843 | T-P@R0.9: 0.3477 | V-P@R0.9: 0.3426
Epoch 019 | Time: 108.8s | LR: 2.00e-04 | T-Loss: 0.1313 | V-Loss: 0.1298 | T-Prec: 0.6617 | V-Prec: 0.6567 | T-Rec: 0.4014 | V-Rec: 0.3903 | T-P@R0.9: 0.3482 | V-P@R0.9: 0.3432
Epoch 020 | Time: 108.5s | LR: 2.00e-04 | T-Loss: 0.1312 | V-Loss: 0.1298 | T-Prec: 0.6541 | V-Prec: 0.6494 | T-Rec: 0.4165 | V-Rec: 0.4049 | T-P@R0.9: 0.3487 | V-P@R0.9: 0.3432
Epoch 021 | Time: 108.8s | LR: 2.00e-04 | T-Loss: 0.1312 | V-Loss: 0.1297 | T-Prec: 0.6707 | V-Prec: 0.6659 | T-Rec: 0.3829 | V-Rec: 0.3718 | T-P@R0.9: 0.3496 | V-P@R0.9: 0.3446
Epoch 022 | Time: 108.1s | LR: 2.00e-04 | T-Loss: 0.1312 | V-Loss: 0.1297 | T-Prec: 0.6526 | V-Prec: 0.6481 | T-Rec: 0.4199 | V-Rec: 0.4093 | T-P@R0.9: 0.3490 | V-P@R0.9: 0.3434
