Device: cuda | Experiment: k=4 Long | Events: 150000
Epoch 001 | T-Loss: 0.1659 | V-Loss: 0.1720 | V-P@R0.9: 0.2819
Epoch 002 | T-Loss: 0.1514 | V-Loss: 0.1518 | V-P@R0.9: 0.2972
Epoch 003 | T-Loss: 0.1435 | V-Loss: 0.1438 | V-P@R0.9: 0.3145
Epoch 004 | T-Loss: 0.1424 | V-Loss: 0.1436 | V-P@R0.9: 0.3193
Epoch 005 | T-Loss: 0.1410 | V-Loss: 0.1413 | V-P@R0.9: 0.3210
Epoch 006 | T-Loss: 0.1414 | V-Loss: 0.1427 | V-P@R0.9: 0.3214
Epoch 007 | T-Loss: 0.1424 | V-Loss: 0.1457 | V-P@R0.9: 0.3150
Epoch 008 | T-Loss: 0.1404 | V-Loss: 0.1409 | V-P@R0.9: 0.3228
Epoch 009 | T-Loss: 0.1409 | V-Loss: 0.1419 | V-P@R0.9: 0.3197
Epoch 010 | T-Loss: 0.1404 | V-Loss: 0.1412 | V-P@R0.9: 0.3236
Epoch 011 | T-Loss: 0.1399 | V-Loss: 0.1403 | V-P@R0.9: 0.3240
Epoch 012 | T-Loss: 0.1397 | V-Loss: 0.1401 | V-P@R0.9: 0.3238
Epoch 013 | T-Loss: 0.1399 | V-Loss: 0.1408 | V-P@R0.9: 0.3238
Epoch 014 | T-Loss: 0.1394 | V-Loss: 0.1400 | V-P@R0.9: 0.3251
Epoch 015 | T-Loss: 0.1446 | V-Loss: 0.1505 | V-P@R0.9: 0.3253
Epoch 016 | T-Loss: 0.1391 | V-Loss: 0.1396 | V-P@R0.9: 0.3254
Epoch 017 | T-Loss: 0.1388 | V-Loss: 0.1392 | V-P@R0.9: 0.3260
Epoch 018 | T-Loss: 0.1387 | V-Loss: 0.1391 | V-P@R0.9: 0.3274
Epoch 019 | T-Loss: 0.1388 | V-Loss: 0.1395 | V-P@R0.9: 0.3273
Epoch 020 | T-Loss: 0.1385 | V-Loss: 0.1393 | V-P@R0.9: 0.3258
Epoch 021 | T-Loss: 0.1382 | V-Loss: 0.1385 | V-P@R0.9: 0.3285
Epoch 022 | T-Loss: 0.1380 | V-Loss: 0.1383 | V-P@R0.9: 0.3292
Epoch 023 | T-Loss: 0.1382 | V-Loss: 0.1386 | V-P@R0.9: 0.3283
Epoch 024 | T-Loss: 0.1380 | V-Loss: 0.1386 | V-P@R0.9: 0.3278
Epoch 025 | T-Loss: 0.1378 | V-Loss: 0.1383 | V-P@R0.9: 0.3298
Epoch 026 | T-Loss: 0.1377 | V-Loss: 0.1380 | V-P@R0.9: 0.3307
Epoch 027 | T-Loss: 0.1377 | V-Loss: 0.1382 | V-P@R0.9: 0.3305
Epoch 028 | T-Loss: 0.1384 | V-Loss: 0.1400 | V-P@R0.9: 0.3311
Epoch 029 | T-Loss: 0.1375 | V-Loss: 0.1379 | V-P@R0.9: 0.3312
Epoch 030 | T-Loss: 0.1375 | V-Loss: 0.1378 | V-P@R0.9: 0.3325
Epoch 031 | T-Loss: 0.1373 | V-Loss: 0.1376 | V-P@R0.9: 0.3324
Epoch 032 | T-Loss: 0.1373 | V-Loss: 0.1377 | V-P@R0.9: 0.3322
Epoch 033 | T-Loss: 0.1375 | V-Loss: 0.1384 | V-P@R0.9: 0.3330
Epoch 034 | T-Loss: 0.1370 | V-Loss: 0.1374 | V-P@R0.9: 0.3340
Epoch 035 | T-Loss: 0.1372 | V-Loss: 0.1378 | V-P@R0.9: 0.3323
Epoch 036 | T-Loss: 0.1370 | V-Loss: 0.1374 | V-P@R0.9: 0.3338
Epoch 037 | T-Loss: 0.1377 | V-Loss: 0.1387 | V-P@R0.9: 0.3341
Epoch 038 | T-Loss: 0.1371 | V-Loss: 0.1378 | V-P@R0.9: 0.3343
Epoch 039 | T-Loss: 0.1369 | V-Loss: 0.1373 | V-P@R0.9: 0.3349
Epoch 040 | T-Loss: 0.1369 | V-Loss: 0.1374 | V-P@R0.9: 0.3334
Epoch 041 | T-Loss: 0.1368 | V-Loss: 0.1371 | V-P@R0.9: 0.3343
Epoch 042 | T-Loss: 0.1369 | V-Loss: 0.1371 | V-P@R0.9: 0.3352
Epoch 043 | T-Loss: 0.1368 | V-Loss: 0.1374 | V-P@R0.9: 0.3343
Epoch 044 | T-Loss: 0.1365 | V-Loss: 0.1369 | V-P@R0.9: 0.3358
Epoch 045 | T-Loss: 0.1375 | V-Loss: 0.1391 | V-P@R0.9: 0.3350
Epoch 046 | T-Loss: 0.1366 | V-Loss: 0.1370 | V-P@R0.9: 0.3352
Epoch 047 | T-Loss: 0.1365 | V-Loss: 0.1368 | V-P@R0.9: 0.3357
Epoch 048 | T-Loss: 0.1365 | V-Loss: 0.1370 | V-P@R0.9: 0.3347
Epoch 049 | T-Loss: 0.1364 | V-Loss: 0.1367 | V-P@R0.9: 0.3358
Epoch 050 | T-Loss: 0.1363 | V-Loss: 0.1367 | V-P@R0.9: 0.3358
Epoch 051 | T-Loss: 0.1364 | V-Loss: 0.1368 | V-P@R0.9: 0.3364
Epoch 052 | T-Loss: 0.1363 | V-Loss: 0.1370 | V-P@R0.9: 0.3351
Epoch 053 | T-Loss: 0.1363 | V-Loss: 0.1367 | V-P@R0.9: 0.3365
Epoch 054 | T-Loss: 0.1362 | V-Loss: 0.1367 | V-P@R0.9: 0.3364
Epoch 055 | T-Loss: 0.1363 | V-Loss: 0.1366 | V-P@R0.9: 0.3370
Epoch 056 | T-Loss: 0.1362 | V-Loss: 0.1367 | V-P@R0.9: 0.3369
Epoch 057 | T-Loss: 0.1362 | V-Loss: 0.1365 | V-P@R0.9: 0.3368
Epoch 058 | T-Loss: 0.1363 | V-Loss: 0.1366 | V-P@R0.9: 0.3363
Epoch 059 | T-Loss: 0.1361 | V-Loss: 0.1365 | V-P@R0.9: 0.3369
Epoch 060 | T-Loss: 0.1360 | V-Loss: 0.1364 | V-P@R0.9: 0.3374
Epoch 061 | T-Loss: 0.1360 | V-Loss: 0.1363 | V-P@R0.9: 0.3375
Epoch 062 | T-Loss: 0.1361 | V-Loss: 0.1365 | V-P@R0.9: 0.3367
Epoch 063 | T-Loss: 0.1360 | V-Loss: 0.1364 | V-P@R0.9: 0.3374
Epoch 064 | T-Loss: 0.1363 | V-Loss: 0.1367 | V-P@R0.9: 0.3366
Epoch 065 | T-Loss: 0.1359 | V-Loss: 0.1363 | V-P@R0.9: 0.3377
Epoch 066 | T-Loss: 0.1360 | V-Loss: 0.1365 | V-P@R0.9: 0.3375
Epoch 067 | T-Loss: 0.1360 | V-Loss: 0.1363 | V-P@R0.9: 0.3374
Epoch 068 | T-Loss: 0.1360 | V-Loss: 0.1364 | V-P@R0.9: 0.3374
Epoch 069 | T-Loss: 0.1360 | V-Loss: 0.1365 | V-P@R0.9: 0.3366
Epoch 070 | T-Loss: 0.1359 | V-Loss: 0.1363 | V-P@R0.9: 0.3376
Epoch 071 | T-Loss: 0.1359 | V-Loss: 0.1363 | V-P@R0.9: 0.3378
Epoch 072 | T-Loss: 0.1360 | V-Loss: 0.1365 | V-P@R0.9: 0.3376
Epoch 073 | T-Loss: 0.1359 | V-Loss: 0.1363 | V-P@R0.9: 0.3381
Epoch 074 | T-Loss: 0.1358 | V-Loss: 0.1362 | V-P@R0.9: 0.3382
Epoch 075 | T-Loss: 0.1359 | V-Loss: 0.1364 | V-P@R0.9: 0.3375
Epoch 076 | T-Loss: 0.1357 | V-Loss: 0.1361 | V-P@R0.9: 0.3381
Epoch 077 | T-Loss: 0.1359 | V-Loss: 0.1363 | V-P@R0.9: 0.3379
Epoch 078 | T-Loss: 0.1358 | V-Loss: 0.1361 | V-P@R0.9: 0.3384
Epoch 079 | T-Loss: 0.1358 | V-Loss: 0.1362 | V-P@R0.9: 0.3382
Epoch 080 | T-Loss: 0.1357 | V-Loss: 0.1361 | V-P@R0.9: 0.3385
Epoch 081 | T-Loss: 0.1360 | V-Loss: 0.1364 | V-P@R0.9: 0.3378
Epoch 082 | T-Loss: 0.1360 | V-Loss: 0.1367 | V-P@R0.9: 0.3366
Epoch 083 | T-Loss: 0.1361 | V-Loss: 0.1366 | V-P@R0.9: 0.3384
Epoch 084 | T-Loss: 0.1357 | V-Loss: 0.1361 | V-P@R0.9: 0.3379
Epoch 085 | T-Loss: 0.1360 | V-Loss: 0.1367 | V-P@R0.9: 0.3388
Epoch 086 | T-Loss: 0.1358 | V-Loss: 0.1361 | V-P@R0.9: 0.3386
Epoch 087 | T-Loss: 0.1357 | V-Loss: 0.1365 | V-P@R0.9: 0.3387
Epoch 088 | T-Loss: 0.1357 | V-Loss: 0.1361 | V-P@R0.9: 0.3390
Epoch 089 | T-Loss: 0.1357 | V-Loss: 0.1360 | V-P@R0.9: 0.3389
Epoch 090 | T-Loss: 0.1357 | V-Loss: 0.1360 | V-P@R0.9: 0.3387
Epoch 091 | T-Loss: 0.1355 | V-Loss: 0.1358 | V-P@R0.9: 0.3392
Epoch 092 | T-Loss: 0.1355 | V-Loss: 0.1359 | V-P@R0.9: 0.3391
Epoch 093 | T-Loss: 0.1357 | V-Loss: 0.1363 | V-P@R0.9: 0.3381
Epoch 094 | T-Loss: 0.1356 | V-Loss: 0.1360 | V-P@R0.9: 0.3390
Epoch 095 | T-Loss: 0.1355 | V-Loss: 0.1358 | V-P@R0.9: 0.3395
Epoch 096 | T-Loss: 0.1355 | V-Loss: 0.1359 | V-P@R0.9: 0.3395
Epoch 097 | T-Loss: 0.1357 | V-Loss: 0.1360 | V-P@R0.9: 0.3386
Epoch 098 | T-Loss: 0.1357 | V-Loss: 0.1361 | V-P@R0.9: 0.3391
Epoch 099 | T-Loss: 0.1356 | V-Loss: 0.1359 | V-P@R0.9: 0.3395
Epoch 100 | T-Loss: 0.1355 | V-Loss: 0.1361 | V-P@R0.9: 0.3389
Epoch 101 | T-Loss: 0.1354 | V-Loss: 0.1360 | V-P@R0.9: 0.3390
Epoch 102 | T-Loss: 0.1355 | V-Loss: 0.1358 | V-P@R0.9: 0.3397
Epoch 103 | T-Loss: 0.1357 | V-Loss: 0.1361 | V-P@R0.9: 0.3390
Epoch 104 | T-Loss: 0.1354 | V-Loss: 0.1359 | V-P@R0.9: 0.3394
Epoch 105 | T-Loss: 0.1354 | V-Loss: 0.1357 | V-P@R0.9: 0.3399
Epoch 106 | T-Loss: 0.1354 | V-Loss: 0.1358 | V-P@R0.9: 0.3402
Epoch 107 | T-Loss: 0.1354 | V-Loss: 0.1357 | V-P@R0.9: 0.3402
Epoch 108 | T-Loss: 0.1354 | V-Loss: 0.1357 | V-P@R0.9: 0.3403
Epoch 109 | T-Loss: 0.1355 | V-Loss: 0.1359 | V-P@R0.9: 0.3391
Epoch 110 | T-Loss: 0.1353 | V-Loss: 0.1357 | V-P@R0.9: 0.3402
Epoch 111 | T-Loss: 0.1355 | V-Loss: 0.1358 | V-P@R0.9: 0.3408
Epoch 112 | T-Loss: 0.1354 | V-Loss: 0.1358 | V-P@R0.9: 0.3406
Epoch 113 | T-Loss: 0.1354 | V-Loss: 0.1357 | V-P@R0.9: 0.3399
Epoch 114 | T-Loss: 0.1356 | V-Loss: 0.1362 | V-P@R0.9: 0.3397
Epoch 115 | T-Loss: 0.1355 | V-Loss: 0.1358 | V-P@R0.9: 0.3405
Epoch 116 | T-Loss: 0.1353 | V-Loss: 0.1357 | V-P@R0.9: 0.3402
Epoch 117 | T-Loss: 0.1355 | V-Loss: 0.1359 | V-P@R0.9: 0.3406
Epoch 118 | T-Loss: 0.1352 | V-Loss: 0.1356 | V-P@R0.9: 0.3405
Epoch 119 | T-Loss: 0.1352 | V-Loss: 0.1355 | V-P@R0.9: 0.3410
Epoch 120 | T-Loss: 0.1355 | V-Loss: 0.1359 | V-P@R0.9: 0.3404
Epoch 121 | T-Loss: 0.1352 | V-Loss: 0.1356 | V-P@R0.9: 0.3402
Epoch 122 | T-Loss: 0.1353 | V-Loss: 0.1357 | V-P@R0.9: 0.3399
Epoch 123 | T-Loss: 0.1352 | V-Loss: 0.1356 | V-P@R0.9: 0.3410
Epoch 124 | T-Loss: 0.1353 | V-Loss: 0.1357 | V-P@R0.9: 0.3400
Epoch 125 | T-Loss: 0.1355 | V-Loss: 0.1360 | V-P@R0.9: 0.3401
Epoch 126 | T-Loss: 0.1352 | V-Loss: 0.1356 | V-P@R0.9: 0.3408
Epoch 127 | T-Loss: 0.1351 | V-Loss: 0.1355 | V-P@R0.9: 0.3408
Epoch 128 | T-Loss: 0.1353 | V-Loss: 0.1356 | V-P@R0.9: 0.3406
Epoch 129 | T-Loss: 0.1351 | V-Loss: 0.1355 | V-P@R0.9: 0.3411
Epoch 130 | T-Loss: 0.1352 | V-Loss: 0.1355 | V-P@R0.9: 0.3409
Epoch 131 | T-Loss: 0.1350 | V-Loss: 0.1354 | V-P@R0.9: 0.3415
Epoch 132 | T-Loss: 0.1352 | V-Loss: 0.1358 | V-P@R0.9: 0.3409
Epoch 133 | T-Loss: 0.1351 | V-Loss: 0.1355 | V-P@R0.9: 0.3410
Epoch 134 | T-Loss: 0.1355 | V-Loss: 0.1360 | V-P@R0.9: 0.3397
Epoch 135 | T-Loss: 0.1350 | V-Loss: 0.1354 | V-P@R0.9: 0.3413
Epoch 136 | T-Loss: 0.1352 | V-Loss: 0.1357 | V-P@R0.9: 0.3403
Epoch 137 | T-Loss: 0.1350 | V-Loss: 0.1354 | V-P@R0.9: 0.3414
Epoch 138 | T-Loss: 0.1351 | V-Loss: 0.1355 | V-P@R0.9: 0.3416
Epoch 139 | T-Loss: 0.1349 | V-Loss: 0.1353 | V-P@R0.9: 0.3416
Epoch 140 | T-Loss: 0.1350 | V-Loss: 0.1354 | V-P@R0.9: 0.3410
Epoch 141 | T-Loss: 0.1352 | V-Loss: 0.1356 | V-P@R0.9: 0.3408
Epoch 142 | T-Loss: 0.1349 | V-Loss: 0.1353 | V-P@R0.9: 0.3416
Epoch 143 | T-Loss: 0.1350 | V-Loss: 0.1353 | V-P@R0.9: 0.3418
Epoch 144 | T-Loss: 0.1351 | V-Loss: 0.1354 | V-P@R0.9: 0.3423
Epoch 145 | T-Loss: 0.1350 | V-Loss: 0.1354 | V-P@R0.9: 0.3416
Epoch 146 | T-Loss: 0.1351 | V-Loss: 0.1355 | V-P@R0.9: 0.3409
Epoch 147 | T-Loss: 0.1350 | V-Loss: 0.1353 | V-P@R0.9: 0.3417
Epoch 148 | T-Loss: 0.1352 | V-Loss: 0.1357 | V-P@R0.9: 0.3411
Epoch 149 | T-Loss: 0.1348 | V-Loss: 0.1352 | V-P@R0.9: 0.3420
Epoch 150 | T-Loss: 0.1350 | V-Loss: 0.1354 | V-P@R0.9: 0.3417
Epoch 151 | T-Loss: 0.1350 | V-Loss: 0.1356 | V-P@R0.9: 0.3419
Epoch 152 | T-Loss: 0.1348 | V-Loss: 0.1355 | V-P@R0.9: 0.3418
Epoch 153 | T-Loss: 0.1350 | V-Loss: 0.1355 | V-P@R0.9: 0.3414
Epoch 154 | T-Loss: 0.1352 | V-Loss: 0.1355 | V-P@R0.9: 0.3412
Epoch 155 | T-Loss: 0.1348 | V-Loss: 0.1352 | V-P@R0.9: 0.3417
Epoch 156 | T-Loss: 0.1351 | V-Loss: 0.1354 | V-P@R0.9: 0.3404
Epoch 157 | T-Loss: 0.1349 | V-Loss: 0.1352 | V-P@R0.9: 0.3419
Epoch 158 | T-Loss: 0.1347 | V-Loss: 0.1351 | V-P@R0.9: 0.3426
Epoch 159 | T-Loss: 0.1349 | V-Loss: 0.1352 | V-P@R0.9: 0.3417
Epoch 160 | T-Loss: 0.1349 | V-Loss: 0.1352 | V-P@R0.9: 0.3421
Epoch 161 | T-Loss: 0.1348 | V-Loss: 0.1351 | V-P@R0.9: 0.3424
Epoch 162 | T-Loss: 0.1348 | V-Loss: 0.1352 | V-P@R0.9: 0.3420
Epoch 163 | T-Loss: 0.1347 | V-Loss: 0.1351 | V-P@R0.9: 0.3430
Epoch 164 | T-Loss: 0.1347 | V-Loss: 0.1351 | V-P@R0.9: 0.3421
Epoch 165 | T-Loss: 0.1348 | V-Loss: 0.1352 | V-P@R0.9: 0.3417
Epoch 166 | T-Loss: 0.1347 | V-Loss: 0.1351 | V-P@R0.9: 0.3424
Epoch 167 | T-Loss: 0.1347 | V-Loss: 0.1351 | V-P@R0.9: 0.3420
Epoch 168 | T-Loss: 0.1348 | V-Loss: 0.1354 | V-P@R0.9: 0.3425
Epoch 169 | T-Loss: 0.1346 | V-Loss: 0.1350 | V-P@R0.9: 0.3425
Epoch 170 | T-Loss: 0.1346 | V-Loss: 0.1351 | V-P@R0.9: 0.3420
Epoch 171 | T-Loss: 0.1346 | V-Loss: 0.1350 | V-P@R0.9: 0.3425
Epoch 172 | T-Loss: 0.1347 | V-Loss: 0.1351 | V-P@R0.9: 0.3420
Epoch 173 | T-Loss: 0.1347 | V-Loss: 0.1350 | V-P@R0.9: 0.3428
Epoch 174 | T-Loss: 0.1347 | V-Loss: 0.1350 | V-P@R0.9: 0.3425
Epoch 175 | T-Loss: 0.1346 | V-Loss: 0.1350 | V-P@R0.9: 0.3432
Epoch 176 | T-Loss: 0.1347 | V-Loss: 0.1351 | V-P@R0.9: 0.3422
Epoch 177 | T-Loss: 0.1347 | V-Loss: 0.1352 | V-P@R0.9: 0.3421
Epoch 178 | T-Loss: 0.1347 | V-Loss: 0.1353 | V-P@R0.9: 0.3427
Epoch 179 | T-Loss: 0.1349 | V-Loss: 0.1353 | V-P@R0.9: 0.3415
Epoch 180 | T-Loss: 0.1345 | V-Loss: 0.1349 | V-P@R0.9: 0.3431
Epoch 181 | T-Loss: 0.1346 | V-Loss: 0.1351 | V-P@R0.9: 0.3426
Epoch 182 | T-Loss: 0.1346 | V-Loss: 0.1350 | V-P@R0.9: 0.3428
Epoch 183 | T-Loss: 0.1347 | V-Loss: 0.1351 | V-P@R0.9: 0.3420
Epoch 184 | T-Loss: 0.1347 | V-Loss: 0.1352 | V-P@R0.9: 0.3426
Epoch 185 | T-Loss: 0.1347 | V-Loss: 0.1351 | V-P@R0.9: 0.3429
Epoch 186 | T-Loss: 0.1346 | V-Loss: 0.1350 | V-P@R0.9: 0.3429
Epoch 187 | T-Loss: 0.1346 | V-Loss: 0.1350 | V-P@R0.9: 0.3432
Epoch 188 | T-Loss: 0.1345 | V-Loss: 0.1349 | V-P@R0.9: 0.3433
Epoch 189 | T-Loss: 0.1346 | V-Loss: 0.1351 | V-P@R0.9: 0.3429
Epoch 190 | T-Loss: 0.1346 | V-Loss: 0.1350 | V-P@R0.9: 0.3427
Epoch 191 | T-Loss: 0.1348 | V-Loss: 0.1351 | V-P@R0.9: 0.3426
Epoch 192 | T-Loss: 0.1346 | V-Loss: 0.1349 | V-P@R0.9: 0.3426
Epoch 193 | T-Loss: 0.1345 | V-Loss: 0.1348 | V-P@R0.9: 0.3434
Epoch 194 | T-Loss: 0.1344 | V-Loss: 0.1349 | V-P@R0.9: 0.3428
Epoch 195 | T-Loss: 0.1347 | V-Loss: 0.1351 | V-P@R0.9: 0.3429
Epoch 196 | T-Loss: 0.1349 | V-Loss: 0.1353 | V-P@R0.9: 0.3426
Epoch 197 | T-Loss: 0.1346 | V-Loss: 0.1351 | V-P@R0.9: 0.3432
Epoch 198 | T-Loss: 0.1346 | V-Loss: 0.1350 | V-P@R0.9: 0.3428
Epoch 199 | T-Loss: 0.1344 | V-Loss: 0.1348 | V-P@R0.9: 0.3430
Epoch 200 | T-Loss: 0.1345 | V-Loss: 0.1350 | V-P@R0.9: 0.3430
Epoch 201 | T-Loss: 0.1345 | V-Loss: 0.1349 | V-P@R0.9: 0.3431
Epoch 202 | T-Loss: 0.1349 | V-Loss: 0.1353 | V-P@R0.9: 0.3423
Epoch 203 | T-Loss: 0.1345 | V-Loss: 0.1350 | V-P@R0.9: 0.3434
Epoch 204 | T-Loss: 0.1346 | V-Loss: 0.1351 | V-P@R0.9: 0.3424
Epoch 205 | T-Loss: 0.1345 | V-Loss: 0.1349 | V-P@R0.9: 0.3434
Epoch 206 | T-Loss: 0.1345 | V-Loss: 0.1349 | V-P@R0.9: 0.3431
Epoch 207 | T-Loss: 0.1345 | V-Loss: 0.1349 | V-P@R0.9: 0.3434
Epoch 208 | T-Loss: 0.1344 | V-Loss: 0.1348 | V-P@R0.9: 0.3437
Epoch 209 | T-Loss: 0.1344 | V-Loss: 0.1348 | V-P@R0.9: 0.3436
Epoch 210 | T-Loss: 0.1345 | V-Loss: 0.1351 | V-P@R0.9: 0.3435
Epoch 211 | T-Loss: 0.1344 | V-Loss: 0.1348 | V-P@R0.9: 0.3438
Epoch 212 | T-Loss: 0.1345 | V-Loss: 0.1348 | V-P@R0.9: 0.3428
Epoch 213 | T-Loss: 0.1344 | V-Loss: 0.1348 | V-P@R0.9: 0.3433
Epoch 214 | T-Loss: 0.1344 | V-Loss: 0.1347 | V-P@R0.9: 0.3441
Epoch 215 | T-Loss: 0.1343 | V-Loss: 0.1347 | V-P@R0.9: 0.3440
Epoch 216 | T-Loss: 0.1344 | V-Loss: 0.1348 | V-P@R0.9: 0.3436
Epoch 217 | T-Loss: 0.1348 | V-Loss: 0.1352 | V-P@R0.9: 0.3441
Epoch 218 | T-Loss: 0.1344 | V-Loss: 0.1348 | V-P@R0.9: 0.3440
Epoch 219 | T-Loss: 0.1345 | V-Loss: 0.1349 | V-P@R0.9: 0.3436
Epoch 220 | T-Loss: 0.1343 | V-Loss: 0.1347 | V-P@R0.9: 0.3439
Epoch 221 | T-Loss: 0.1343 | V-Loss: 0.1347 | V-P@R0.9: 0.3432
Epoch 222 | T-Loss: 0.1343 | V-Loss: 0.1348 | V-P@R0.9: 0.3439
Epoch 223 | T-Loss: 0.1342 | V-Loss: 0.1346 | V-P@R0.9: 0.3443
Epoch 224 | T-Loss: 0.1344 | V-Loss: 0.1348 | V-P@R0.9: 0.3434
Epoch 225 | T-Loss: 0.1346 | V-Loss: 0.1349 | V-P@R0.9: 0.3441
Epoch 226 | T-Loss: 0.1344 | V-Loss: 0.1348 | V-P@R0.9: 0.3437
Epoch 227 | T-Loss: 0.1344 | V-Loss: 0.1347 | V-P@R0.9: 0.3445
Epoch 228 | T-Loss: 0.1343 | V-Loss: 0.1348 | V-P@R0.9: 0.3437
Epoch 229 | T-Loss: 0.1343 | V-Loss: 0.1347 | V-P@R0.9: 0.3435
Epoch 230 | T-Loss: 0.1346 | V-Loss: 0.1351 | V-P@R0.9: 0.3425
Epoch 231 | T-Loss: 0.1342 | V-Loss: 0.1346 | V-P@R0.9: 0.3441
Epoch 232 | T-Loss: 0.1342 | V-Loss: 0.1346 | V-P@R0.9: 0.3437
Epoch 233 | T-Loss: 0.1343 | V-Loss: 0.1346 | V-P@R0.9: 0.3440
Epoch 234 | T-Loss: 0.1342 | V-Loss: 0.1345 | V-P@R0.9: 0.3440
Epoch 235 | T-Loss: 0.1343 | V-Loss: 0.1347 | V-P@R0.9: 0.3437
Epoch 236 | T-Loss: 0.1343 | V-Loss: 0.1348 | V-P@R0.9: 0.3439
Epoch 237 | T-Loss: 0.1342 | V-Loss: 0.1346 | V-P@R0.9: 0.3439
Epoch 238 | T-Loss: 0.1343 | V-Loss: 0.1348 | V-P@R0.9: 0.3437
Epoch 239 | T-Loss: 0.1343 | V-Loss: 0.1346 | V-P@R0.9: 0.3446
Epoch 240 | T-Loss: 0.1343 | V-Loss: 0.1347 | V-P@R0.9: 0.3439
Epoch 241 | T-Loss: 0.1344 | V-Loss: 0.1348 | V-P@R0.9: 0.3434
Epoch 242 | T-Loss: 0.1344 | V-Loss: 0.1348 | V-P@R0.9: 0.3433
Epoch 243 | T-Loss: 0.1341 | V-Loss: 0.1346 | V-P@R0.9: 0.3441
Epoch 244 | T-Loss: 0.1344 | V-Loss: 0.1347 | V-P@R0.9: 0.3439
Epoch 245 | T-Loss: 0.1343 | V-Loss: 0.1347 | V-P@R0.9: 0.3440
Epoch 246 | T-Loss: 0.1342 | V-Loss: 0.1346 | V-P@R0.9: 0.3446
Epoch 247 | T-Loss: 0.1342 | V-Loss: 0.1346 | V-P@R0.9: 0.3439
Epoch 248 | T-Loss: 0.1341 | V-Loss: 0.1345 | V-P@R0.9: 0.3445
Epoch 249 | T-Loss: 0.1349 | V-Loss: 0.1352 | V-P@R0.9: 0.3449
Epoch 250 | T-Loss: 0.1342 | V-Loss: 0.1346 | V-P@R0.9: 0.3433
Epoch 251 | T-Loss: 0.1343 | V-Loss: 0.1349 | V-P@R0.9: 0.3444
Epoch 252 | T-Loss: 0.1341 | V-Loss: 0.1345 | V-P@R0.9: 0.3443
Epoch 253 | T-Loss: 0.1342 | V-Loss: 0.1345 | V-P@R0.9: 0.3442
Epoch 254 | T-Loss: 0.1343 | V-Loss: 0.1347 | V-P@R0.9: 0.3439
Epoch 255 | T-Loss: 0.1343 | V-Loss: 0.1348 | V-P@R0.9: 0.3442
