nohup: ignoring input
Device: cuda | Experiment: Extended Features (9) | Events: 200000
Epoch 001 | Time: 112.3s | LR: 2.00e-04 | T-Loss: 0.1346 | V-Loss: 0.1340 | T-P@R0.9: 0.3584 | V-P@R0.9: 0.3625
Epoch 002 | Time: 112.8s | LR: 2.00e-04 | T-Loss: 0.1271 | V-Loss: 0.1263 | T-P@R0.9: 0.3749 | V-P@R0.9: 0.3777
Epoch 003 | Time: 112.7s | LR: 2.00e-04 | T-Loss: 0.1261 | V-Loss: 0.1252 | T-P@R0.9: 0.3786 | V-P@R0.9: 0.3815
Epoch 004 | Time: 112.7s | LR: 2.00e-04 | T-Loss: 0.1249 | V-Loss: 0.1241 | T-P@R0.9: 0.3833 | V-P@R0.9: 0.3868
Epoch 005 | Time: 112.8s | LR: 2.00e-04 | T-Loss: 0.1244 | V-Loss: 0.1237 | T-P@R0.9: 0.3856 | V-P@R0.9: 0.3891
Epoch 006 | Time: 112.7s | LR: 2.00e-04 | T-Loss: 0.1241 | V-Loss: 0.1234 | T-P@R0.9: 0.3872 | V-P@R0.9: 0.3904
Epoch 007 | Time: 112.7s | LR: 2.00e-04 | T-Loss: 0.1241 | V-Loss: 0.1234 | T-P@R0.9: 0.3876 | V-P@R0.9: 0.3909
Epoch 008 | Time: 112.9s | LR: 2.00e-04 | T-Loss: 0.1238 | V-Loss: 0.1230 | T-P@R0.9: 0.3883 | V-P@R0.9: 0.3914
Epoch 009 | Time: 113.2s | LR: 2.00e-04 | T-Loss: 0.1237 | V-Loss: 0.1229 | T-P@R0.9: 0.3886 | V-P@R0.9: 0.3916
Epoch 010 | Time: 112.1s | LR: 2.00e-04 | T-Loss: 0.1234 | V-Loss: 0.1227 | T-P@R0.9: 0.3898 | V-P@R0.9: 0.3935
Epoch 011 | Time: 113.0s | LR: 2.00e-04 | T-Loss: 0.1234 | V-Loss: 0.1227 | T-P@R0.9: 0.3906 | V-P@R0.9: 0.3939
Epoch 012 | Time: 112.6s | LR: 2.00e-04 | T-Loss: 0.1227 | V-Loss: 0.1221 | T-P@R0.9: 0.3921 | V-P@R0.9: 0.3959
Epoch 013 | Time: 112.4s | LR: 2.00e-04 | T-Loss: 0.1225 | V-Loss: 0.1218 | T-P@R0.9: 0.3927 | V-P@R0.9: 0.3964
Epoch 014 | Time: 112.4s | LR: 2.00e-04 | T-Loss: 0.1223 | V-Loss: 0.1216 | T-P@R0.9: 0.3941 | V-P@R0.9: 0.3974
Epoch 015 | Time: 112.5s | LR: 2.00e-04 | T-Loss: 0.1223 | V-Loss: 0.1215 | T-P@R0.9: 0.3950 | V-P@R0.9: 0.3983
Epoch 016 | Time: 112.8s | LR: 2.00e-04 | T-Loss: 0.1217 | V-Loss: 0.1211 | T-P@R0.9: 0.3973 | V-P@R0.9: 0.4004
Epoch 017 | Time: 112.4s | LR: 2.00e-04 | T-Loss: 0.1214 | V-Loss: 0.1208 | T-P@R0.9: 0.3987 | V-P@R0.9: 0.4016
Epoch 018 | Time: 113.1s | LR: 2.00e-04 | T-Loss: 0.1212 | V-Loss: 0.1206 | T-P@R0.9: 0.3994 | V-P@R0.9: 0.4029
Epoch 019 | Time: 113.0s | LR: 2.00e-04 | T-Loss: 0.1212 | V-Loss: 0.1205 | T-P@R0.9: 0.4002 | V-P@R0.9: 0.4030
Epoch 020 | Time: 113.4s | LR: 2.00e-04 | T-Loss: 0.1208 | V-Loss: 0.1201 | T-P@R0.9: 0.4011 | V-P@R0.9: 0.4036
Epoch 021 | Time: 113.5s | LR: 2.00e-04 | T-Loss: 0.1207 | V-Loss: 0.1200 | T-P@R0.9: 0.4017 | V-P@R0.9: 0.4052
Epoch 022 | Time: 112.3s | LR: 2.00e-04 | T-Loss: 0.1209 | V-Loss: 0.1202 | T-P@R0.9: 0.4022 | V-P@R0.9: 0.4046
Epoch 023 | Time: 112.6s | LR: 2.00e-04 | T-Loss: 0.1202 | V-Loss: 0.1195 | T-P@R0.9: 0.4034 | V-P@R0.9: 0.4064
Epoch 024 | Time: 113.1s | LR: 2.00e-04 | T-Loss: 0.1201 | V-Loss: 0.1195 | T-P@R0.9: 0.4034 | V-P@R0.9: 0.4063
Epoch 025 | Time: 113.1s | LR: 2.00e-04 | T-Loss: 0.1199 | V-Loss: 0.1192 | T-P@R0.9: 0.4043 | V-P@R0.9: 0.4068
Epoch 026 | Time: 111.5s | LR: 2.00e-04 | T-Loss: 0.1199 | V-Loss: 0.1193 | T-P@R0.9: 0.4046 | V-P@R0.9: 0.4075
Epoch 027 | Time: 112.3s | LR: 2.00e-04 | T-Loss: 0.1195 | V-Loss: 0.1188 | T-P@R0.9: 0.4065 | V-P@R0.9: 0.4089
Epoch 028 | Time: 112.5s | LR: 2.00e-04 | T-Loss: 0.1193 | V-Loss: 0.1186 | T-P@R0.9: 0.4062 | V-P@R0.9: 0.4103
Epoch 029 | Time: 113.3s | LR: 2.00e-04 | T-Loss: 0.1193 | V-Loss: 0.1187 | T-P@R0.9: 0.4076 | V-P@R0.9: 0.4106
