nohup: ignoring input
Device: cuda | Experiment: t_res feature | Events: 200000
Epoch 001 | Time: 107.1s | LR: 2.00e-04 | T-Loss: 0.1352 | V-Loss: 0.1342 | T-Prec: 0.6201 | V-Prec: 0.6219 | T-Rec: 0.3312 | V-Rec: 0.3363 | T-P@R0.9: 0.3539 | V-P@R0.9: 0.3576
Epoch 002 | Time: 107.1s | LR: 2.00e-04 | T-Loss: 0.1270 | V-Loss: 0.1261 | T-Prec: 0.6554 | V-Prec: 0.6567 | T-Rec: 0.4211 | V-Rec: 0.4264 | T-P@R0.9: 0.3756 | V-P@R0.9: 0.3798
Epoch 003 | Time: 106.5s | LR: 2.00e-04 | T-Loss: 0.1259 | V-Loss: 0.1250 | T-Prec: 0.6605 | V-Prec: 0.6623 | T-Rec: 0.4187 | V-Rec: 0.4225 | T-P@R0.9: 0.3808 | V-P@R0.9: 0.3849
Epoch 004 | Time: 107.2s | LR: 2.00e-04 | T-Loss: 0.1254 | V-Loss: 0.1245 | T-Prec: 0.6611 | V-Prec: 0.6631 | T-Rec: 0.4195 | V-Rec: 0.4235 | T-P@R0.9: 0.3834 | V-P@R0.9: 0.3870
Epoch 005 | Time: 106.6s | LR: 2.00e-04 | T-Loss: 0.1252 | V-Loss: 0.1244 | T-Prec: 0.6566 | V-Prec: 0.6581 | T-Rec: 0.4337 | V-Rec: 0.4370 | T-P@R0.9: 0.3840 | V-P@R0.9: 0.3875
Epoch 006 | Time: 107.8s | LR: 2.00e-04 | T-Loss: 0.1250 | V-Loss: 0.1241 | T-Prec: 0.6606 | V-Prec: 0.6620 | T-Rec: 0.4258 | V-Rec: 0.4288 | T-P@R0.9: 0.3853 | V-P@R0.9: 0.3886
Epoch 007 | Time: 107.0s | LR: 2.00e-04 | T-Loss: 0.1246 | V-Loss: 0.1238 | T-Prec: 0.6600 | V-Prec: 0.6608 | T-Rec: 0.4342 | V-Rec: 0.4372 | T-P@R0.9: 0.3866 | V-P@R0.9: 0.3894
Epoch 008 | Time: 106.4s | LR: 2.00e-04 | T-Loss: 0.1245 | V-Loss: 0.1237 | T-Prec: 0.6591 | V-Prec: 0.6617 | T-Rec: 0.4364 | V-Rec: 0.4414 | T-P@R0.9: 0.3884 | V-P@R0.9: 0.3919
Epoch 009 | Time: 107.7s | LR: 2.00e-04 | T-Loss: 0.1247 | V-Loss: 0.1239 | T-Prec: 0.6506 | V-Prec: 0.6513 | T-Rec: 0.4606 | V-Rec: 0.4635 | T-P@R0.9: 0.3877 | V-P@R0.9: 0.3911
Epoch 010 | Time: 106.9s | LR: 2.00e-04 | T-Loss: 0.1238 | V-Loss: 0.1229 | T-Prec: 0.6550 | V-Prec: 0.6572 | T-Rec: 0.4544 | V-Rec: 0.4592 | T-P@R0.9: 0.3905 | V-P@R0.9: 0.3939
Epoch 011 | Time: 106.6s | LR: 2.00e-04 | T-Loss: 0.1235 | V-Loss: 0.1227 | T-Prec: 0.6548 | V-Prec: 0.6566 | T-Rec: 0.4582 | V-Rec: 0.4612 | T-P@R0.9: 0.3921 | V-P@R0.9: 0.3949
