nohup: ignoring input
Device: cuda | Experiment: 13 Features | Events: 200000
Starting training...
Epoch 001 | Time: 169.6s | LR: 2.00e-04 | T-Loss: 0.1274 | V-Loss: 0.1272 | T-Prec: 0.6680 | V-Prec: 0.6691 | T-Rec: 0.4165 | V-Rec: 0.4248 | T-P@R0.9: 0.3665 | V-P@R0.9: 0.3707
Epoch 002 | Time: 169.7s | LR: 2.00e-04 | T-Loss: 0.1238 | V-Loss: 0.1237 | T-Prec: 0.6772 | V-Prec: 0.6778 | T-Rec: 0.4377 | V-Rec: 0.4479 | T-P@R0.9: 0.3825 | V-P@R0.9: 0.3856
Epoch 003 | Time: 170.3s | LR: 2.00e-04 | T-Loss: 0.1216 | V-Loss: 0.1214 | T-Prec: 0.6859 | V-Prec: 0.6865 | T-Rec: 0.4474 | V-Rec: 0.4565 | T-P@R0.9: 0.3902 | V-P@R0.9: 0.3937
Epoch 004 | Time: 170.5s | LR: 2.00e-04 | T-Loss: 0.1206 | V-Loss: 0.1203 | T-Prec: 0.6852 | V-Prec: 0.6863 | T-Rec: 0.4589 | V-Rec: 0.4667 | T-P@R0.9: 0.3937 | V-P@R0.9: 0.3979
Epoch 005 | Time: 169.2s | LR: 2.00e-04 | T-Loss: 0.1199 | V-Loss: 0.1196 | T-Prec: 0.6909 | V-Prec: 0.6912 | T-Rec: 0.4562 | V-Rec: 0.4646 | T-P@R0.9: 0.3970 | V-P@R0.9: 0.4006
Epoch 006 | Time: 169.8s | LR: 2.00e-04 | T-Loss: 0.1196 | V-Loss: 0.1193 | T-Prec: 0.6720 | V-Prec: 0.6729 | T-Rec: 0.4973 | V-Rec: 0.5064 | T-P@R0.9: 0.4001 | V-P@R0.9: 0.4040
Epoch 007 | Time: 169.7s | LR: 2.00e-04 | T-Loss: 0.1189 | V-Loss: 0.1186 | T-Prec: 0.6815 | V-Prec: 0.6833 | T-Rec: 0.4820 | V-Rec: 0.4911 | T-P@R0.9: 0.4026 | V-P@R0.9: 0.4068
Epoch 008 | Time: 169.1s | LR: 2.00e-04 | T-Loss: 0.1188 | V-Loss: 0.1185 | T-Prec: 0.6716 | V-Prec: 0.6730 | T-Rec: 0.5029 | V-Rec: 0.5127 | T-P@R0.9: 0.4031 | V-P@R0.9: 0.4075
Epoch 009 | Time: 168.0s | LR: 2.00e-04 | T-Loss: 0.1184 | V-Loss: 0.1181 | T-Prec: 0.6755 | V-Prec: 0.6765 | T-Rec: 0.5023 | V-Rec: 0.5121 | T-P@R0.9: 0.4046 | V-P@R0.9: 0.4088
Epoch 010 | Time: 170.9s | LR: 2.00e-04 | T-Loss: 0.1180 | V-Loss: 0.1178 | T-Prec: 0.6769 | V-Prec: 0.6779 | T-Rec: 0.5054 | V-Rec: 0.5143 | T-P@R0.9: 0.4062 | V-P@R0.9: 0.4104
Epoch 011 | Time: 170.1s | LR: 2.00e-04 | T-Loss: 0.1176 | V-Loss: 0.1174 | T-Prec: 0.6801 | V-Prec: 0.6811 | T-Rec: 0.5042 | V-Rec: 0.5133 | T-P@R0.9: 0.4076 | V-P@R0.9: 0.4115
Epoch 012 | Time: 168.9s | LR: 2.00e-04 | T-Loss: 0.1172 | V-Loss: 0.1171 | T-Prec: 0.6830 | V-Prec: 0.6833 | T-Rec: 0.5045 | V-Rec: 0.5134 | T-P@R0.9: 0.4082 | V-P@R0.9: 0.4112
Epoch 013 | Time: 170.2s | LR: 2.00e-04 | T-Loss: 0.1169 | V-Loss: 0.1168 | T-Prec: 0.6901 | V-Prec: 0.6894 | T-Rec: 0.4998 | V-Rec: 0.5079 | T-P@R0.9: 0.4094 | V-P@R0.9: 0.4133
Epoch 014 | Time: 169.9s | LR: 2.00e-04 | T-Loss: 0.1170 | V-Loss: 0.1173 | T-Prec: 0.6901 | V-Prec: 0.6897 | T-Rec: 0.4990 | V-Rec: 0.5073 | T-P@R0.9: 0.4107 | V-P@R0.9: 0.4143
Epoch 015 | Time: 169.8s | LR: 2.00e-04 | T-Loss: 0.1165 | V-Loss: 0.1164 | T-Prec: 0.7058 | V-Prec: 0.7048 | T-Rec: 0.4758 | V-Rec: 0.4837 | T-P@R0.9: 0.4114 | V-P@R0.9: 0.4147
Epoch 016 | Time: 169.4s | LR: 2.00e-04 | T-Loss: 0.1161 | V-Loss: 0.1160 | T-Prec: 0.6992 | V-Prec: 0.6994 | T-Rec: 0.4923 | V-Rec: 0.4998 | T-P@R0.9: 0.4126 | V-P@R0.9: 0.4159
Epoch 017 | Time: 169.0s | LR: 2.00e-04 | T-Loss: 0.1159 | V-Loss: 0.1157 | T-Prec: 0.7050 | V-Prec: 0.7051 | T-Rec: 0.4864 | V-Rec: 0.4940 | T-P@R0.9: 0.4140 | V-P@R0.9: 0.4172
Epoch 018 | Time: 169.5s | LR: 2.00e-04 | T-Loss: 0.1156 | V-Loss: 0.1154 | T-Prec: 0.7013 | V-Prec: 0.7005 | T-Rec: 0.4973 | V-Rec: 0.5033 | T-P@R0.9: 0.4151 | V-P@R0.9: 0.4185
Epoch 019 | Time: 170.0s | LR: 2.00e-04 | T-Loss: 0.1156 | V-Loss: 0.1154 | T-Prec: 0.7089 | V-Prec: 0.7088 | T-Rec: 0.4831 | V-Rec: 0.4910 | T-P@R0.9: 0.4164 | V-P@R0.9: 0.4196
Epoch 020 | Time: 169.3s | LR: 2.00e-04 | T-Loss: 0.1151 | V-Loss: 0.1150 | T-Prec: 0.7016 | V-Prec: 0.7004 | T-Rec: 0.5021 | V-Rec: 0.5080 | T-P@R0.9: 0.4167 | V-P@R0.9: 0.4199
Epoch 021 | Time: 168.8s | LR: 2.00e-04 | T-Loss: 0.1149 | V-Loss: 0.1147 | T-Prec: 0.7050 | V-Prec: 0.7039 | T-Rec: 0.5020 | V-Rec: 0.5089 | T-P@R0.9: 0.4173 | V-P@R0.9: 0.4206
Epoch 022 | Time: 170.6s | LR: 2.00e-04 | T-Loss: 0.1147 | V-Loss: 0.1145 | T-Prec: 0.7070 | V-Prec: 0.7066 | T-Rec: 0.4980 | V-Rec: 0.5049 | T-P@R0.9: 0.4180 | V-P@R0.9: 0.4213
Epoch 023 | Time: 169.2s | LR: 2.00e-04 | T-Loss: 0.1144 | V-Loss: 0.1143 | T-Prec: 0.7059 | V-Prec: 0.7049 | T-Rec: 0.5081 | V-Rec: 0.5143 | T-P@R0.9: 0.4187 | V-P@R0.9: 0.4222
Epoch 024 | Time: 169.2s | LR: 2.00e-04 | T-Loss: 0.1143 | V-Loss: 0.1141 | T-Prec: 0.7142 | V-Prec: 0.7146 | T-Rec: 0.4915 | V-Rec: 0.4977 | T-P@R0.9: 0.4202 | V-P@R0.9: 0.4234
Epoch 025 | Time: 169.9s | LR: 2.00e-04 | T-Loss: 0.1140 | V-Loss: 0.1139 | T-Prec: 0.7029 | V-Prec: 0.7028 | T-Rec: 0.5126 | V-Rec: 0.5183 | T-P@R0.9: 0.4206 | V-P@R0.9: 0.4241
Epoch 026 | Time: 168.4s | LR: 2.00e-04 | T-Loss: 0.1136 | V-Loss: 0.1134 | T-Prec: 0.6979 | V-Prec: 0.6977 | T-Rec: 0.5324 | V-Rec: 0.5382 | T-P@R0.9: 0.4215 | V-P@R0.9: 0.4253
Epoch 027 | Time: 169.9s | LR: 2.00e-04 | T-Loss: 0.1135 | V-Loss: 0.1134 | T-Prec: 0.7052 | V-Prec: 0.7062 | T-Rec: 0.5198 | V-Rec: 0.5264 | T-P@R0.9: 0.4228 | V-P@R0.9: 0.4260
Epoch 028 | Time: 170.5s | LR: 2.00e-04 | T-Loss: 0.1132 | V-Loss: 0.1131 | T-Prec: 0.6821 | V-Prec: 0.6828 | T-Rec: 0.5640 | V-Rec: 0.5701 | T-P@R0.9: 0.4239 | V-P@R0.9: 0.4263
Epoch 029 | Time: 170.1s | LR: 2.00e-04 | T-Loss: 0.1129 | V-Loss: 0.1128 | T-Prec: 0.6971 | V-Prec: 0.6981 | T-Rec: 0.5395 | V-Rec: 0.5461 | T-P@R0.9: 0.4247 | V-P@R0.9: 0.4278
Epoch 030 | Time: 170.3s | LR: 2.00e-04 | T-Loss: 0.1129 | V-Loss: 0.1129 | T-Prec: 0.7121 | V-Prec: 0.7120 | T-Rec: 0.5103 | V-Rec: 0.5148 | T-P@R0.9: 0.4248 | V-P@R0.9: 0.4276
Epoch 031 | Time: 169.9s | LR: 2.00e-04 | T-Loss: 0.1129 | V-Loss: 0.1128 | T-Prec: 0.6812 | V-Prec: 0.6819 | T-Rec: 0.5760 | V-Rec: 0.5815 | T-P@R0.9: 0.4255 | V-P@R0.9: 0.4278
Epoch 032 | Time: 169.7s | LR: 2.00e-04 | T-Loss: 0.1123 | V-Loss: 0.1123 | T-Prec: 0.6962 | V-Prec: 0.6975 | T-Rec: 0.5494 | V-Rec: 0.5539 | T-P@R0.9: 0.4272 | V-P@R0.9: 0.4302
Epoch 033 | Time: 170.9s | LR: 2.00e-04 | T-Loss: 0.1122 | V-Loss: 0.1120 | T-Prec: 0.7139 | V-Prec: 0.7143 | T-Rec: 0.5176 | V-Rec: 0.5238 | T-P@R0.9: 0.4278 | V-P@R0.9: 0.4303
Epoch 034 | Time: 169.8s | LR: 2.00e-04 | T-Loss: 0.1119 | V-Loss: 0.1118 | T-Prec: 0.6967 | V-Prec: 0.6974 | T-Rec: 0.5549 | V-Rec: 0.5594 | T-P@R0.9: 0.4280 | V-P@R0.9: 0.4301
Epoch 035 | Time: 169.1s | LR: 2.00e-04 | T-Loss: 0.1118 | V-Loss: 0.1117 | T-Prec: 0.7110 | V-Prec: 0.7110 | T-Rec: 0.5282 | V-Rec: 0.5342 | T-P@R0.9: 0.4285 | V-P@R0.9: 0.4313
Epoch 036 | Time: 170.3s | LR: 2.00e-04 | T-Loss: 0.1120 | V-Loss: 0.1118 | T-Prec: 0.7120 | V-Prec: 0.7109 | T-Rec: 0.5273 | V-Rec: 0.5337 | T-P@R0.9: 0.4286 | V-P@R0.9: 0.4309
Epoch 037 | Time: 168.8s | LR: 2.00e-04 | T-Loss: 0.1113 | V-Loss: 0.1112 | T-Prec: 0.7046 | V-Prec: 0.7046 | T-Rec: 0.5456 | V-Rec: 0.5508 | T-P@R0.9: 0.4299 | V-P@R0.9: 0.4322
Epoch 038 | Time: 169.4s | LR: 2.00e-04 | T-Loss: 0.1112 | V-Loss: 0.1111 | T-Prec: 0.6973 | V-Prec: 0.6970 | T-Rec: 0.5638 | V-Rec: 0.5684 | T-P@R0.9: 0.4312 | V-P@R0.9: 0.4326
Epoch 039 | Time: 168.9s | LR: 2.00e-04 | T-Loss: 0.1113 | V-Loss: 0.1112 | T-Prec: 0.7144 | V-Prec: 0.7135 | T-Rec: 0.5321 | V-Rec: 0.5367 | T-P@R0.9: 0.4305 | V-P@R0.9: 0.4330
Epoch 040 | Time: 169.3s | LR: 2.00e-04 | T-Loss: 0.1114 | V-Loss: 0.1113 | T-Prec: 0.6893 | V-Prec: 0.6911 | T-Rec: 0.5773 | V-Rec: 0.5831 | T-P@R0.9: 0.4305 | V-P@R0.9: 0.4326
Epoch 041 | Time: 169.2s | LR: 2.00e-04 | T-Loss: 0.1107 | V-Loss: 0.1106 | T-Prec: 0.7026 | V-Prec: 0.7030 | T-Rec: 0.5582 | V-Rec: 0.5632 | T-P@R0.9: 0.4322 | V-P@R0.9: 0.4344
Epoch 042 | Time: 170.1s | LR: 2.00e-04 | T-Loss: 0.1107 | V-Loss: 0.1106 | T-Prec: 0.7108 | V-Prec: 0.7106 | T-Rec: 0.5449 | V-Rec: 0.5496 | T-P@R0.9: 0.4327 | V-P@R0.9: 0.4354
Epoch 043 | Time: 170.6s | LR: 2.00e-04 | T-Loss: 0.1106 | V-Loss: 0.1105 | T-Prec: 0.7066 | V-Prec: 0.7064 | T-Rec: 0.5531 | V-Rec: 0.5589 | T-P@R0.9: 0.4333 | V-P@R0.9: 0.4347
Epoch 044 | Time: 169.8s | LR: 2.00e-04 | T-Loss: 0.1104 | V-Loss: 0.1103 | T-Prec: 0.6987 | V-Prec: 0.6998 | T-Rec: 0.5688 | V-Rec: 0.5739 | T-P@R0.9: 0.4330 | V-P@R0.9: 0.4353
Epoch 045 | Time: 169.3s | LR: 2.00e-04 | T-Loss: 0.1103 | V-Loss: 0.1102 | T-Prec: 0.7039 | V-Prec: 0.7042 | T-Rec: 0.5612 | V-Rec: 0.5670 | T-P@R0.9: 0.4345 | V-P@R0.9: 0.4358
Epoch 046 | Time: 169.8s | LR: 2.00e-04 | T-Loss: 0.1109 | V-Loss: 0.1111 | T-Prec: 0.7161 | V-Prec: 0.7159 | T-Rec: 0.5374 | V-Rec: 0.5423 | T-P@R0.9: 0.4352 | V-P@R0.9: 0.4375
