nohup: ignoring input
Device: cuda | Experiment: Causal Graph | Events: 100000
Starting training with Causal Graph...
Epoch 001 | Time: 191.7s | LR: 2.00e-04 | T-Loss: 0.2546 | V-Loss: 0.2506 | T-Prec: 0.4969 | V-Prec: 0.3887 | T-Rec: 0.0039 | V-Rec: 0.0073 | T-P@R0.9: 0.0811 | V-P@R0.9: 0.0785
Epoch 002 | Time: 188.3s | LR: 2.00e-04 | T-Loss: 0.2628 | V-Loss: 0.2576 | T-Prec: 0.4428 | V-Prec: 0.4191 | T-Rec: 0.0174 | V-Rec: 0.0207 | T-P@R0.9: 0.0817 | V-P@R0.9: 0.0792
Epoch 003 | Time: 190.5s | LR: 2.00e-04 | T-Loss: 0.2469 | V-Loss: 0.2438 | T-Prec: 0.4583 | V-Prec: 0.4955 | T-Rec: 0.0139 | V-Rec: 0.0120 | T-P@R0.9: 0.0819 | V-P@R0.9: 0.0793
Epoch 004 | Time: 192.8s | LR: 2.00e-04 | T-Loss: 0.2478 | V-Loss: 0.2456 | T-Prec: 0.4381 | V-Prec: 0.4261 | T-Rec: 0.0181 | V-Rec: 0.0203 | T-P@R0.9: 0.0820 | V-P@R0.9: 0.0793
Epoch 005 | Time: 185.1s | LR: 2.00e-04 | T-Loss: 0.2536 | V-Loss: 0.2482 | T-Prec: 0.4889 | V-Prec: 0.4417 | T-Rec: 0.0147 | V-Rec: 0.0180 | T-P@R0.9: 0.0820 | V-P@R0.9: 0.0794
Epoch 006 | Time: 187.2s | LR: 2.00e-04 | T-Loss: 0.2464 | V-Loss: 0.2434 | T-Prec: 0.6491 | V-Prec: 0.5667 | T-Rec: 0.0022 | V-Rec: 0.0021 | T-P@R0.9: 0.0820 | V-P@R0.9: 0.0794
Epoch 007 | Time: 191.7s | LR: 2.00e-04 | T-Loss: 0.2460 | V-Loss: 0.2433 | T-Prec: 0.5977 | V-Prec: 0.5241 | T-Rec: 0.0012 | V-Rec: 0.0078 | T-P@R0.9: 0.0822 | V-P@R0.9: 0.0796
Epoch 008 | Time: 186.4s | LR: 2.00e-04 | T-Loss: 0.2497 | V-Loss: 0.2449 | T-Prec: 0.0000 | V-Prec: 0.0000 | T-Rec: 0.0000 | V-Rec: 0.0000 | T-P@R0.9: 0.0814 | V-P@R0.9: 0.0790
Epoch 009 | Time: 183.2s | LR: 2.00e-04 | T-Loss: 0.2507 | V-Loss: 0.2480 | T-Prec: 0.4626 | V-Prec: 0.4296 | T-Rec: 0.0216 | V-Rec: 0.0197 | T-P@R0.9: 0.0821 | V-P@R0.9: 0.0794
Epoch 010 | Time: 186.2s | LR: 2.00e-04 | T-Loss: 0.2465 | V-Loss: 0.2437 | T-Prec: 0.6296 | V-Prec: 0.4878 | T-Rec: 0.0034 | V-Rec: 0.0032 | T-P@R0.9: 0.0825 | V-P@R0.9: 0.0798
Epoch 011 | Time: 184.7s | LR: 2.00e-04 | T-Loss: 0.2453 | V-Loss: 0.2429 | T-Prec: 0.4962 | V-Prec: 0.5226 | T-Rec: 0.0211 | V-Rec: 0.0167 | T-P@R0.9: 0.0826 | V-P@R0.9: 0.0798
