Device: cuda | Experiment: Causal Graph 5ns | Events: 100000
Epoch 001 | Time: 149.4s | LR: 2.00e-04 | T-Loss: 0.2137 | V-Loss: 0.2068 | T-Prec: 0.6212 | V-Prec: 0.6300 | T-Rec: 0.0916 | V-Rec: 0.0883 | T-P@R0.9: 0.1432 | V-P@R0.9: 0.1378
Epoch 002 | Time: 151.4s | LR: 2.00e-04 | T-Loss: 0.1839 | V-Loss: 0.1817 | T-Prec: 0.7176 | V-Prec: 0.7160 | T-Rec: 0.1001 | V-Rec: 0.0905 | T-P@R0.9: 0.1724 | V-P@R0.9: 0.1668
Epoch 003 | Time: 147.3s | LR: 2.00e-04 | T-Loss: 0.1732 | V-Loss: 0.1715 | T-Prec: 0.7120 | V-Prec: 0.7109 | T-Rec: 0.1700 | V-Rec: 0.1593 | T-P@R0.9: 0.1880 | V-P@R0.9: 0.1813
Epoch 004 | Time: 148.1s | LR: 2.00e-04 | T-Loss: 0.1704 | V-Loss: 0.1691 | T-Prec: 0.7320 | V-Prec: 0.7379 | T-Rec: 0.1529 | V-Rec: 0.1448 | T-P@R0.9: 0.1959 | V-P@R0.9: 0.1888
Epoch 005 | Time: 149.2s | LR: 2.00e-04 | T-Loss: 0.1674 | V-Loss: 0.1658 | T-Prec: 0.7020 | V-Prec: 0.7101 | T-Rec: 0.2111 | V-Rec: 0.1985 | T-P@R0.9: 0.2014 | V-P@R0.9: 0.1940
Epoch 006 | Time: 150.1s | LR: 2.00e-04 | T-Loss: 0.1656 | V-Loss: 0.1641 | T-Prec: 0.6974 | V-Prec: 0.6997 | T-Rec: 0.2378 | V-Rec: 0.2259 | T-P@R0.9: 0.2028 | V-P@R0.9: 0.1957
Epoch 007 | Time: 149.9s | LR: 2.00e-04 | T-Loss: 0.1646 | V-Loss: 0.1630 | T-Prec: 0.7007 | V-Prec: 0.7046 | T-Rec: 0.2418 | V-Rec: 0.2319 | T-P@R0.9: 0.2053 | V-P@R0.9: 0.1989
Epoch 008 | Time: 151.2s | LR: 2.00e-04 | T-Loss: 0.1644 | V-Loss: 0.1624 | T-Prec: 0.7092 | V-Prec: 0.7149 | T-Rec: 0.2412 | V-Rec: 0.2352 | T-P@R0.9: 0.2061 | V-P@R0.9: 0.2001
Epoch 009 | Time: 151.2s | LR: 2.00e-04 | T-Loss: 0.1625 | V-Loss: 0.1607 | T-Prec: 0.7122 | V-Prec: 0.7188 | T-Rec: 0.2360 | V-Rec: 0.2270 | T-P@R0.9: 0.2102 | V-P@R0.9: 0.2037
Epoch 010 | Time: 153.9s | LR: 2.00e-04 | T-Loss: 0.1630 | V-Loss: 0.1610 | T-Prec: 0.6930 | V-Prec: 0.6986 | T-Rec: 0.2659 | V-Rec: 0.2573 | T-P@R0.9: 0.2109 | V-P@R0.9: 0.2035
Epoch 011 | Time: 150.8s | LR: 2.00e-04 | T-Loss: 0.1656 | V-Loss: 0.1635 | T-Prec: 0.7357 | V-Prec: 0.7445 | T-Rec: 0.1955 | V-Rec: 0.1895 | T-P@R0.9: 0.2122 | V-P@R0.9: 0.2048
Epoch 012 | Time: 151.9s | LR: 2.00e-04 | T-Loss: 0.1610 | V-Loss: 0.1595 | T-Prec: 0.6967 | V-Prec: 0.7050 | T-Rec: 0.2752 | V-Rec: 0.2711 | T-P@R0.9: 0.2125 | V-P@R0.9: 0.2080
Epoch 013 | Time: 149.7s | LR: 2.00e-04 | T-Loss: 0.1596 | V-Loss: 0.1581 | T-Prec: 0.7050 | V-Prec: 0.7118 | T-Rec: 0.2785 | V-Rec: 0.2727 | T-P@R0.9: 0.2153 | V-P@R0.9: 0.2092
Epoch 014 | Time: 153.8s | LR: 2.00e-04 | T-Loss: 0.1612 | V-Loss: 0.1601 | T-Prec: 0.7113 | V-Prec: 0.7129 | T-Rec: 0.2679 | V-Rec: 0.2632 | T-P@R0.9: 0.2175 | V-P@R0.9: 0.2106
Epoch 015 | Time: 151.9s | LR: 2.00e-04 | T-Loss: 0.1580 | V-Loss: 0.1565 | T-Prec: 0.7120 | V-Prec: 0.7185 | T-Rec: 0.2811 | V-Rec: 0.2737 | T-P@R0.9: 0.2194 | V-P@R0.9: 0.2126
Epoch 016 | Time: 148.6s | LR: 2.00e-04 | T-Loss: 0.1710 | V-Loss: 0.1700 | T-Prec: 0.6041 | V-Prec: 0.6073 | T-Rec: 0.4560 | V-Rec: 0.4497 | T-P@R0.9: 0.2176 | V-P@R0.9: 0.2105
Epoch 017 | Time: 145.9s | LR: 2.00e-04 | T-Loss: 0.1567 | V-Loss: 0.1552 | T-Prec: 0.6793 | V-Prec: 0.6870 | T-Rec: 0.3439 | V-Rec: 0.3343 | T-P@R0.9: 0.2238 | V-P@R0.9: 0.2157
Epoch 018 | Time: 148.8s | LR: 2.00e-04 | T-Loss: 0.1570 | V-Loss: 0.1557 | T-Prec: 0.6824 | V-Prec: 0.6863 | T-Rec: 0.3543 | V-Rec: 0.3453 | T-P@R0.9: 0.2239 | V-P@R0.9: 0.2180
