nohup: ignoring input
Device: cuda | Experiment: Causal Graph v2 (T_CUT=3.0) | Events: 100000
Epoch 001 | Time: 108.9s | LR: 2.00e-04 | T-Loss: 0.1853 | V-Loss: 0.1827 | T-Prec: 0.5522 | V-Prec: 0.5452 | T-Rec: 0.1915 | V-Rec: 0.1869 | T-P@R0.9: 0.1605 | V-P@R0.9: 0.1559
Epoch 002 | Time: 108.1s | LR: 2.00e-04 | T-Loss: 0.1718 | V-Loss: 0.1698 | T-Prec: 0.6241 | V-Prec: 0.6209 | T-Rec: 0.1942 | V-Rec: 0.1824 | T-P@R0.9: 0.1861 | V-P@R0.9: 0.1777
Epoch 003 | Time: 108.9s | LR: 2.00e-04 | T-Loss: 0.1687 | V-Loss: 0.1669 | T-Prec: 0.6493 | V-Prec: 0.6444 | T-Rec: 0.1881 | V-Rec: 0.1778 | T-P@R0.9: 0.1940 | V-P@R0.9: 0.1845
Epoch 004 | Time: 108.3s | LR: 2.00e-04 | T-Loss: 0.1643 | V-Loss: 0.1628 | T-Prec: 0.6276 | V-Prec: 0.6266 | T-Rec: 0.2557 | V-Rec: 0.2472 | T-P@R0.9: 0.1984 | V-P@R0.9: 0.1900
Epoch 005 | Time: 108.9s | LR: 2.00e-04 | T-Loss: 0.1632 | V-Loss: 0.1620 | T-Prec: 0.5929 | V-Prec: 0.5951 | T-Rec: 0.3498 | V-Rec: 0.3452 | T-P@R0.9: 0.2021 | V-P@R0.9: 0.1935
Epoch 006 | Time: 109.0s | LR: 2.00e-04 | T-Loss: 0.1618 | V-Loss: 0.1603 | T-Prec: 0.6188 | V-Prec: 0.6205 | T-Rec: 0.2984 | V-Rec: 0.2914 | T-P@R0.9: 0.2038 | V-P@R0.9: 0.1949
Epoch 007 | Time: 110.0s | LR: 2.00e-04 | T-Loss: 0.1618 | V-Loss: 0.1605 | T-Prec: 0.6004 | V-Prec: 0.6014 | T-Rec: 0.3504 | V-Rec: 0.3443 | T-P@R0.9: 0.2035 | V-P@R0.9: 0.1961
Epoch 008 | Time: 135.1s | LR: 2.00e-04 | T-Loss: 0.1604 | V-Loss: 0.1589 | T-Prec: 0.6247 | V-Prec: 0.6249 | T-Rec: 0.3063 | V-Rec: 0.3002 | T-P@R0.9: 0.2048 | V-P@R0.9: 0.1968
Epoch 009 | Time: 147.8s | LR: 2.00e-04 | T-Loss: 0.1601 | V-Loss: 0.1586 | T-Prec: 0.6454 | V-Prec: 0.6445 | T-Rec: 0.2626 | V-Rec: 0.2549 | T-P@R0.9: 0.2078 | V-P@R0.9: 0.1996
Epoch 010 | Time: 146.7s | LR: 2.00e-04 | T-Loss: 0.1600 | V-Loss: 0.1586 | T-Prec: 0.6593 | V-Prec: 0.6556 | T-Rec: 0.2398 | V-Rec: 0.2307 | T-P@R0.9: 0.2084 | V-P@R0.9: 0.1999
Epoch 011 | Time: 150.4s | LR: 2.00e-04 | T-Loss: 0.1607 | V-Loss: 0.1591 | T-Prec: 0.6503 | V-Prec: 0.6467 | T-Rec: 0.2672 | V-Rec: 0.2601 | T-P@R0.9: 0.2092 | V-P@R0.9: 0.2006
Epoch 012 | Time: 149.3s | LR: 2.00e-04 | T-Loss: 0.1588 | V-Loss: 0.1577 | T-Prec: 0.6043 | V-Prec: 0.6023 | T-Rec: 0.3884 | V-Rec: 0.3851 | T-P@R0.9: 0.2106 | V-P@R0.9: 0.2012
