Device: cuda | GCN Back to Basics (k=2) | Events: 100000
Starting training...
Epoch 001 | Time: 47.4s | LR: 2.00e-04 | T-Loss: 0.1275 | V-Loss: 0.1256 | T-Prec: 0.6939 | V-Prec: 0.6919 | T-Rec: 0.4806 | V-Rec: 0.4755 | T-P@R0.9: 0.3473 | V-P@R0.9: 0.3479
Epoch 002 | Time: 47.3s | LR: 2.00e-04 | T-Loss: 0.1267 | V-Loss: 0.1251 | T-Prec: 0.7411 | V-Prec: 0.7403 | T-Rec: 0.4751 | V-Rec: 0.4737 | T-P@R0.9: 0.3448 | V-P@R0.9: 0.3432
Epoch 003 | Time: 47.1s | LR: 2.00e-04 | T-Loss: 0.1187 | V-Loss: 0.1166 | T-Prec: 0.7797 | V-Prec: 0.7779 | T-Rec: 0.4945 | V-Rec: 0.4913 | T-P@R0.9: 0.3610 | V-P@R0.9: 0.3596
Epoch 004 | Time: 46.7s | LR: 2.00e-04 | T-Loss: 0.1148 | V-Loss: 0.1130 | T-Prec: 0.7568 | V-Prec: 0.7536 | T-Rec: 0.5623 | V-Rec: 0.5597 | T-P@R0.9: 0.3693 | V-P@R0.9: 0.3666
Epoch 005 | Time: 46.6s | LR: 2.00e-04 | T-Loss: 0.1120 | V-Loss: 0.1103 | T-Prec: 0.7706 | V-Prec: 0.7646 | T-Rec: 0.5751 | V-Rec: 0.5719 | T-P@R0.9: 0.3765 | V-P@R0.9: 0.3731
Epoch 006 | Time: 46.8s | LR: 2.00e-04 | T-Loss: 0.1106 | V-Loss: 0.1089 | T-Prec: 0.7934 | V-Prec: 0.7872 | T-Rec: 0.5601 | V-Rec: 0.5584 | T-P@R0.9: 0.3819 | V-P@R0.9: 0.3769
Epoch 007 | Time: 46.8s | LR: 2.00e-04 | T-Loss: 0.1088 | V-Loss: 0.1072 | T-Prec: 0.7732 | V-Prec: 0.7682 | T-Rec: 0.6026 | V-Rec: 0.5996 | T-P@R0.9: 0.3894 | V-P@R0.9: 0.3850
Epoch 008 | Time: 46.7s | LR: 2.00e-04 | T-Loss: 0.1074 | V-Loss: 0.1059 | T-Prec: 0.7675 | V-Prec: 0.7611 | T-Rec: 0.6193 | V-Rec: 0.6206 | T-P@R0.9: 0.3955 | V-P@R0.9: 0.3917
Epoch 009 | Time: 46.9s | LR: 2.00e-04 | T-Loss: 0.1062 | V-Loss: 0.1047 | T-Prec: 0.7969 | V-Prec: 0.7906 | T-Rec: 0.5928 | V-Rec: 0.5928 | T-P@R0.9: 0.3982 | V-P@R0.9: 0.3949
Epoch 010 | Time: 46.9s | LR: 2.00e-04 | T-Loss: 0.1054 | V-Loss: 0.1040 | T-Prec: 0.8022 | V-Prec: 0.7963 | T-Rec: 0.5942 | V-Rec: 0.5928 | T-P@R0.9: 0.4064 | V-P@R0.9: 0.4032
Epoch 011 | Time: 46.8s | LR: 2.00e-04 | T-Loss: 0.1036 | V-Loss: 0.1022 | T-Prec: 0.7953 | V-Prec: 0.7896 | T-Rec: 0.6162 | V-Rec: 0.6149 | T-P@R0.9: 0.4110 | V-P@R0.9: 0.4077
Epoch 012 | Time: 47.1s | LR: 2.00e-04 | T-Loss: 0.1019 | V-Loss: 0.1006 | T-Prec: 0.7953 | V-Prec: 0.7893 | T-Rec: 0.6317 | V-Rec: 0.6282 | T-P@R0.9: 0.4174 | V-P@R0.9: 0.4157
Epoch 013 | Time: 46.6s | LR: 2.00e-04 | T-Loss: 0.1020 | V-Loss: 0.1007 | T-Prec: 0.8117 | V-Prec: 0.8068 | T-Rec: 0.6088 | V-Rec: 0.6068 | T-P@R0.9: 0.4227 | V-P@R0.9: 0.4175
Epoch 014 | Time: 47.1s | LR: 2.00e-04 | T-Loss: 0.1002 | V-Loss: 0.0992 | T-Prec: 0.7841 | V-Prec: 0.7786 | T-Rec: 0.6600 | V-Rec: 0.6582 | T-P@R0.9: 0.4329 | V-P@R0.9: 0.4270
Epoch 015 | Time: 46.8s | LR: 2.00e-04 | T-Loss: 0.0991 | V-Loss: 0.0980 | T-Prec: 0.8108 | V-Prec: 0.8054 | T-Rec: 0.6339 | V-Rec: 0.6297 | T-P@R0.9: 0.4348 | V-P@R0.9: 0.4302
Epoch 016 | Time: 47.2s | LR: 2.00e-04 | T-Loss: 0.0982 | V-Loss: 0.0971 | T-Prec: 0.7934 | V-Prec: 0.7880 | T-Rec: 0.6643 | V-Rec: 0.6605 | T-P@R0.9: 0.4415 | V-P@R0.9: 0.4362
Epoch 017 | Time: 47.0s | LR: 2.00e-04 | T-Loss: 0.0971 | V-Loss: 0.0961 | T-Prec: 0.8109 | V-Prec: 0.8065 | T-Rec: 0.6433 | V-Rec: 0.6416 | T-P@R0.9: 0.4514 | V-P@R0.9: 0.4469
