Device: cuda | ResGCN 5-Layer | Events: 400000
Starting training...
Epoch 001 | Time: 168.9s | LR: 2.00e-04 | T-Loss: 0.0996 | V-Loss: 0.1000 | T-Prec: 0.8002 | V-Prec: 0.8004 | T-Rec: 0.6421 | V-Rec: 0.6437 | T-P@R0.9: 0.4227 | V-P@R0.9: 0.4273
Epoch 002 | Time: 168.1s | LR: 2.00e-04 | T-Loss: 0.0912 | V-Loss: 0.0918 | T-Prec: 0.8144 | V-Prec: 0.8141 | T-Rec: 0.6917 | V-Rec: 0.6936 | T-P@R0.9: 0.4775 | V-P@R0.9: 0.4807
Epoch 003 | Time: 168.4s | LR: 2.00e-04 | T-Loss: 0.0853 | V-Loss: 0.0860 | T-Prec: 0.8449 | V-Prec: 0.8434 | T-Rec: 0.7015 | V-Rec: 0.7011 | T-P@R0.9: 0.5094 | V-P@R0.9: 0.5132
Epoch 004 | Time: 168.0s | LR: 2.00e-04 | T-Loss: 0.0826 | V-Loss: 0.0835 | T-Prec: 0.8476 | V-Prec: 0.8456 | T-Rec: 0.7175 | V-Rec: 0.7164 | T-P@R0.9: 0.5339 | V-P@R0.9: 0.5365
Epoch 005 | Time: 167.3s | LR: 2.00e-04 | T-Loss: 0.0796 | V-Loss: 0.0806 | T-Prec: 0.8618 | V-Prec: 0.8588 | T-Rec: 0.7202 | V-Rec: 0.7200 | T-P@R0.9: 0.5606 | V-P@R0.9: 0.5627
Epoch 006 | Time: 167.9s | LR: 2.00e-04 | T-Loss: 0.0777 | V-Loss: 0.0788 | T-Prec: 0.8615 | V-Prec: 0.8593 | T-Rec: 0.7328 | V-Rec: 0.7310 | T-P@R0.9: 0.5800 | V-P@R0.9: 0.5791
Epoch 007 | Time: 167.9s | LR: 2.00e-04 | T-Loss: 0.0758 | V-Loss: 0.0771 | T-Prec: 0.8478 | V-Prec: 0.8447 | T-Rec: 0.7630 | V-Rec: 0.7616 | T-P@R0.9: 0.5966 | V-P@R0.9: 0.5957
Epoch 008 | Time: 167.2s | LR: 2.00e-04 | T-Loss: 0.0745 | V-Loss: 0.0762 | T-Prec: 0.8771 | V-Prec: 0.8734 | T-Rec: 0.7380 | V-Rec: 0.7351 | T-P@R0.9: 0.6065 | V-P@R0.9: 0.6032
Epoch 009 | Time: 168.8s | LR: 2.00e-04 | T-Loss: 0.0729 | V-Loss: 0.0746 | T-Prec: 0.8717 | V-Prec: 0.8679 | T-Rec: 0.7520 | V-Rec: 0.7495 | T-P@R0.9: 0.6253 | V-P@R0.9: 0.6213
Epoch 010 | Time: 168.3s | LR: 2.00e-04 | T-Loss: 0.0715 | V-Loss: 0.0735 | T-Prec: 0.8624 | V-Prec: 0.8579 | T-Rec: 0.7737 | V-Rec: 0.7702 | T-P@R0.9: 0.6357 | V-P@R0.9: 0.6290
Epoch 011 | Time: 168.0s | LR: 2.00e-04 | T-Loss: 0.0709 | V-Loss: 0.0733 | T-Prec: 0.8556 | V-Prec: 0.8497 | T-Rec: 0.7858 | V-Rec: 0.7820 | T-P@R0.9: 0.6490 | V-P@R0.9: 0.6356
Epoch 012 | Time: 168.5s | LR: 2.00e-04 | T-Loss: 0.0700 | V-Loss: 0.0727 | T-Prec: 0.8550 | V-Prec: 0.8494 | T-Rec: 0.7946 | V-Rec: 0.7895 | T-P@R0.9: 0.6527 | V-P@R0.9: 0.6389
Epoch 013 | Time: 168.0s | LR: 2.00e-04 | T-Loss: 0.0689 | V-Loss: 0.0719 | T-Prec: 0.8886 | V-Prec: 0.8813 | T-Rec: 0.7580 | V-Rec: 0.7525 | T-P@R0.9: 0.6646 | V-P@R0.9: 0.6475
Epoch 014 | Time: 167.1s | LR: 2.00e-04 | T-Loss: 0.0679 | V-Loss: 0.0714 | T-Prec: 0.8638 | V-Prec: 0.8552 | T-Rec: 0.7933 | V-Rec: 0.7874 | T-P@R0.9: 0.6723 | V-P@R0.9: 0.6534
Epoch 015 | Time: 168.1s | LR: 2.00e-04 | T-Loss: 0.0667 | V-Loss: 0.0707 | T-Prec: 0.8771 | V-Prec: 0.8673 | T-Rec: 0.7856 | V-Rec: 0.7785 | T-P@R0.9: 0.6806 | V-P@R0.9: 0.6564
Epoch 016 | Time: 167.9s | LR: 2.00e-04 | T-Loss: 0.0664 | V-Loss: 0.0709 | T-Prec: 0.8903 | V-Prec: 0.8792 | T-Rec: 0.7704 | V-Rec: 0.7615 | T-P@R0.9: 0.6904 | V-P@R0.9: 0.6581
Epoch 017 | Time: 168.6s | LR: 2.00e-04 | T-Loss: 0.0657 | V-Loss: 0.0707 | T-Prec: 0.8793 | V-Prec: 0.8668 | T-Rec: 0.7877 | V-Rec: 0.7779 | T-P@R0.9: 0.6996 | V-P@R0.9: 0.6629
Epoch 018 | Time: 168.5s | LR: 2.00e-04 | T-Loss: 0.0644 | V-Loss: 0.0703 | T-Prec: 0.8802 | V-Prec: 0.8667 | T-Rec: 0.7947 | V-Rec: 0.7832 | T-P@R0.9: 0.7068 | V-P@R0.9: 0.6662
Epoch 019 | Time: 167.9s | LR: 2.00e-04 | T-Loss: 0.0635 | V-Loss: 0.0701 | T-Prec: 0.8846 | V-Prec: 0.8682 | T-Rec: 0.7943 | V-Rec: 0.7804 | T-P@R0.9: 0.7165 | V-P@R0.9: 0.6662
Epoch 020 | Time: 168.0s | LR: 2.00e-04 | T-Loss: 0.0628 | V-Loss: 0.0702 | T-Prec: 0.8928 | V-Prec: 0.8746 | T-Rec: 0.7894 | V-Rec: 0.7729 | T-P@R0.9: 0.7233 | V-P@R0.9: 0.6652
Epoch 021 | Time: 168.1s | LR: 2.00e-04 | T-Loss: 0.0624 | V-Loss: 0.0705 | T-Prec: 0.8799 | V-Prec: 0.8597 | T-Rec: 0.8068 | V-Rec: 0.7891 | T-P@R0.9: 0.7284 | V-P@R0.9: 0.6686
Epoch 022 | Time: 168.1s | LR: 2.00e-04 | T-Loss: 0.0613 | V-Loss: 0.0705 | T-Prec: 0.8854 | V-Prec: 0.8636 | T-Rec: 0.8057 | V-Rec: 0.7854 | T-P@R0.9: 0.7375 | V-P@R0.9: 0.6657
Epoch 023 | Time: 167.7s | LR: 2.00e-04 | T-Loss: 0.0606 | V-Loss: 0.0707 | T-Prec: 0.8783 | V-Prec: 0.8543 | T-Rec: 0.8174 | V-Rec: 0.7954 | T-P@R0.9: 0.7481 | V-P@R0.9: 0.6708
Epoch 024 | Time: 168.9s | LR: 2.00e-04 | T-Loss: 0.0594 | V-Loss: 0.0710 | T-Prec: 0.8832 | V-Prec: 0.8560 | T-Rec: 0.8190 | V-Rec: 0.7932 | T-P@R0.9: 0.7575 | V-P@R0.9: 0.6665
Epoch 025 | Time: 168.5s | LR: 2.00e-04 | T-Loss: 0.0586 | V-Loss: 0.0712 | T-Prec: 0.8830 | V-Prec: 0.8537 | T-Rec: 0.8236 | V-Rec: 0.7965 | T-P@R0.9: 0.7583 | V-P@R0.9: 0.6636
Epoch 026 | Time: 169.1s | LR: 2.00e-04 | T-Loss: 0.0577 | V-Loss: 0.0716 | T-Prec: 0.8906 | V-Prec: 0.8583 | T-Rec: 0.8196 | V-Rec: 0.7897 | T-P@R0.9: 0.7671 | V-P@R0.9: 0.6638
Epoch 027 | Time: 168.8s | LR: 2.00e-04 | T-Loss: 0.0567 | V-Loss: 0.0719 | T-Prec: 0.8951 | V-Prec: 0.8606 | T-Rec: 0.8175 | V-Rec: 0.7836 | T-P@R0.9: 0.7763 | V-P@R0.9: 0.6622
Epoch 028 | Time: 169.2s | LR: 2.00e-04 | T-Loss: 0.0559 | V-Loss: 0.0727 | T-Prec: 0.9076 | V-Prec: 0.8704 | T-Rec: 0.8081 | V-Rec: 0.7730 | T-P@R0.9: 0.7860 | V-P@R0.9: 0.6615
Epoch 029 | Time: 169.0s | LR: 2.00e-04 | T-Loss: 0.0551 | V-Loss: 0.0735 | T-Prec: 0.9070 | V-Prec: 0.8674 | T-Rec: 0.8115 | V-Rec: 0.7733 | T-P@R0.9: 0.7867 | V-P@R0.9: 0.6539
Epoch 030 | Time: 168.7s | LR: 2.00e-04 | T-Loss: 0.0547 | V-Loss: 0.0745 | T-Prec: 0.9207 | V-Prec: 0.8760 | T-Rec: 0.7953 | V-Rec: 0.7540 | T-P@R0.9: 0.7989 | V-P@R0.9: 0.6497
Epoch 031 | Time: 168.8s | LR: 2.00e-04 | T-Loss: 0.0532 | V-Loss: 0.0743 | T-Prec: 0.9061 | V-Prec: 0.8590 | T-Rec: 0.8231 | V-Rec: 0.7768 | T-P@R0.9: 0.8046 | V-P@R0.9: 0.6470
Epoch 032 | Time: 169.5s | LR: 2.00e-04 | T-Loss: 0.0535 | V-Loss: 0.0764 | T-Prec: 0.8683 | V-Prec: 0.8179 | T-Rec: 0.8648 | V-Rec: 0.8138 | T-P@R0.9: 0.8113 | V-P@R0.9: 0.6508
Epoch 033 | Time: 170.1s | LR: 2.00e-04 | T-Loss: 0.0512 | V-Loss: 0.0761 | T-Prec: 0.9034 | V-Prec: 0.8515 | T-Rec: 0.8362 | V-Rec: 0.7842 | T-P@R0.9: 0.8193 | V-P@R0.9: 0.6470
Epoch 034 | Time: 169.8s | LR: 2.00e-04 | T-Loss: 0.0502 | V-Loss: 0.0766 | T-Prec: 0.9070 | V-Prec: 0.8498 | T-Rec: 0.8371 | V-Rec: 0.7793 | T-P@R0.9: 0.8267 | V-P@R0.9: 0.6395
Epoch 035 | Time: 169.4s | LR: 2.00e-04 | T-Loss: 0.0495 | V-Loss: 0.0779 | T-Prec: 0.9140 | V-Prec: 0.8525 | T-Rec: 0.8295 | V-Rec: 0.7679 | T-P@R0.9: 0.8305 | V-P@R0.9: 0.6311
Epoch 036 | Time: 169.7s | LR: 2.00e-04 | T-Loss: 0.0484 | V-Loss: 0.0782 | T-Prec: 0.9113 | V-Prec: 0.8489 | T-Rec: 0.8406 | V-Rec: 0.7786 | T-P@R0.9: 0.8383 | V-P@R0.9: 0.6340
Epoch 037 | Time: 169.3s | LR: 2.00e-04 | T-Loss: 0.0476 | V-Loss: 0.0796 | T-Prec: 0.9117 | V-Prec: 0.8452 | T-Rec: 0.8441 | V-Rec: 0.7766 | T-P@R0.9: 0.8454 | V-P@R0.9: 0.6310
Epoch 038 | Time: 168.8s | LR: 2.00e-04 | T-Loss: 0.0468 | V-Loss: 0.0811 | T-Prec: 0.9171 | V-Prec: 0.8489 | T-Rec: 0.8430 | V-Rec: 0.7757 | T-P@R0.9: 0.8502 | V-P@R0.9: 0.6313
Epoch 039 | Time: 169.7s | LR: 2.00e-04 | T-Loss: 0.0465 | V-Loss: 0.0816 | T-Prec: 0.9098 | V-Prec: 0.8364 | T-Rec: 0.8494 | V-Rec: 0.7743 | T-P@R0.9: 0.8518 | V-P@R0.9: 0.6178
Epoch 040 | Time: 169.4s | LR: 2.00e-04 | T-Loss: 0.0451 | V-Loss: 0.0830 | T-Prec: 0.9009 | V-Prec: 0.8265 | T-Rec: 0.8682 | V-Rec: 0.7913 | T-P@R0.9: 0.8596 | V-P@R0.9: 0.6150
Epoch 041 | Time: 168.7s | LR: 1.00e-04 | T-Loss: 0.0419 | V-Loss: 0.0852 | T-Prec: 0.9190 | V-Prec: 0.8327 | T-Rec: 0.8673 | V-Rec: 0.7789 | T-P@R0.9: 0.8833 | V-P@R0.9: 0.6148
Epoch 042 | Time: 168.3s | LR: 1.00e-04 | T-Loss: 0.0411 | V-Loss: 0.0863 | T-Prec: 0.9230 | V-Prec: 0.8339 | T-Rec: 0.8676 | V-Rec: 0.7768 | T-P@R0.9: 0.8886 | V-P@R0.9: 0.6128
Epoch 043 | Time: 168.4s | LR: 1.00e-04 | T-Loss: 0.0404 | V-Loss: 0.0882 | T-Prec: 0.9176 | V-Prec: 0.8284 | T-Rec: 0.8772 | V-Rec: 0.7859 | T-P@R0.9: 0.8916 | V-P@R0.9: 0.6121
Epoch 044 | Time: 167.7s | LR: 1.00e-04 | T-Loss: 0.0399 | V-Loss: 0.0888 | T-Prec: 0.9164 | V-Prec: 0.8229 | T-Rec: 0.8796 | V-Rec: 0.7846 | T-P@R0.9: 0.8946 | V-P@R0.9: 0.6097
Epoch 045 | Time: 168.0s | LR: 1.00e-04 | T-Loss: 0.0397 | V-Loss: 0.0909 | T-Prec: 0.9059 | V-Prec: 0.8077 | T-Rec: 0.8935 | V-Rec: 0.7942 | T-P@R0.9: 0.8981 | V-P@R0.9: 0.5991
Epoch 046 | Time: 167.8s | LR: 1.00e-04 | T-Loss: 0.0390 | V-Loss: 0.0932 | T-Prec: 0.9331 | V-Prec: 0.8376 | T-Rec: 0.8650 | V-Rec: 0.7687 | T-P@R0.9: 0.9006 | V-P@R0.9: 0.6041
Epoch 047 | Time: 167.8s | LR: 1.00e-04 | T-Loss: 0.0381 | V-Loss: 0.0934 | T-Prec: 0.9229 | V-Prec: 0.8219 | T-Rec: 0.8820 | V-Rec: 0.7806 | T-P@R0.9: 0.9047 | V-P@R0.9: 0.5963
Epoch 048 | Time: 168.0s | LR: 1.00e-04 | T-Loss: 0.0378 | V-Loss: 0.0940 | T-Prec: 0.9125 | V-Prec: 0.8078 | T-Rec: 0.8953 | V-Rec: 0.7882 | T-P@R0.9: 0.9072 | V-P@R0.9: 0.5959
Epoch 049 | Time: 167.9s | LR: 1.00e-04 | T-Loss: 0.0373 | V-Loss: 0.0961 | T-Prec: 0.9130 | V-Prec: 0.8049 | T-Rec: 0.8969 | V-Rec: 0.7872 | T-P@R0.9: 0.9094 | V-P@R0.9: 0.5912
Epoch 050 | Time: 168.3s | LR: 1.00e-04 | T-Loss: 0.0364 | V-Loss: 0.0968 | T-Prec: 0.9247 | V-Prec: 0.8182 | T-Rec: 0.8878 | V-Rec: 0.7808 | T-P@R0.9: 0.9124 | V-P@R0.9: 0.5953
Epoch 051 | Time: 168.5s | LR: 1.00e-04 | T-Loss: 0.0359 | V-Loss: 0.0982 | T-Prec: 0.9252 | V-Prec: 0.8148 | T-Rec: 0.8884 | V-Rec: 0.7782 | T-P@R0.9: 0.9144 | V-P@R0.9: 0.5911
Epoch 052 | Time: 168.3s | LR: 1.00e-04 | T-Loss: 0.0355 | V-Loss: 0.1004 | T-Prec: 0.9273 | V-Prec: 0.8166 | T-Rec: 0.8889 | V-Rec: 0.7785 | T-P@R0.9: 0.9171 | V-P@R0.9: 0.5881
Epoch 053 | Time: 168.2s | LR: 1.00e-04 | T-Loss: 0.0349 | V-Loss: 0.1012 | T-Prec: 0.9377 | V-Prec: 0.8235 | T-Rec: 0.8796 | V-Rec: 0.7660 | T-P@R0.9: 0.9211 | V-P@R0.9: 0.5827
Epoch 054 | Time: 168.9s | LR: 1.00e-04 | T-Loss: 0.0342 | V-Loss: 0.1033 | T-Prec: 0.9350 | V-Prec: 0.8173 | T-Rec: 0.8871 | V-Rec: 0.7700 | T-P@R0.9: 0.9241 | V-P@R0.9: 0.5842
Epoch 055 | Time: 168.1s | LR: 1.00e-04 | T-Loss: 0.0337 | V-Loss: 0.1045 | T-Prec: 0.9291 | V-Prec: 0.8083 | T-Rec: 0.8971 | V-Rec: 0.7773 | T-P@R0.9: 0.9267 | V-P@R0.9: 0.5817
Epoch 056 | Time: 168.3s | LR: 1.00e-04 | T-Loss: 0.0334 | V-Loss: 0.1056 | T-Prec: 0.9224 | V-Prec: 0.7993 | T-Rec: 0.9057 | V-Rec: 0.7824 | T-P@R0.9: 0.9277 | V-P@R0.9: 0.5805
