Device: cuda | MARATHON 2000 | WITH RES
Epoch 0001 | Time: 38.4s | V-Loss: 0.1116 | V-P@R0.9: 0.2807
Epoch 0002 | Time: 35.1s | V-Loss: 0.1001 | V-P@R0.9: 0.3052
Epoch 0003 | Time: 45.2s | V-Loss: 0.0929 | V-P@R0.9: 0.3345
Epoch 0004 | Time: 42.1s | V-Loss: 0.0901 | V-P@R0.9: 0.3428
Epoch 0005 | Time: 52.2s | V-Loss: 0.0880 | V-P@R0.9: 0.3596
Epoch 0006 | Time: 48.8s | V-Loss: 0.0859 | V-P@R0.9: 0.3647
Epoch 0007 | Time: 39.3s | V-Loss: 0.0843 | V-P@R0.9: 0.3784
Epoch 0008 | Time: 50.5s | V-Loss: 0.0836 | V-P@R0.9: 0.3797
Epoch 0009 | Time: 46.9s | V-Loss: 0.0829 | V-P@R0.9: 0.3851
Epoch 0010 | Time: 47.4s | V-Loss: 0.0814 | V-P@R0.9: 0.3961
Epoch 0011 | Time: 49.6s | V-Loss: 0.0805 | V-P@R0.9: 0.3997
Epoch 0012 | Time: 44.9s | V-Loss: 0.0795 | V-P@R0.9: 0.4074
Epoch 0013 | Time: 51.1s | V-Loss: 0.0786 | V-P@R0.9: 0.4151
Epoch 0014 | Time: 48.3s | V-Loss: 0.0783 | V-P@R0.9: 0.4186
Epoch 0015 | Time: 47.1s | V-Loss: 0.0773 | V-P@R0.9: 0.4246
Epoch 0016 | Time: 40.5s | V-Loss: 0.0765 | V-P@R0.9: 0.4346
Epoch 0017 | Time: 44.7s | V-Loss: 0.0760 | V-P@R0.9: 0.4331
Epoch 0018 | Time: 46.1s | V-Loss: 0.0749 | V-P@R0.9: 0.4449
Epoch 0019 | Time: 44.6s | V-Loss: 0.0745 | V-P@R0.9: 0.4499
Epoch 0020 | Time: 51.5s | V-Loss: 0.0751 | V-P@R0.9: 0.4447
Epoch 0021 | Time: 57.3s | V-Loss: 0.0749 | V-P@R0.9: 0.4531
Epoch 0022 | Time: 54.5s | V-Loss: 0.0742 | V-P@R0.9: 0.4485
Epoch 0023 | Time: 43.4s | V-Loss: 0.0742 | V-P@R0.9: 0.4499
Epoch 0024 | Time: 45.9s | V-Loss: 0.0726 | V-P@R0.9: 0.4671
Epoch 0025 | Time: 46.0s | V-Loss: 0.0724 | V-P@R0.9: 0.4690
Epoch 0026 | Time: 48.9s | V-Loss: 0.0723 | V-P@R0.9: 0.4744
Epoch 0027 | Time: 49.0s | V-Loss: 0.0720 | V-P@R0.9: 0.4783
Epoch 0028 | Time: 44.1s | V-Loss: 0.0722 | V-P@R0.9: 0.4736
Epoch 0029 | Time: 48.8s | V-Loss: 0.0716 | V-P@R0.9: 0.4801
Epoch 0030 | Time: 48.8s | V-Loss: 0.0711 | V-P@R0.9: 0.4865
Epoch 0031 | Time: 46.5s | V-Loss: 0.0708 | V-P@R0.9: 0.4833
Epoch 0032 | Time: 49.3s | V-Loss: 0.0710 | V-P@R0.9: 0.4860
