Device: cuda | MARATHON 2000 | NO RES
Epoch 0001 | Time: 37.4s | V-Loss: 0.1225 | V-P@R0.9: 0.2710
Epoch 0002 | Time: 34.7s | V-Loss: 0.1209 | V-P@R0.9: 0.2727
Epoch 0003 | Time: 32.4s | V-Loss: 0.1203 | V-P@R0.9: 0.2747
Epoch 0004 | Time: 37.5s | V-Loss: 0.1192 | V-P@R0.9: 0.2788
Epoch 0005 | Time: 38.0s | V-Loss: 0.1191 | V-P@R0.9: 0.2773
Epoch 0006 | Time: 35.9s | V-Loss: 0.1191 | V-P@R0.9: 0.2774
Epoch 0007 | Time: 37.1s | V-Loss: 0.1188 | V-P@R0.9: 0.2790
Epoch 0008 | Time: 36.0s | V-Loss: 0.1187 | V-P@R0.9: 0.2789
Epoch 0009 | Time: 37.6s | V-Loss: 0.1184 | V-P@R0.9: 0.2797
Epoch 0010 | Time: 36.6s | V-Loss: 0.1185 | V-P@R0.9: 0.2794
Epoch 0011 | Time: 37.5s | V-Loss: 0.1183 | V-P@R0.9: 0.2813
Epoch 0012 | Time: 37.5s | V-Loss: 0.1184 | V-P@R0.9: 0.2809
Epoch 0013 | Time: 37.5s | V-Loss: 0.1182 | V-P@R0.9: 0.2820
Epoch 0014 | Time: 36.5s | V-Loss: 0.1178 | V-P@R0.9: 0.2830
Epoch 0015 | Time: 36.1s | V-Loss: 0.1180 | V-P@R0.9: 0.2832
Epoch 0016 | Time: 38.5s | V-Loss: 0.1177 | V-P@R0.9: 0.2835
Epoch 0017 | Time: 39.2s | V-Loss: 0.1179 | V-P@R0.9: 0.2823
Epoch 0018 | Time: 36.7s | V-Loss: 0.1177 | V-P@R0.9: 0.2837
Epoch 0019 | Time: 36.1s | V-Loss: 0.1184 | V-P@R0.9: 0.2839
Epoch 0020 | Time: 37.8s | V-Loss: 0.1176 | V-P@R0.9: 0.2873
Epoch 0021 | Time: 40.4s | V-Loss: 0.1176 | V-P@R0.9: 0.2825
Epoch 0022 | Time: 36.7s | V-Loss: 0.1172 | V-P@R0.9: 0.2853
Epoch 0023 | Time: 38.5s | V-Loss: 0.1168 | V-P@R0.9: 0.2864
Epoch 0024 | Time: 36.6s | V-Loss: 0.1173 | V-P@R0.9: 0.2862
Epoch 0025 | Time: 36.6s | V-Loss: 0.1169 | V-P@R0.9: 0.2864
Epoch 0026 | Time: 38.7s | V-Loss: 0.1167 | V-P@R0.9: 0.2882
Epoch 0027 | Time: 38.8s | V-Loss: 0.1161 | V-P@R0.9: 0.2913
Epoch 0028 | Time: 38.3s | V-Loss: 0.1160 | V-P@R0.9: 0.2910
Epoch 0029 | Time: 38.4s | V-Loss: 0.1174 | V-P@R0.9: 0.2882
Epoch 0030 | Time: 39.2s | V-Loss: 0.1159 | V-P@R0.9: 0.2911
Epoch 0031 | Time: 36.2s | V-Loss: 0.1150 | V-P@R0.9: 0.2918
Epoch 0032 | Time: 37.8s | V-Loss: 0.1150 | V-P@R0.9: 0.2924
Epoch 0033 | Time: 38.7s | V-Loss: 0.1153 | V-P@R0.9: 0.2899
Epoch 0034 | Time: 39.3s | V-Loss: 0.1144 | V-P@R0.9: 0.2923
Epoch 0035 | Time: 36.8s | V-Loss: 0.1143 | V-P@R0.9: 0.2929
Epoch 0036 | Time: 39.3s | V-Loss: 0.1147 | V-P@R0.9: 0.2923
Epoch 0037 | Time: 37.3s | V-Loss: 0.1140 | V-P@R0.9: 0.2928
Epoch 0038 | Time: 40.9s | V-Loss: 0.1144 | V-P@R0.9: 0.2923
Epoch 0039 | Time: 37.2s | V-Loss: 0.1146 | V-P@R0.9: 0.2931
Epoch 0040 | Time: 40.8s | V-Loss: 0.1138 | V-P@R0.9: 0.2944
Epoch 0041 | Time: 39.2s | V-Loss: 0.1144 | V-P@R0.9: 0.2922
Epoch 0042 | Time: 42.3s | V-Loss: 0.1133 | V-P@R0.9: 0.2956
Epoch 0043 | Time: 40.0s | V-Loss: 0.1131 | V-P@R0.9: 0.2962
Epoch 0044 | Time: 37.3s | V-Loss: 0.1136 | V-P@R0.9: 0.2968
Epoch 0045 | Time: 38.4s | V-Loss: 0.1131 | V-P@R0.9: 0.2979
Epoch 0046 | Time: 41.8s | V-Loss: 0.1122 | V-P@R0.9: 0.3006
