Device: cuda | MLP-BYPASS STUDY | GCN 5Layer
Epoch 0001 | Time: 42.2s | T-Loss: 0.1341 | V-Loss: 0.1135 | T-Prec: 0.7243 | V-Prec: 0.6889 | T-Rec: 0.4205 | V-Rec: 0.3420 | T-P@R0.9: 0.3646 | V-P@R0.9: 0.2824
Epoch 0002 | Time: 39.8s | T-Loss: 0.1200 | V-Loss: 0.1059 | T-Prec: 0.7291 | V-Prec: 0.6973 | T-Rec: 0.5675 | V-Rec: 0.5222 | T-P@R0.9: 0.3578 | V-P@R0.9: 0.2869
Epoch 0003 | Time: 42.4s | T-Loss: 0.1132 | V-Loss: 0.1017 | T-Prec: 0.7875 | V-Prec: 0.7683 | T-Rec: 0.5487 | V-Rec: 0.4984 | T-P@R0.9: 0.3597 | V-P@R0.9: 0.2886
Epoch 0004 | Time: 43.2s | T-Loss: 0.1049 | V-Loss: 0.0944 | T-Prec: 0.8039 | V-Prec: 0.7802 | T-Rec: 0.5992 | V-Rec: 0.5496 | T-P@R0.9: 0.3904 | V-P@R0.9: 0.3167
Epoch 0005 | Time: 43.4s | T-Loss: 0.1020 | V-Loss: 0.0924 | T-Prec: 0.8017 | V-Prec: 0.7740 | T-Rec: 0.6294 | V-Rec: 0.5803 | T-P@R0.9: 0.4082 | V-P@R0.9: 0.3261
Epoch 0006 | Time: 43.2s | T-Loss: 0.1002 | V-Loss: 0.0901 | T-Prec: 0.7894 | V-Prec: 0.7593 | T-Rec: 0.6808 | V-Rec: 0.6257 | T-P@R0.9: 0.4397 | V-P@R0.9: 0.3378
Epoch 0007 | Time: 43.8s | T-Loss: 0.0963 | V-Loss: 0.0874 | T-Prec: 0.8221 | V-Prec: 0.7970 | T-Rec: 0.6438 | V-Rec: 0.6036 | T-P@R0.9: 0.4305 | V-P@R0.9: 0.3496
Epoch 0008 | Time: 43.4s | T-Loss: 0.0946 | V-Loss: 0.0857 | T-Prec: 0.8135 | V-Prec: 0.7846 | T-Rec: 0.6846 | V-Rec: 0.6410 | T-P@R0.9: 0.4452 | V-P@R0.9: 0.3549
Epoch 0009 | Time: 45.2s | T-Loss: 0.0906 | V-Loss: 0.0847 | T-Prec: 0.8197 | V-Prec: 0.7954 | T-Rec: 0.6956 | V-Rec: 0.6498 | T-P@R0.9: 0.4449 | V-P@R0.9: 0.3576
Epoch 0010 | Time: 44.8s | T-Loss: 0.0873 | V-Loss: 0.0826 | T-Prec: 0.8166 | V-Prec: 0.7958 | T-Rec: 0.7081 | V-Rec: 0.6641 | T-P@R0.9: 0.4612 | V-P@R0.9: 0.3697
Epoch 0011 | Time: 41.4s | T-Loss: 0.0880 | V-Loss: 0.0815 | T-Prec: 0.8445 | V-Prec: 0.8183 | T-Rec: 0.6857 | V-Rec: 0.6450 | T-P@R0.9: 0.4720 | V-P@R0.9: 0.3746
