Device: cuda | JK-MINKOWSKI | GCN 5Layer (8 Features)
Epoch 0001 | T-P@R0.9: 0.4248 | V-P@R0.9: 0.3428
Epoch 0002 | T-P@R0.9: 0.4808 | V-P@R0.9: 0.3750
Epoch 0003 | T-P@R0.9: 0.4566 | V-P@R0.9: 0.4039
Epoch 0004 | T-P@R0.9: 0.5421 | V-P@R0.9: 0.4184
Epoch 0005 | T-P@R0.9: 0.5511 | V-P@R0.9: 0.4397
Epoch 0006 | T-P@R0.9: 0.5923 | V-P@R0.9: 0.4596
Epoch 0007 | T-P@R0.9: 0.5912 | V-P@R0.9: 0.4858
Epoch 0008 | T-P@R0.9: 0.5784 | V-P@R0.9: 0.4946
Epoch 0009 | T-P@R0.9: 0.6117 | V-P@R0.9: 0.5071
Epoch 0010 | T-P@R0.9: 0.6549 | V-P@R0.9: 0.5230
Epoch 0011 | T-P@R0.9: 0.6174 | V-P@R0.9: 0.5310
Epoch 0012 | T-P@R0.9: 0.6745 | V-P@R0.9: 0.5384
Epoch 0013 | T-P@R0.9: 0.6676 | V-P@R0.9: 0.5591
Epoch 0014 | T-P@R0.9: 0.6962 | V-P@R0.9: 0.5601
Epoch 0015 | T-P@R0.9: 0.6744 | V-P@R0.9: 0.5723
Epoch 0016 | T-P@R0.9: 0.6772 | V-P@R0.9: 0.5894
Epoch 0017 | T-P@R0.9: 0.7346 | V-P@R0.9: 0.5994
Epoch 0018 | T-P@R0.9: 0.7242 | V-P@R0.9: 0.6019
Epoch 0019 | T-P@R0.9: 0.7377 | V-P@R0.9: 0.6084
Epoch 0020 | T-P@R0.9: 0.7284 | V-P@R0.9: 0.6130
Epoch 0021 | T-P@R0.9: 0.7433 | V-P@R0.9: 0.6114
Epoch 0022 | T-P@R0.9: 0.7537 | V-P@R0.9: 0.6106
Epoch 0023 | T-P@R0.9: 0.7781 | V-P@R0.9: 0.6269
Epoch 0024 | T-P@R0.9: 0.7510 | V-P@R0.9: 0.6372
Epoch 0025 | T-P@R0.9: 0.7657 | V-P@R0.9: 0.6336
Epoch 0026 | T-P@R0.9: 0.7442 | V-P@R0.9: 0.6477
Epoch 0027 | T-P@R0.9: 0.7690 | V-P@R0.9: 0.6193
Epoch 0028 | T-P@R0.9: 0.7519 | V-P@R0.9: 0.6545
Epoch 0029 | T-P@R0.9: 0.7709 | V-P@R0.9: 0.6526
Epoch 0030 | T-P@R0.9: 0.7768 | V-P@R0.9: 0.6501
Epoch 0031 | T-P@R0.9: 0.7804 | V-P@R0.9: 0.6598
Epoch 0032 | T-P@R0.9: 0.7918 | V-P@R0.9: 0.6705
Epoch 0033 | T-P@R0.9: 0.7883 | V-P@R0.9: 0.6655
Epoch 0034 | T-P@R0.9: 0.7704 | V-P@R0.9: 0.6512
Epoch 0035 | T-P@R0.9: 0.7749 | V-P@R0.9: 0.6706
Epoch 0036 | T-P@R0.9: 0.7856 | V-P@R0.9: 0.6761
Epoch 0037 | T-P@R0.9: 0.7688 | V-P@R0.9: 0.6735
Epoch 0038 | T-P@R0.9: 0.8078 | V-P@R0.9: 0.6817
Epoch 0039 | T-P@R0.9: 0.7812 | V-P@R0.9: 0.6905
Epoch 0040 | T-P@R0.9: 0.8066 | V-P@R0.9: 0.6913
Epoch 0041 | T-P@R0.9: 0.8030 | V-P@R0.9: 0.6865
Epoch 0042 | T-P@R0.9: 0.8144 | V-P@R0.9: 0.6886
Epoch 0043 | T-P@R0.9: 0.8197 | V-P@R0.9: 0.6844
Epoch 0044 | T-P@R0.9: 0.7990 | V-P@R0.9: 0.6940
Epoch 0045 | T-P@R0.9: 0.7938 | V-P@R0.9: 0.6949
Epoch 0046 | T-P@R0.9: 0.8128 | V-P@R0.9: 0.6796
Epoch 0047 | T-P@R0.9: 0.8212 | V-P@R0.9: 0.6956
Epoch 0048 | T-P@R0.9: 0.8003 | V-P@R0.9: 0.6910
Epoch 0049 | T-P@R0.9: 0.8093 | V-P@R0.9: 0.7026
Epoch 0050 | T-P@R0.9: 0.7984 | V-P@R0.9: 0.7142
Epoch 0051 | T-P@R0.9: 0.8044 | V-P@R0.9: 0.7078
Epoch 0052 | T-P@R0.9: 0.8032 | V-P@R0.9: 0.6954
Epoch 0053 | T-P@R0.9: 0.7965 | V-P@R0.9: 0.7086
Epoch 0054 | T-P@R0.9: 0.8176 | V-P@R0.9: 0.7051
Epoch 0055 | T-P@R0.9: 0.8091 | V-P@R0.9: 0.7121
Epoch 0056 | T-P@R0.9: 0.8111 | V-P@R0.9: 0.7062
Epoch 0057 | T-P@R0.9: 0.8286 | V-P@R0.9: 0.7112
Epoch 0058 | T-P@R0.9: 0.8119 | V-P@R0.9: 0.7112
Epoch 0059 | T-P@R0.9: 0.8379 | V-P@R0.9: 0.7142
Epoch 0060 | T-P@R0.9: 0.8164 | V-P@R0.9: 0.7063
Epoch 0061 | T-P@R0.9: 0.8176 | V-P@R0.9: 0.7159
Epoch 0062 | T-P@R0.9: 0.8088 | V-P@R0.9: 0.7201
Epoch 0063 | T-P@R0.9: 0.8197 | V-P@R0.9: 0.7155
Epoch 0064 | T-P@R0.9: 0.8446 | V-P@R0.9: 0.7169
Epoch 0065 | T-P@R0.9: 0.8233 | V-P@R0.9: 0.7250
Epoch 0066 | T-P@R0.9: 0.8213 | V-P@R0.9: 0.7122
Epoch 0067 | T-P@R0.9: 0.8381 | V-P@R0.9: 0.7265
Epoch 0068 | T-P@R0.9: 0.8411 | V-P@R0.9: 0.7256
Epoch 0069 | T-P@R0.9: 0.8431 | V-P@R0.9: 0.7211
Epoch 0070 | T-P@R0.9: 0.8366 | V-P@R0.9: 0.7172
