Device: cuda | EXTENDED MINKOWSKI JK | 13 Features (Optimized)
Epoch 0001 | Time: 36.6s | T-P@R0.9: 0.4083 | V-P@R0.9: 0.3267
Epoch 0002 | Time: 33.2s | T-P@R0.9: 0.4414 | V-P@R0.9: 0.3691
Epoch 0003 | Time: 33.6s | T-P@R0.9: 0.4973 | V-P@R0.9: 0.4037
Epoch 0004 | Time: 36.1s | T-P@R0.9: 0.5360 | V-P@R0.9: 0.4168
Epoch 0005 | Time: 37.0s | T-P@R0.9: 0.5485 | V-P@R0.9: 0.4366
Epoch 0006 | Time: 35.2s | T-P@R0.9: 0.5676 | V-P@R0.9: 0.4496
Epoch 0007 | Time: 35.0s | T-P@R0.9: 0.5794 | V-P@R0.9: 0.4574
Epoch 0008 | Time: 36.0s | T-P@R0.9: 0.6025 | V-P@R0.9: 0.4767
Epoch 0009 | Time: 36.4s | T-P@R0.9: 0.6310 | V-P@R0.9: 0.4891
Epoch 0010 | Time: 35.3s | T-P@R0.9: 0.6415 | V-P@R0.9: 0.5078
Epoch 0011 | Time: 35.7s | T-P@R0.9: 0.6415 | V-P@R0.9: 0.5272
Epoch 0012 | Time: 35.6s | T-P@R0.9: 0.6138 | V-P@R0.9: 0.5241
Epoch 0013 | Time: 39.5s | T-P@R0.9: 0.6976 | V-P@R0.9: 0.5491
Epoch 0014 | Time: 37.3s | T-P@R0.9: 0.6760 | V-P@R0.9: 0.5625
Epoch 0015 | Time: 36.4s | T-P@R0.9: 0.6803 | V-P@R0.9: 0.5603
Epoch 0016 | Time: 37.0s | T-P@R0.9: 0.7050 | V-P@R0.9: 0.5711
Epoch 0017 | Time: 36.3s | T-P@R0.9: 0.6784 | V-P@R0.9: 0.5756
Epoch 0018 | Time: 38.0s | T-P@R0.9: 0.7188 | V-P@R0.9: 0.6038
Epoch 0019 | Time: 37.1s | T-P@R0.9: 0.7363 | V-P@R0.9: 0.5945
Epoch 0020 | Time: 37.1s | T-P@R0.9: 0.7381 | V-P@R0.9: 0.5932
Epoch 0021 | Time: 37.2s | T-P@R0.9: 0.7263 | V-P@R0.9: 0.6142
Epoch 0022 | Time: 37.0s | T-P@R0.9: 0.7363 | V-P@R0.9: 0.6150
Epoch 0023 | Time: 37.3s | T-P@R0.9: 0.7641 | V-P@R0.9: 0.6185
Epoch 0024 | Time: 35.6s | T-P@R0.9: 0.7693 | V-P@R0.9: 0.6414
Epoch 0025 | Time: 36.4s | T-P@R0.9: 0.7608 | V-P@R0.9: 0.6341
Epoch 0026 | Time: 39.8s | T-P@R0.9: 0.7531 | V-P@R0.9: 0.6364
Epoch 0027 | Time: 38.6s | T-P@R0.9: 0.7463 | V-P@R0.9: 0.6506
