Device: cuda | JK-MINKOWSKI V2 | CHASE FOR 0.85
Loading pretrained body from: 2026-03-24_extended_minkowski_jk/checkpoints/model_ext_jk_400.pt
Epoch 0001 | V-Loss: 0.0425 | V-P@R0.9: 0.8046
Epoch 0002 | V-Loss: 0.0417 | V-P@R0.9: 0.8169
Epoch 0003 | V-Loss: 0.0412 | V-P@R0.9: 0.8174
Epoch 0004 | V-Loss: 0.0412 | V-P@R0.9: 0.8146
Epoch 0005 | V-Loss: 0.0414 | V-P@R0.9: 0.8182
Epoch 0006 | V-Loss: 0.0411 | V-P@R0.9: 0.8204
Epoch 0007 | V-Loss: 0.0405 | V-P@R0.9: 0.8244
Epoch 0008 | V-Loss: 0.0412 | V-P@R0.9: 0.8195
Epoch 0009 | V-Loss: 0.0411 | V-P@R0.9: 0.8200
Epoch 0010 | V-Loss: 0.0414 | V-P@R0.9: 0.8189
Epoch 0011 | V-Loss: 0.0410 | V-P@R0.9: 0.8211
Epoch 0012 | V-Loss: 0.0413 | V-P@R0.9: 0.8207
Epoch 0013 | V-Loss: 0.0408 | V-P@R0.9: 0.8217
Epoch 0014 | V-Loss: 0.0412 | V-P@R0.9: 0.8229
Epoch 0015 | V-Loss: 0.0408 | V-P@R0.9: 0.8202
Epoch 0016 | V-Loss: 0.0408 | V-P@R0.9: 0.8229
Epoch 0017 | V-Loss: 0.0403 | V-P@R0.9: 0.8275
Epoch 0018 | V-Loss: 0.0404 | V-P@R0.9: 0.8272
Epoch 0019 | V-Loss: 0.0403 | V-P@R0.9: 0.8262
Epoch 0020 | V-Loss: 0.0410 | V-P@R0.9: 0.8203
Epoch 0021 | V-Loss: 0.0403 | V-P@R0.9: 0.8263
Epoch 0022 | V-Loss: 0.0401 | V-P@R0.9: 0.8284
Epoch 0023 | V-Loss: 0.0409 | V-P@R0.9: 0.8210
Epoch 0024 | V-Loss: 0.0404 | V-P@R0.9: 0.8248
Epoch 0025 | V-Loss: 0.0397 | V-P@R0.9: 0.8309
Epoch 0026 | V-Loss: 0.0400 | V-P@R0.9: 0.8286
Epoch 0027 | V-Loss: 0.0407 | V-P@R0.9: 0.8234
Epoch 0028 | V-Loss: 0.0409 | V-P@R0.9: 0.8237
Epoch 0029 | V-Loss: 0.0404 | V-P@R0.9: 0.8259
Epoch 0030 | V-Loss: 0.0403 | V-P@R0.9: 0.8300
