BEST MODEL AT EPOCH 2500
Baseline P@R0.9: 0.9152

Feature | Permutation Drop | Gradient Sensitivity
--------------------------------------------------
0: Charge       | 0.393418 | 0.000003
1: Time         | 0.719611 | 0.000003
2: X            | 0.233631 | 0.000001
3: Y            | 0.308145 | 0.000001
4: Z            | 0.668540 | 0.000001
5: Minkowski s2 | 0.000862 | 0.000000
6: dt           | 0.846288 | 0.000009
7: dr           | 0.274970 | 0.000001
8: r_xy         | 0.461333 | 0.000002
9: phi          | 0.085506 | 0.000000
10: rho         | 0.613385 | 0.000001
11: cosTheta    | 0.233688 | 0.000001
12: ToF Res     | 0.274258 | 0.000001
13: NeighDist   | 0.645043 | 0.000001
14: NeighQ      | 0.260594 | 0.000003
15: Q/Mean      | -0.000035 | 0.000000
16: cosAlpha    | 0.000085 | 0.000000
17: StrHits     | 0.005423 | 0.000000
18: StrZSpan    | 0.001030 | 0.000000
19: EventNhits  | 0.016507 | 0.000000
20: Duration    | 0.044274 | 0.000000
