Starting NORMALIZED 21-FEATURE Marathon on cuda
Epoch 0001 | Time: 47.6s | Val P@R0.9: 0.3763
Epoch 0002 | Time: 49.5s | Val P@R0.9: 0.4273
Epoch 0003 | Time: 30.8s | Val P@R0.9: 0.4748
Epoch 0004 | Time: 42.8s | Val P@R0.9: 0.5134
Epoch 0005 | Time: 33.4s | Val P@R0.9: 0.4876
Epoch 0006 | Time: 44.5s | Val P@R0.9: 0.5260
Epoch 0007 | Time: 31.4s | Val P@R0.9: 0.5105
Epoch 0008 | Time: 44.0s | Val P@R0.9: 0.5706
Epoch 0009 | Time: 32.6s | Val P@R0.9: 0.5768
Epoch 0010 | Time: 48.9s | Val P@R0.9: 0.5421
Epoch 0011 | Time: 31.7s | Val P@R0.9: 0.5613
Epoch 0012 | Time: 39.9s | Val P@R0.9: 0.6210
Epoch 0013 | Time: 31.8s | Val P@R0.9: 0.5824
Epoch 0014 | Time: 48.1s | Val P@R0.9: 0.5934
Epoch 0015 | Time: 31.0s | Val P@R0.9: 0.6240
Epoch 0016 | Time: 41.2s | Val P@R0.9: 0.6546
Epoch 0017 | Time: 31.5s | Val P@R0.9: 0.6709
Epoch 0018 | Time: 49.8s | Val P@R0.9: 0.6047
Epoch 0019 | Time: 32.4s | Val P@R0.9: 0.6621
Epoch 0020 | Time: 42.0s | Val P@R0.9: 0.6843
Epoch 0021 | Time: 31.1s | Val P@R0.9: 0.6454
Epoch 0022 | Time: 42.3s | Val P@R0.9: 0.6974
Epoch 0023 | Time: 30.8s | Val P@R0.9: 0.6956
Epoch 0024 | Time: 46.9s | Val P@R0.9: 0.7013
Epoch 0025 | Time: 32.0s | Val P@R0.9: 0.6567
Epoch 0026 | Time: 51.1s | Val P@R0.9: 0.6596
Epoch 0027 | Time: 31.8s | Val P@R0.9: 0.7116
Epoch 0028 | Time: 55.5s | Val P@R0.9: 0.7208
Epoch 0029 | Time: 32.6s | Val P@R0.9: 0.6780
Epoch 0030 | Time: 45.9s | Val P@R0.9: 0.7036
Epoch 0031 | Time: 31.6s | Val P@R0.9: 0.6951
Epoch 0032 | Time: 42.3s | Val P@R0.9: 0.7089
Epoch 0033 | Time: 31.3s | Val P@R0.9: 0.7102
Epoch 0034 | Time: 52.1s | Val P@R0.9: 0.6860
Epoch 0035 | Time: 33.4s | Val P@R0.9: 0.6880
Epoch 0036 | Time: 41.5s | Val P@R0.9: 0.7618
Epoch 0037 | Time: 32.4s | Val P@R0.9: 0.6742
Epoch 0038 | Time: 43.9s | Val P@R0.9: 0.7261
Epoch 0039 | Time: 32.3s | Val P@R0.9: 0.7282
Epoch 0040 | Time: 44.7s | Val P@R0.9: 0.7342
Epoch 0041 | Time: 34.6s | Val P@R0.9: 0.7283
Epoch 0042 | Time: 31.4s | Val P@R0.9: 0.7156
Epoch 0043 | Time: 43.9s | Val P@R0.9: 0.7249
Epoch 0044 | Time: 32.9s | Val P@R0.9: 0.7096
Epoch 0045 | Time: 48.5s | Val P@R0.9: 0.7770
Epoch 0046 | Time: 32.6s | Val P@R0.9: 0.7576
Epoch 0047 | Time: 44.8s | Val P@R0.9: 0.7429
Epoch 0048 | Time: 31.2s | Val P@R0.9: 0.7349
Epoch 0049 | Time: 45.9s | Val P@R0.9: 0.7723
Epoch 0050 | Time: 30.8s | Val P@R0.9: 0.7744
Epoch 0051 | Time: 42.8s | Val P@R0.9: 0.7527
Epoch 0052 | Time: 32.7s | Val P@R0.9: 0.7591
Epoch 0053 | Time: 51.2s | Val P@R0.9: 0.7345
Epoch 0054 | Time: 32.3s | Val P@R0.9: 0.7614
Epoch 0055 | Time: 44.4s | Val P@R0.9: 0.7984
Epoch 0056 | Time: 32.2s | Val P@R0.9: 0.7426
