Epoch 0001 | Time: 47.6s | Val P@R0.9: 0.4024
Epoch 0002 | Time: 44.4s | Val P@R0.9: 0.4652
Epoch 0003 | Time: 33.9s | Val P@R0.9: 0.5205
Epoch 0004 | Time: 47.5s | Val P@R0.9: 0.5408
Epoch 0005 | Time: 34.3s | Val P@R0.9: 0.5660
Epoch 0006 | Time: 46.1s | Val P@R0.9: 0.6074
Epoch 0007 | Time: 34.7s | Val P@R0.9: 0.6328
Epoch 0008 | Time: 45.5s | Val P@R0.9: 0.6361
Epoch 0009 | Time: 34.3s | Val P@R0.9: 0.6478
Epoch 0010 | Time: 42.6s | Val P@R0.9: 0.6731
Epoch 0011 | Time: 33.9s | Val P@R0.9: 0.6919
Epoch 0012 | Time: 45.5s | Val P@R0.9: 0.6846
Epoch 0013 | Time: 34.1s | Val P@R0.9: 0.7190
Epoch 0014 | Time: 46.1s | Val P@R0.9: 0.7074
Epoch 0015 | Time: 34.1s | Val P@R0.9: 0.7106
Epoch 0016 | Time: 44.4s | Val P@R0.9: 0.7243
Epoch 0017 | Time: 34.2s | Val P@R0.9: 0.7295
Epoch 0018 | Time: 47.0s | Val P@R0.9: 0.7505
Epoch 0019 | Time: 34.0s | Val P@R0.9: 0.7496
Epoch 0020 | Time: 42.5s | Val P@R0.9: 0.7449
Epoch 0021 | Time: 33.9s | Val P@R0.9: 0.7516
Epoch 0022 | Time: 43.0s | Val P@R0.9: 0.7655
Epoch 0023 | Time: 34.0s | Val P@R0.9: 0.7613
Epoch 0024 | Time: 42.4s | Val P@R0.9: 0.7457
Epoch 0025 | Time: 33.6s | Val P@R0.9: 0.7625
Epoch 0026 | Time: 47.0s | Val P@R0.9: 0.7697
Epoch 0027 | Time: 33.8s | Val P@R0.9: 0.7592
Epoch 0028 | Time: 46.4s | Val P@R0.9: 0.7611
Epoch 0029 | Time: 35.7s | Val P@R0.9: 0.7593
Epoch 0030 | Time: 44.7s | Val P@R0.9: 0.7896
Epoch 0031 | Time: 33.5s | Val P@R0.9: 0.7886
Epoch 0032 | Time: 44.7s | Val P@R0.9: 0.7881
Epoch 0033 | Time: 33.8s | Val P@R0.9: 0.7826
Epoch 0034 | Time: 43.5s | Val P@R0.9: 0.8038
Epoch 0035 | Time: 33.7s | Val P@R0.9: 0.8048
Epoch 0036 | Time: 48.3s | Val P@R0.9: 0.8021
Epoch 0037 | Time: 34.0s | Val P@R0.9: 0.8050
Epoch 0038 | Time: 48.9s | Val P@R0.9: 0.8020
Epoch 0039 | Time: 33.9s | Val P@R0.9: 0.8052
Epoch 0040 | Time: 46.2s | Val P@R0.9: 0.7946
Epoch 0041 | Time: 36.3s | Val P@R0.9: 0.7883
Epoch 0042 | Time: 34.1s | Val P@R0.9: 0.8072
Epoch 0043 | Time: 48.2s | Val P@R0.9: 0.8181
Epoch 0044 | Time: 34.3s | Val P@R0.9: 0.8128
Epoch 0045 | Time: 51.6s | Val P@R0.9: 0.8209
Epoch 0046 | Time: 34.4s | Val P@R0.9: 0.7976
Epoch 0047 | Time: 40.9s | Val P@R0.9: 0.8056
Epoch 0048 | Time: 34.1s | Val P@R0.9: 0.8160
Epoch 0049 | Time: 49.1s | Val P@R0.9: 0.8104
Epoch 0050 | Time: 34.1s | Val P@R0.9: 0.8204
Epoch 0051 | Time: 50.9s | Val P@R0.9: 0.8059
Epoch 0052 | Time: 33.7s | Val P@R0.9: 0.8178
Epoch 0053 | Time: 50.7s | Val P@R0.9: 0.8160
Epoch 0054 | Time: 34.2s | Val P@R0.9: 0.8178
Epoch 0055 | Time: 46.8s | Val P@R0.9: 0.8112
Epoch 0056 | Time: 34.1s | Val P@R0.9: 0.8304
Epoch 0057 | Time: 45.8s | Val P@R0.9: 0.8065
Epoch 0058 | Time: 34.0s | Val P@R0.9: 0.8143
Epoch 0059 | Time: 49.3s | Val P@R0.9: 0.8300
Epoch 0060 | Time: 34.7s | Val P@R0.9: 0.8256
Epoch 0061 | Time: 46.9s | Val P@R0.9: 0.8323
Epoch 0062 | Time: 38.0s | Val P@R0.9: 0.8317
Epoch 0063 | Time: 54.8s | Val P@R0.9: 0.8372
Epoch 0064 | Time: 35.4s | Val P@R0.9: 0.8282
Epoch 0065 | Time: 45.0s | Val P@R0.9: 0.8399
Epoch 0066 | Time: 33.8s | Val P@R0.9: 0.8251
Epoch 0067 | Time: 48.0s | Val P@R0.9: 0.8335
Epoch 0068 | Time: 34.7s | Val P@R0.9: 0.8249
Epoch 0069 | Time: 45.9s | Val P@R0.9: 0.8335
Epoch 0070 | Time: 34.2s | Val P@R0.9: 0.8199
Epoch 0071 | Time: 44.0s | Val P@R0.9: 0.8214
Epoch 0072 | Time: 33.8s | Val P@R0.9: 0.8324
Epoch 0073 | Time: 45.6s | Val P@R0.9: 0.8327
Epoch 0074 | Time: 34.3s | Val P@R0.9: 0.8315
Epoch 0075 | Time: 47.6s | Val P@R0.9: 0.8293
Epoch 0076 | Time: 34.0s | Val P@R0.9: 0.8382
Epoch 0077 | Time: 44.9s | Val P@R0.9: 0.8393
Epoch 0078 | Time: 34.5s | Val P@R0.9: 0.8363
Epoch 0079 | Time: 49.8s | Val P@R0.9: 0.8353
Epoch 0080 | Time: 44.4s | Val P@R0.9: 0.8382
Epoch 0081 | Time: 47.8s | Val P@R0.9: 0.8261
Epoch 0082 | Time: 42.4s | Val P@R0.9: 0.8382
Epoch 0083 | Time: 33.9s | Val P@R0.9: 0.8409
Epoch 0084 | Time: 52.3s | Val P@R0.9: 0.8427
Epoch 0085 | Time: 34.0s | Val P@R0.9: 0.8243
Epoch 0086 | Time: 50.2s | Val P@R0.9: 0.8395
Epoch 0087 | Time: 33.7s | Val P@R0.9: 0.8407
Epoch 0088 | Time: 53.1s | Val P@R0.9: 0.8380
Epoch 0089 | Time: 34.1s | Val P@R0.9: 0.8295
Epoch 0090 | Time: 52.0s | Val P@R0.9: 0.8425
Epoch 0091 | Time: 34.7s | Val P@R0.9: 0.8327
Epoch 0092 | Time: 54.0s | Val P@R0.9: 0.8464
Epoch 0093 | Time: 34.1s | Val P@R0.9: 0.8459
Epoch 0094 | Time: 49.6s | Val P@R0.9: 0.8380
Epoch 0095 | Time: 33.6s | Val P@R0.9: 0.8463
Epoch 0096 | Time: 51.2s | Val P@R0.9: 0.8279
Epoch 0097 | Time: 34.0s | Val P@R0.9: 0.8438
Epoch 0098 | Time: 51.2s | Val P@R0.9: 0.8421
Epoch 0099 | Time: 34.0s | Val P@R0.9: 0.8567
Epoch 0100 | Time: 51.7s | Val P@R0.9: 0.8468
Epoch 0101 | Time: 34.3s | Val P@R0.9: 0.8558
Epoch 0102 | Time: 53.1s | Val P@R0.9: 0.8507
Epoch 0103 | Time: 34.3s | Val P@R0.9: 0.8413
Epoch 0104 | Time: 52.5s | Val P@R0.9: 0.8433
Epoch 0105 | Time: 34.2s | Val P@R0.9: 0.8444
Epoch 0106 | Time: 51.5s | Val P@R0.9: 0.8572
Epoch 0107 | Time: 34.3s | Val P@R0.9: 0.8561
Epoch 0108 | Time: 51.7s | Val P@R0.9: 0.8585
Epoch 0109 | Time: 33.9s | Val P@R0.9: 0.8582
Epoch 0110 | Time: 51.8s | Val P@R0.9: 0.8505
Epoch 0111 | Time: 34.3s | Val P@R0.9: 0.8474
Epoch 0112 | Time: 53.0s | Val P@R0.9: 0.8506
Epoch 0113 | Time: 34.5s | Val P@R0.9: 0.8509
Epoch 0114 | Time: 54.7s | Val P@R0.9: 0.8561
Epoch 0115 | Time: 34.3s | Val P@R0.9: 0.8601
Epoch 0116 | Time: 51.2s | Val P@R0.9: 0.8504
Epoch 0117 | Time: 34.0s | Val P@R0.9: 0.8563
Epoch 0118 | Time: 53.5s | Val P@R0.9: 0.8460
Epoch 0119 | Time: 34.9s | Val P@R0.9: 0.8543
Epoch 0120 | Time: 43.3s | Val P@R0.9: 0.8663
Epoch 0121 | Time: 42.8s | Val P@R0.9: 0.8647
Epoch 0122 | Time: 44.0s | Val P@R0.9: 0.8592
Epoch 0123 | Time: 49.8s | Val P@R0.9: 0.8645
Epoch 0124 | Time: 44.9s | Val P@R0.9: 0.8578
Epoch 0125 | Time: 49.8s | Val P@R0.9: 0.8542
Epoch 0126 | Time: 33.5s | Val P@R0.9: 0.8507
Epoch 0127 | Time: 58.6s | Val P@R0.9: 0.8469
Epoch 0128 | Time: 34.8s | Val P@R0.9: 0.8606
Epoch 0129 | Time: 58.7s | Val P@R0.9: 0.8692
Epoch 0130 | Time: 34.2s | Val P@R0.9: 0.8642
Epoch 0131 | Time: 60.9s | Val P@R0.9: 0.8571
Epoch 0132 | Time: 34.2s | Val P@R0.9: 0.8651
Epoch 0133 | Time: 56.8s | Val P@R0.9: 0.8696
Epoch 0134 | Time: 33.5s | Val P@R0.9: 0.8659
Epoch 0135 | Time: 60.1s | Val P@R0.9: 0.8586
Epoch 0136 | Time: 33.5s | Val P@R0.9: 0.8626
Epoch 0137 | Time: 58.2s | Val P@R0.9: 0.8649
Epoch 0138 | Time: 33.6s | Val P@R0.9: 0.8634
Epoch 0139 | Time: 59.0s | Val P@R0.9: 0.8701
Epoch 0140 | Time: 33.6s | Val P@R0.9: 0.8610
Epoch 0141 | Time: 58.9s | Val P@R0.9: 0.8579
Epoch 0142 | Time: 34.1s | Val P@R0.9: 0.8746
