Epoch | Time_Start | Duration | LR | T_Loss | T_Prec | T_Rec | T_P@R0.9 | V_Loss | V_Prec | V_Rec | V_P@R0.9
0001 | 19:42:09 |  28.5s | 1.0e-04 | 0.2210 | 0.7138 | 0.2202 | 0.1501 | 0.1197 | 0.7515 | 0.4935 | 0.3105
0002 | 19:42:53 |   9.1s | 1.0e-04 | 0.1111 | 0.8030 | 0.5508 | 0.3842 | 0.1021 | 0.8074 | 0.5844 | 0.3792
0003 | 19:43:16 |   8.9s | 1.0e-04 | 0.1000 | 0.8242 | 0.6177 | 0.4282 | 0.0942 | 0.8320 | 0.5911 | 0.4001
0004 | 19:43:39 |  27.6s | 1.0e-04 | 0.0962 | 0.8325 | 0.6483 | 0.4527 | 0.0903 | 0.8187 | 0.6329 | 0.4035
0005 | 19:44:21 |   7.4s | 1.0e-04 | 0.0941 | 0.8392 | 0.6682 | 0.4770 | 0.0889 | 0.8025 | 0.6949 | 0.4466
0006 | 19:44:42 |   6.5s | 1.0e-04 | 0.0906 | 0.8468 | 0.6833 | 0.4987 | 0.0847 | 0.7995 | 0.7035 | 0.4471
0007 | 19:45:01 |   6.4s | 1.0e-04 | 0.0883 | 0.8510 | 0.6970 | 0.5208 | 0.0831 | 0.8358 | 0.6856 | 0.4790
0008 | 19:45:20 |  22.0s | 1.0e-04 | 0.0843 | 0.8570 | 0.7088 | 0.5386 | 0.0793 | 0.8390 | 0.7067 | 0.4985
0009 | 19:45:55 |   6.3s | 1.0e-04 | 0.0801 | 0.8592 | 0.7133 | 0.5428 | 0.0782 | 0.8409 | 0.7142 | 0.5117
0010 | 19:46:13 |   6.2s | 1.0e-04 | 0.0789 | 0.8607 | 0.7208 | 0.5539 | 0.0772 | 0.8658 | 0.6905 | 0.5317
0011 | 19:46:32 |   6.5s | 1.0e-04 | 0.0966 | 0.8453 | 0.7119 | 0.5289 | 0.0765 | 0.8671 | 0.6968 | 0.5271
0012 | 19:46:50 |  18.0s | 1.0e-04 | 0.0759 | 0.8638 | 0.7327 | 0.5764 | 0.0723 | 0.8503 | 0.7157 | 0.5249
