Epoch | Time_Start | Duration | LR | T_Loss | T_Prec | T_Rec | T_P@R0.9 | V_Loss | V_Prec | V_Rec | V_P@R0.9
0001 | 07:57:46 |  22.4s | 1.0e-04 | 0.2585 | 0.4356 | 0.1270 | 0.1069 | 0.1324 | 0.7728 | 0.3900 | 0.2307
0002 | 07:58:20 |   9.6s | 1.0e-04 | 0.1499 | 0.7685 | 0.5024 | 0.3210 | 0.1152 | 0.7342 | 0.5539 | 0.3623
0003 | 07:58:41 |   9.6s | 1.0e-04 | 0.1081 | 0.7957 | 0.5992 | 0.4012 | 0.0971 | 0.7646 | 0.6356 | 0.3838
0004 | 07:59:02 |   9.8s | 1.0e-04 | 0.1012 | 0.8106 | 0.6311 | 0.4276 | 0.0940 | 0.8306 | 0.5819 | 0.4065
0005 | 07:59:23 |   9.7s | 1.0e-04 | 0.0965 | 0.8214 | 0.6527 | 0.4535 | 0.0909 | 0.8326 | 0.5930 | 0.4092
0006 | 07:59:44 |   9.7s | 1.0e-04 | 0.0989 | 0.8223 | 0.6623 | 0.4575 | 0.0894 | 0.7844 | 0.6741 | 0.4308
0007 | 08:00:06 |   9.6s | 1.0e-04 | 0.0907 | 0.8329 | 0.6769 | 0.4825 | 0.0872 | 0.8323 | 0.6487 | 0.4508
0008 | 08:00:26 |  18.6s | 1.0e-04 | 0.0897 | 0.8388 | 0.6829 | 0.4942 | 0.0873 | 0.8419 | 0.6530 | 0.4721
0009 | 08:00:56 |   9.9s | 1.0e-04 | 0.0883 | 0.8408 | 0.6922 | 0.5103 | 0.0832 | 0.8006 | 0.7043 | 0.4574
0010 | 08:01:18 |  10.0s | 1.0e-04 | 0.0864 | 0.8457 | 0.7021 | 0.5249 | 0.0816 | 0.8328 | 0.6887 | 0.4845
0011 | 08:01:39 |   9.9s | 1.0e-04 | 0.0898 | 0.8492 | 0.7038 | 0.5328 | 0.0810 | 0.8158 | 0.7200 | 0.5113
0012 | 08:02:00 |  10.0s | 1.0e-04 | 0.0826 | 0.8489 | 0.7145 | 0.5511 | 0.0772 | 0.8347 | 0.6982 | 0.5177
0013 | 08:02:22 |   9.9s | 1.0e-04 | 0.0862 | 0.8505 | 0.7178 | 0.5624 | 0.0782 | 0.8324 | 0.7092 | 0.5167
0014 | 08:02:43 |   9.9s | 1.0e-04 | 0.0797 | 0.8516 | 0.7321 | 0.5905 | 0.0760 | 0.8496 | 0.7138 | 0.5519
0015 | 08:03:04 |   9.9s | 1.0e-04 | 0.0771 | 0.8554 | 0.7387 | 0.6045 | 0.0743 | 0.8392 | 0.7246 | 0.5567
0016 | 08:03:26 |  23.4s | 1.0e-04 | 0.0759 | 0.8581 | 0.7443 | 0.6149 | 0.0729 | 0.8272 | 0.7493 | 0.5794
0017 | 08:04:00 |  10.1s | 1.0e-04 | 0.0736 | 0.8571 | 0.7456 | 0.6170 | 0.0716 | 0.8409 | 0.7467 | 0.5832
0018 | 08:04:22 |  10.2s | 1.0e-04 | 0.0724 | 0.8595 | 0.7530 | 0.6326 | 0.0698 | 0.8539 | 0.7443 | 0.6096
0019 | 08:04:44 |  10.1s | 1.0e-04 | 0.0714 | 0.8582 | 0.7576 | 0.6428 | 0.0693 | 0.8326 | 0.7659 | 0.6202
0020 | 08:05:05 |  10.1s | 1.0e-04 | 0.0696 | 0.8613 | 0.7613 | 0.6508 | 0.0662 | 0.8535 | 0.7514 | 0.6310
0021 | 08:05:27 |  10.1s | 1.0e-04 | 0.0687 | 0.8610 | 0.7648 | 0.6588 | 0.0671 | 0.8478 | 0.7714 | 0.6445
0022 | 08:05:48 |  10.1s | 1.0e-04 | 0.0668 | 0.8626 | 0.7709 | 0.6763 | 0.0658 | 0.8649 | 0.7339 | 0.6318
0023 | 08:06:10 |  10.1s | 1.0e-04 | 0.0667 | 0.8640 | 0.7733 | 0.6763 | 0.0656 | 0.8244 | 0.7962 | 0.6427
0024 | 08:06:31 |  22.2s | 1.0e-04 | 0.0668 | 0.8645 | 0.7814 | 0.6930 | 0.0641 | 0.8576 | 0.7642 | 0.6703
0025 | 08:07:05 |   9.9s | 1.0e-04 | 0.0659 | 0.8664 | 0.7848 | 0.7012 | 0.0625 | 0.8468 | 0.7851 | 0.6707
0026 | 08:07:26 |   9.8s | 1.0e-04 | 0.0653 | 0.8675 | 0.7899 | 0.7098 | 0.0621 | 0.8529 | 0.7834 | 0.6852
0027 | 08:07:47 |   9.7s | 1.0e-04 | 0.0641 | 0.8678 | 0.7907 | 0.7116 | 0.0622 | 0.8306 | 0.8126 | 0.6876
0028 | 08:08:08 |   9.8s | 1.0e-04 | 0.0636 | 0.8687 | 0.7922 | 0.7196 | 0.0626 | 0.8203 | 0.8318 | 0.6998
