Epoch | Time_Start | Duration | LR | T_Loss | T_Prec | T_Rec | T_P@R0.9 | V_Loss | V_Prec | V_Rec | V_P@R0.9
0001 | 11:35:06 |  20.0s | 1.0e-04 | 0.1847 | 0.6792 | 0.3504 | 0.1785 | 0.1041 | 0.7874 | 0.5816 | 0.3628
0002 | 11:35:37 |  10.9s | 1.0e-04 | 0.1009 | 0.8230 | 0.6275 | 0.4327 | 0.0925 | 0.8270 | 0.6017 | 0.4009
0003 | 11:35:59 |  10.8s | 1.0e-04 | 0.0947 | 0.8357 | 0.6601 | 0.4673 | 0.0886 | 0.8428 | 0.6445 | 0.4432
0004 | 11:36:21 |  19.1s | 1.0e-04 | 0.0882 | 0.8506 | 0.6872 | 0.5026 | 0.0830 | 0.8156 | 0.6885 | 0.4469
0005 | 11:36:52 |  11.0s | 1.0e-04 | 0.0846 | 0.8557 | 0.7085 | 0.5363 | 0.0785 | 0.8546 | 0.6977 | 0.5081
0006 | 11:37:14 |  11.0s | 1.0e-04 | 0.0813 | 0.8607 | 0.7250 | 0.5613 | 0.0772 | 0.8456 | 0.7110 | 0.5140
0007 | 11:37:37 |  10.9s | 1.0e-04 | 0.0781 | 0.8648 | 0.7376 | 0.5836 | 0.0745 | 0.8661 | 0.6984 | 0.5330
0008 | 11:37:59 |  20.9s | 1.0e-04 | 0.0758 | 0.8677 | 0.7447 | 0.6007 | 0.0728 | 0.8546 | 0.7348 | 0.5483
0009 | 11:38:31 |  10.9s | 1.0e-04 | 0.0737 | 0.8703 | 0.7508 | 0.6101 | 0.0710 | 0.8601 | 0.7250 | 0.5431
0010 | 11:38:53 |  10.9s | 1.0e-04 | 0.0722 | 0.8716 | 0.7554 | 0.6207 | 0.0704 | 0.8587 | 0.7437 | 0.5789
0011 | 11:39:16 |  10.8s | 1.0e-04 | 0.0711 | 0.8741 | 0.7592 | 0.6276 | 0.0716 | 0.8108 | 0.7962 | 0.5898
0012 | 11:39:38 |  23.3s | 1.0e-04 | 0.0705 | 0.8755 | 0.7653 | 0.6413 | 0.0701 | 0.8547 | 0.7660 | 0.6101
0013 | 11:40:12 |  11.0s | 1.0e-04 | 0.0698 | 0.8784 | 0.7746 | 0.6683 | 0.0696 | 0.8647 | 0.7472 | 0.5910
0014 | 11:40:35 |  11.0s | 1.0e-04 | 0.0691 | 0.8794 | 0.7782 | 0.6768 | 0.0676 | 0.8683 | 0.7431 | 0.5908
0015 | 11:40:57 |  11.0s | 1.0e-04 | 0.0684 | 0.8805 | 0.7803 | 0.6818 | 0.0676 | 0.8377 | 0.7805 | 0.5983
0016 | 11:41:20 |  23.1s | 1.0e-04 | 0.0670 | 0.8819 | 0.7863 | 0.6956 | 0.0658 | 0.8722 | 0.7459 | 0.6032
0017 | 11:41:54 |  11.1s | 1.0e-04 | 0.0668 | 0.8816 | 0.7868 | 0.6982 | 0.0654 | 0.8610 | 0.7707 | 0.6341
0018 | 11:42:17 |  11.1s | 1.0e-04 | 0.0664 | 0.8808 | 0.7868 | 0.6968 | 0.0658 | 0.8442 | 0.7938 | 0.6416
0019 | 11:42:39 |  11.1s | 1.0e-04 | 0.0654 | 0.8840 | 0.7919 | 0.7103 | 0.0637 | 0.8664 | 0.7724 | 0.6374
0020 | 11:43:02 |  21.1s | 1.0e-04 | 0.0636 | 0.8858 | 0.7945 | 0.7148 | 0.0636 | 0.8466 | 0.7883 | 0.6336
0021 | 11:43:34 |  11.0s | 1.0e-04 | 0.0622 | 0.8863 | 0.7963 | 0.7218 | 0.0633 | 0.8660 | 0.7887 | 0.6697
