Epoch | Time_Start | Duration | LR | T_Loss | T_Prec | T_Rec | T_P@R0.9 | V_Loss | V_Prec | V_Rec | V_P@R0.9
0001 | 14:40:20 |  27.4s | 1.0e-04 | 0.3038 | 0.3762 | 0.1081 | 0.1073 | 0.1543 | 0.6153 | 0.2663 | 0.1910
0002 | 14:41:00 |  10.0s | 1.0e-04 | 0.1420 | 0.7429 | 0.4091 | 0.2593 | 0.1147 | 0.7329 | 0.5320 | 0.3015
0003 | 14:41:20 |  10.1s | 1.0e-04 | 0.1214 | 0.7668 | 0.5461 | 0.3505 | 0.1021 | 0.7850 | 0.5994 | 0.3684
0004 | 14:41:40 |  10.2s | 1.0e-04 | 0.1318 | 0.7913 | 0.5956 | 0.3885 | 0.0966 | 0.8284 | 0.5658 | 0.3836
0005 | 14:42:00 |  10.4s | 1.0e-04 | 0.0986 | 0.8157 | 0.6159 | 0.4207 | 0.0943 | 0.8293 | 0.6228 | 0.4214
0006 | 14:42:21 |  10.4s | 1.0e-04 | 0.1006 | 0.8129 | 0.6334 | 0.4334 | 0.0908 | 0.8327 | 0.6126 | 0.4131
0007 | 14:42:42 |  10.5s | 1.0e-04 | 0.0944 | 0.8260 | 0.6429 | 0.4450 | 0.0883 | 0.8327 | 0.6106 | 0.4023
0008 | 14:43:02 |  24.0s | 1.0e-04 | 0.0925 | 0.8310 | 0.6551 | 0.4559 | 0.0884 | 0.8261 | 0.6737 | 0.4547
0009 | 14:43:36 |  10.5s | 1.0e-04 | 0.0908 | 0.8399 | 0.6719 | 0.4802 | 0.0867 | 0.8284 | 0.6634 | 0.4379
0010 | 14:43:57 |  10.0s | 1.0e-04 | 0.0875 | 0.8453 | 0.6842 | 0.4984 | 0.0843 | 0.8202 | 0.7009 | 0.4836
0011 | 14:44:17 |  10.4s | 1.0e-04 | 0.0856 | 0.8484 | 0.6925 | 0.5038 | 0.0829 | 0.8513 | 0.6664 | 0.4897
0012 | 14:44:38 |  10.3s | 1.0e-04 | 0.0834 | 0.8495 | 0.6977 | 0.5221 | 0.0787 | 0.8602 | 0.6463 | 0.4763
0013 | 14:44:58 |  10.4s | 1.0e-04 | 0.0805 | 0.8550 | 0.7149 | 0.5503 | 0.0771 | 0.8454 | 0.6904 | 0.5113
0014 | 14:45:19 |  10.4s | 1.0e-04 | 0.0786 | 0.8570 | 0.7235 | 0.5703 | 0.0756 | 0.8376 | 0.7289 | 0.5532
0015 | 14:45:39 |  10.4s | 1.0e-04 | 0.0763 | 0.8584 | 0.7340 | 0.5899 | 0.0732 | 0.8434 | 0.7300 | 0.5598
0016 | 14:46:00 |  23.1s | 1.0e-04 | 0.0737 | 0.8600 | 0.7425 | 0.6073 | 0.0729 | 0.8215 | 0.7653 | 0.5796
0017 | 14:46:33 |  10.7s | 1.0e-04 | 0.0729 | 0.8617 | 0.7486 | 0.6191 | 0.0687 | 0.8380 | 0.7476 | 0.5869
0018 | 14:46:54 |  10.7s | 1.0e-04 | 0.0696 | 0.8635 | 0.7578 | 0.6431 | 0.0678 | 0.8707 | 0.7279 | 0.6082
0019 | 14:47:15 |  10.7s | 1.0e-04 | 0.0681 | 0.8651 | 0.7632 | 0.6543 | 0.0663 | 0.8563 | 0.7697 | 0.6478
0020 | 14:47:36 |  10.6s | 1.0e-04 | 0.0663 | 0.8674 | 0.7704 | 0.6674 | 0.0666 | 0.8807 | 0.7213 | 0.6352
0021 | 14:47:56 |  10.6s | 1.0e-04 | 0.0654 | 0.8703 | 0.7771 | 0.6835 | 0.0651 | 0.8374 | 0.7863 | 0.6499
0022 | 14:48:17 |  10.7s | 1.0e-04 | 0.0636 | 0.8709 | 0.7847 | 0.6982 | 0.0631 | 0.8604 | 0.7767 | 0.6692
0023 | 14:48:38 |  10.6s | 1.0e-04 | 0.0629 | 0.8741 | 0.7886 | 0.7079 | 0.0614 | 0.8440 | 0.8019 | 0.6836
