Epoch | Time_Start | Duration | LR | T_Loss | T_Prec | T_Rec | T_P@R0.9 | V_Loss | V_Prec | V_Rec | V_P@R0.9
0001 | 17:53:45 |  34.1s | 1.0e-04 | 0.2878 | 0.4502 | 0.1100 | 0.1140 | 0.1451 | 0.7708 | 0.3791 | 0.1978
0002 | 17:54:33 |  22.2s | 1.0e-04 | 0.1700 | 0.7501 | 0.4634 | 0.2747 | 0.1137 | 0.7461 | 0.5207 | 0.3000
0003 | 17:55:09 |  22.3s | 1.0e-04 | 0.1200 | 0.7880 | 0.5668 | 0.3838 | 0.1029 | 0.7833 | 0.6144 | 0.4004
0004 | 17:55:45 |  22.0s | 1.0e-04 | 0.1107 | 0.8095 | 0.6132 | 0.4256 | 0.0951 | 0.8152 | 0.6077 | 0.4014
0005 | 17:56:20 |  21.9s | 1.0e-04 | 0.1107 | 0.8071 | 0.6231 | 0.4193 | 0.0933 | 0.7913 | 0.6488 | 0.4081
0006 | 17:56:55 |  18.4s | 1.0e-04 | 0.1017 | 0.8271 | 0.6343 | 0.4388 | 0.0896 | 0.8037 | 0.6471 | 0.4129
0007 | 17:57:28 |  12.7s | 1.0e-04 | 0.0991 | 0.8122 | 0.6519 | 0.4518 | 0.0879 | 0.8469 | 0.6132 | 0.4312
0008 | 17:57:52 |  37.2s | 1.0e-04 | 0.0947 | 0.8373 | 0.6608 | 0.4755 | 0.0845 | 0.8287 | 0.6453 | 0.4318
0009 | 17:58:41 |  14.9s | 1.0e-04 | 0.0909 | 0.8388 | 0.6745 | 0.4800 | 0.0850 | 0.8359 | 0.6609 | 0.4554
0010 | 17:59:08 |  14.7s | 1.0e-04 | 0.0878 | 0.8464 | 0.6799 | 0.4963 | 0.0855 | 0.8155 | 0.7175 | 0.4943
0011 | 17:59:36 |  13.7s | 1.0e-04 | 0.0893 | 0.8429 | 0.6817 | 0.4976 | 0.0848 | 0.8001 | 0.7190 | 0.4739
0012 | 18:00:03 |  13.6s | 1.0e-04 | 0.0852 | 0.8508 | 0.6941 | 0.5168 | 0.0826 | 0.8522 | 0.6778 | 0.4943
0013 | 18:00:30 |  14.0s | 1.0e-04 | 0.0827 | 0.8534 | 0.7024 | 0.5259 | 0.0796 | 0.8418 | 0.6833 | 0.4795
0014 | 18:00:57 |  14.2s | 1.0e-04 | 0.0823 | 0.8562 | 0.7093 | 0.5390 | 0.0792 | 0.8548 | 0.6882 | 0.5114
0015 | 18:01:22 |  20.8s | 1.0e-04 | 0.0825 | 0.8568 | 0.7170 | 0.5522 | 0.0775 | 0.8655 | 0.6880 | 0.5179
0016 | 18:01:56 |  28.5s | 1.0e-04 | 0.0929 | 0.8510 | 0.6827 | 0.5002 | 0.0869 | 0.7834 | 0.6990 | 0.4474
0017 | 18:02:36 |  19.3s | 1.0e-04 | 0.0804 | 0.8521 | 0.7091 | 0.5379 | 0.0786 | 0.8433 | 0.7052 | 0.5125
0018 | 18:03:07 |  19.0s | 1.0e-04 | 0.0775 | 0.8575 | 0.7192 | 0.5547 | 0.0745 | 0.8505 | 0.6983 | 0.5164
0019 | 18:03:37 |  18.4s | 1.0e-04 | 0.0772 | 0.8598 | 0.7274 | 0.5719 | 0.0754 | 0.8542 | 0.7226 | 0.5640
0020 | 18:04:07 |  17.6s | 1.0e-04 | 0.0741 | 0.8608 | 0.7348 | 0.5908 | 0.0724 | 0.8594 | 0.7008 | 0.5427
0021 | 18:04:35 |  17.6s | 1.0e-04 | 0.0727 | 0.8620 | 0.7370 | 0.5931 | 0.0711 | 0.8581 | 0.7254 | 0.5855
0022 | 18:05:04 |  17.1s | 1.0e-04 | 0.0720 | 0.8631 | 0.7439 | 0.6088 | 0.0705 | 0.8548 | 0.7346 | 0.5799
0023 | 18:05:32 |  13.7s | 1.0e-04 | 0.0707 | 0.8661 | 0.7499 | 0.6233 | 0.0700 | 0.8486 | 0.7566 | 0.6053
0024 | 18:05:58 |  30.4s | 1.0e-04 | 0.0698 | 0.8671 | 0.7629 | 0.6536 | 0.0685 | 0.8260 | 0.7637 | 0.5805
0025 | 18:06:40 |  15.2s | 1.0e-04 | 0.0694 | 0.8691 | 0.7704 | 0.6721 | 0.0672 | 0.8570 | 0.7424 | 0.6017
0026 | 18:07:09 |  23.8s | 1.0e-04 | 0.0683 | 0.8714 | 0.7769 | 0.6862 | 0.0686 | 0.8659 | 0.7437 | 0.6207
0027 | 18:07:47 |  23.6s | 1.0e-04 | 0.0672 | 0.8717 | 0.7779 | 0.6876 | 0.0660 | 0.8474 | 0.7603 | 0.6287
0028 | 18:08:22 |  21.8s | 1.0e-04 | 0.0699 | 0.8705 | 0.7865 | 0.7030 | 0.0666 | 0.8367 | 0.7720 | 0.6168
0029 | 18:08:55 |  21.0s | 1.0e-04 | 0.0664 | 0.8728 | 0.7860 | 0.7008 | 0.0638 | 0.8686 | 0.7587 | 0.6435
0030 | 18:09:28 |  20.3s | 1.0e-04 | 0.0658 | 0.8736 | 0.7918 | 0.7146 | 0.0647 | 0.8772 | 0.7319 | 0.6276
0031 | 18:10:00 |  19.8s | 1.0e-04 | 0.0647 | 0.8756 | 0.7934 | 0.7235 | 0.0640 | 0.8364 | 0.8036 | 0.6642
0032 | 18:10:31 |  29.1s | 1.0e-04 | 0.0637 | 0.8768 | 0.8006 | 0.7339 | 0.0615 | 0.8639 | 0.7758 | 0.6670
0033 | 18:11:10 |  10.8s | 1.0e-04 | 0.0627 | 0.8774 | 0.8021 | 0.7405 | 0.0612 | 0.8614 | 0.7772 | 0.6695
0034 | 18:11:33 |  17.1s | 1.0e-04 | 0.0617 | 0.8789 | 0.8047 | 0.7437 | 0.0611 | 0.8649 | 0.7980 | 0.7081
0035 | 18:12:03 |  23.1s | 1.0e-04 | 0.0615 | 0.8809 | 0.8080 | 0.7536 | 0.0602 | 0.8706 | 0.7938 | 0.7186
0036 | 18:12:39 |  23.2s | 1.0e-04 | 0.0609 | 0.8805 | 0.8092 | 0.7541 | 0.0585 | 0.8628 | 0.7846 | 0.6902
0037 | 18:13:16 |  23.1s | 1.0e-04 | 0.0603 | 0.8824 | 0.8141 | 0.7635 | 0.0588 | 0.8796 | 0.7826 | 0.7155
0038 | 18:13:53 |  23.2s | 1.0e-04 | 0.0597 | 0.8831 | 0.8151 | 0.7678 | 0.0579 | 0.8940 | 0.7683 | 0.7244
0039 | 18:14:29 |  23.1s | 1.0e-04 | 0.0587 | 0.8841 | 0.8193 | 0.7742 | 0.0586 | 0.8789 | 0.7927 | 0.7428
0040 | 18:15:05 |  25.5s | 1.0e-04 | 0.0564 | 0.8842 | 0.8185 | 0.7740 | 0.0565 | 0.8509 | 0.8333 | 0.7474
0041 | 18:15:45 |  20.5s | 1.0e-04 | 0.0563 | 0.8850 | 0.8193 | 0.7745 | 0.0561 | 0.8770 | 0.8019 | 0.7407
0042 | 18:16:17 |  16.3s | 1.0e-04 | 0.0559 | 0.8849 | 0.8209 | 0.7770 | 0.0558 | 0.8585 | 0.8228 | 0.7443
0043 | 18:16:44 |  19.9s | 1.0e-04 | 0.0549 | 0.8869 | 0.8232 | 0.7809 | 0.0542 | 0.8752 | 0.7955 | 0.7237
0044 | 18:17:18 |  19.3s | 1.0e-04 | 0.0547 | 0.8868 | 0.8264 | 0.7889 | 0.0544 | 0.8929 | 0.8062 | 0.7726
0045 | 18:17:52 |  18.7s | 1.0e-04 | 0.0540 | 0.8874 | 0.8285 | 0.7956 | 0.0539 | 0.8692 | 0.8227 | 0.7521
