Epoch | Time_Start | Duration | LR | T_Loss | T_Prec | T_Rec | T_P@R0.9 | V_Loss | V_Prec | V_Rec | V_P@R0.9
0001 | 07:06:53 |  22.7s | 1.0e-04 | 0.2665 | 0.4682 | 0.1118 | 0.1183 | 0.1349 | 0.7295 | 0.4009 | 0.2312
0002 | 07:07:28 |  21.1s | 1.0e-04 | 0.1676 | 0.7511 | 0.3898 | 0.2574 | 0.1195 | 0.7595 | 0.4749 | 0.2982
0003 | 07:08:06 |  22.0s | 1.0e-04 | 0.1261 | 0.7741 | 0.5385 | 0.3409 | 0.1093 | 0.7586 | 0.6002 | 0.3489
0004 | 07:08:44 |  22.0s | 1.0e-04 | 0.1145 | 0.7897 | 0.5827 | 0.3779 | 0.1041 | 0.7914 | 0.6206 | 0.3855
0005 | 07:09:22 |  22.7s | 1.0e-04 | 0.1187 | 0.7967 | 0.5954 | 0.3852 | 0.0974 | 0.7888 | 0.6127 | 0.3816
0006 | 07:10:00 |  21.8s | 1.0e-04 | 0.1053 | 0.8168 | 0.6200 | 0.4250 | 0.0938 | 0.7863 | 0.6407 | 0.3827
0007 | 07:10:38 |  21.1s | 1.0e-04 | 0.1010 | 0.8204 | 0.6382 | 0.4308 | 0.0925 | 0.8375 | 0.6128 | 0.4236
0008 | 07:11:16 |  35.4s | 1.0e-04 | 0.0984 | 0.8258 | 0.6566 | 0.4547 | 0.0891 | 0.8150 | 0.6460 | 0.4199
0009 | 07:12:08 |  21.6s | 1.0e-04 | 0.0982 | 0.8340 | 0.6786 | 0.4925 | 0.0872 | 0.8280 | 0.6491 | 0.4266
0010 | 07:12:46 |  21.3s | 1.0e-04 | 0.0956 | 0.8401 | 0.6911 | 0.5168 | 0.0865 | 0.8339 | 0.6556 | 0.4446
0011 | 07:13:24 |  21.6s | 1.0e-04 | 0.0943 | 0.8423 | 0.6989 | 0.5271 | 0.0857 | 0.8226 | 0.7037 | 0.4837
0012 | 07:14:01 |  22.0s | 1.0e-04 | 0.0914 | 0.8482 | 0.7119 | 0.5478 | 0.0830 | 0.8104 | 0.7088 | 0.4773
0013 | 07:14:39 |  22.6s | 1.0e-04 | 0.0902 | 0.8501 | 0.7163 | 0.5592 | 0.0861 | 0.7602 | 0.7503 | 0.4716
0014 | 07:15:17 |  21.5s | 1.0e-04 | 0.0881 | 0.8527 | 0.7255 | 0.5729 | 0.0792 | 0.8321 | 0.7108 | 0.5073
0015 | 07:15:54 |  21.8s | 1.0e-04 | 0.0884 | 0.8550 | 0.7296 | 0.5787 | 0.0774 | 0.8549 | 0.6900 | 0.5264
0016 | 07:16:33 |  34.6s | 1.0e-04 | 0.0826 | 0.8566 | 0.7339 | 0.5897 | 0.0775 | 0.8427 | 0.7225 | 0.5333
0017 | 07:17:24 |  22.8s | 1.0e-04 | 0.0784 | 0.8572 | 0.7299 | 0.5719 | 0.0769 | 0.8439 | 0.7222 | 0.5414
0018 | 07:18:03 |  23.0s | 1.0e-04 | 0.0767 | 0.8607 | 0.7365 | 0.5889 | 0.0741 | 0.8406 | 0.7315 | 0.5403
0019 | 07:18:41 |  22.5s | 1.0e-04 | 0.0750 | 0.8605 | 0.7404 | 0.5955 | 0.0756 | 0.8082 | 0.7666 | 0.5511
