Epoch | Time_Start | Duration | LR | T_Loss | T_Prec | T_Rec | T_P@R0.9 | V_Loss | V_Prec | V_Rec | V_P@R0.9
0001 | 05:03:55 |  33.0s | 1.0e-04 | 0.2538 | 0.5108 | 0.1526 | 0.1194 | 0.1279 | 0.7490 | 0.3701 | 0.2363
0002 | 05:04:43 |  29.9s | 1.0e-04 | 0.1291 | 0.7783 | 0.5262 | 0.3475 | 0.1038 | 0.7888 | 0.5639 | 0.3642
0003 | 05:05:31 |  27.3s | 1.0e-04 | 0.1185 | 0.8062 | 0.6017 | 0.4063 | 0.0977 | 0.8001 | 0.6012 | 0.3796
0004 | 05:06:20 |  28.0s | 1.0e-04 | 0.1007 | 0.8221 | 0.6366 | 0.4366 | 0.0958 | 0.8409 | 0.6083 | 0.4258
0005 | 05:07:04 |  29.1s | 1.0e-04 | 0.1025 | 0.8266 | 0.6525 | 0.4520 | 0.0902 | 0.8373 | 0.6167 | 0.4210
0006 | 05:07:50 |  28.4s | 1.0e-04 | 0.0976 | 0.8326 | 0.6721 | 0.4728 | 0.0914 | 0.8007 | 0.6572 | 0.4214
0007 | 05:08:37 |  26.8s | 1.0e-04 | 0.0934 | 0.8381 | 0.6853 | 0.4955 | 0.0865 | 0.8367 | 0.6666 | 0.4620
0008 | 05:09:24 |  39.1s | 1.0e-04 | 0.0880 | 0.8474 | 0.6924 | 0.5074 | 0.0845 | 0.8337 | 0.6822 | 0.4632
0009 | 05:10:22 |  27.9s | 1.0e-04 | 0.0863 | 0.8518 | 0.7064 | 0.5328 | 0.0815 | 0.8167 | 0.7163 | 0.4786
0010 | 05:11:07 |  28.6s | 1.0e-04 | 0.0847 | 0.8541 | 0.7169 | 0.5526 | 0.0799 | 0.8244 | 0.7008 | 0.4755
0011 | 05:11:58 |  27.1s | 1.0e-04 | 0.0819 | 0.8574 | 0.7226 | 0.5624 | 0.0794 | 0.8395 | 0.7076 | 0.5089
0012 | 05:12:43 |  29.2s | 1.0e-04 | 0.0800 | 0.8594 | 0.7287 | 0.5770 | 0.0798 | 0.8220 | 0.7378 | 0.5273
0013 | 05:13:29 |  29.3s | 1.0e-04 | 0.0800 | 0.8608 | 0.7356 | 0.5843 | 0.0764 | 0.8664 | 0.6844 | 0.5130
0014 | 05:14:16 |  27.4s | 1.0e-04 | 0.0785 | 0.8615 | 0.7403 | 0.5968 | 0.0740 | 0.8469 | 0.7087 | 0.5215
0015 | 05:15:04 |  27.1s | 1.0e-04 | 0.0763 | 0.8649 | 0.7452 | 0.6064 | 0.0728 | 0.8737 | 0.6820 | 0.5404
0016 | 05:15:49 |  40.2s | 1.0e-04 | 0.0761 | 0.8652 | 0.7534 | 0.6266 | 0.0725 | 0.8782 | 0.7071 | 0.5665
0017 | 05:16:46 |  28.3s | 1.0e-04 | 0.0748 | 0.8664 | 0.7597 | 0.6397 | 0.0697 | 0.8619 | 0.7213 | 0.5628
0018 | 05:17:32 |  27.4s | 1.0e-04 | 0.0741 | 0.8674 | 0.7620 | 0.6436 | 0.0705 | 0.8760 | 0.7203 | 0.5827
0019 | 05:18:21 |  27.5s | 1.0e-04 | 0.0730 | 0.8684 | 0.7655 | 0.6516 | 0.0700 | 0.8688 | 0.7318 | 0.6035
0020 | 05:19:05 |  29.0s | 1.0e-04 | 0.0719 | 0.8706 | 0.7714 | 0.6656 | 0.0697 | 0.8206 | 0.7938 | 0.6165
0021 | 05:19:51 |  28.7s | 1.0e-04 | 0.0708 | 0.8698 | 0.7732 | 0.6673 | 0.0657 | 0.8677 | 0.7381 | 0.6045
0022 | 05:20:39 |  27.9s | 1.0e-04 | 0.0699 | 0.8720 | 0.7778 | 0.6828 | 0.0651 | 0.8507 | 0.7604 | 0.6094
0023 | 05:21:25 |  29.3s | 1.0e-04 | 0.0693 | 0.8734 | 0.7836 | 0.6935 | 0.0646 | 0.8915 | 0.7285 | 0.6445
0024 | 05:22:11 |  43.4s | 1.0e-04 | 0.0667 | 0.8720 | 0.7812 | 0.6909 | 0.0645 | 0.8749 | 0.7497 | 0.6426
0025 | 05:23:11 |  27.6s | 1.0e-04 | 0.0648 | 0.8704 | 0.7791 | 0.6846 | 0.0641 | 0.8457 | 0.7845 | 0.6418
0026 | 05:24:01 |  26.9s | 1.0e-04 | 0.0638 | 0.8730 | 0.7816 | 0.6876 | 0.0632 | 0.8496 | 0.7883 | 0.6674
0027 | 05:24:45 |  28.9s | 1.0e-04 | 0.0629 | 0.8739 | 0.7850 | 0.6951 | 0.0613 | 0.8734 | 0.7693 | 0.6682
0028 | 05:25:30 |  28.1s | 1.0e-04 | 0.0622 | 0.8741 | 0.7877 | 0.7041 | 0.0617 | 0.8500 | 0.7970 | 0.6845
0029 | 05:26:18 |  26.9s | 1.0e-04 | 0.0610 | 0.8751 | 0.7908 | 0.7115 | 0.0593 | 0.8670 | 0.7834 | 0.7053
0030 | 05:27:03 |  28.9s | 1.0e-04 | 0.0608 | 0.8755 | 0.7911 | 0.7121 | 0.0591 | 0.8612 | 0.7950 | 0.6997
0031 | 05:27:50 |  28.2s | 1.0e-04 | 0.0597 | 0.8775 | 0.7961 | 0.7209 | 0.0585 | 0.8764 | 0.7837 | 0.7121
0032 | 05:28:35 |  59.4s | 1.0e-04 | 0.0596 | 0.8773 | 0.8012 | 0.7372 | 0.0587 | 0.8589 | 0.8052 | 0.7157
0033 | 05:29:55 |  26.8s | 1.0e-04 | 0.0597 | 0.8785 | 0.8034 | 0.7430 | 0.0589 | 0.8560 | 0.8185 | 0.7265
0034 | 05:30:39 |  28.7s | 1.0e-04 | 0.0588 | 0.8793 | 0.8081 | 0.7511 | 0.0562 | 0.8752 | 0.7875 | 0.7201
0035 | 05:31:25 |  27.7s | 1.0e-04 | 0.0575 | 0.8821 | 0.8139 | 0.7653 | 0.0554 | 0.8753 | 0.7963 | 0.7274
0036 | 05:32:11 |  27.8s | 1.0e-04 | 0.0582 | 0.8801 | 0.8100 | 0.7581 | 0.0570 | 0.8408 | 0.8348 | 0.7269
0037 | 05:32:56 |  26.4s | 1.0e-04 | 0.0579 | 0.8809 | 0.8143 | 0.7635 | 0.0566 | 0.8497 | 0.8238 | 0.7290
0038 | 05:33:41 |  28.2s | 1.0e-04 | 0.0564 | 0.8842 | 0.8189 | 0.7768 | 0.0546 | 0.8581 | 0.8289 | 0.7569
0039 | 05:34:26 |  28.2s | 1.0e-04 | 0.0561 | 0.8842 | 0.8193 | 0.7749 | 0.0526 | 0.8613 | 0.8248 | 0.7440
0040 | 05:35:12 |  46.4s | 1.0e-04 | 0.0566 | 0.8838 | 0.8281 | 0.7945 | 0.0532 | 0.8876 | 0.7960 | 0.7536
0041 | 05:36:16 |  27.2s | 1.0e-04 | 0.0577 | 0.8844 | 0.8287 | 0.7938 | 0.0578 | 0.8192 | 0.8639 | 0.7557
0042 | 05:37:00 |  28.6s | 1.0e-04 | 0.0554 | 0.8873 | 0.8325 | 0.8033 | 0.0523 | 0.8844 | 0.8222 | 0.7854
0043 | 05:37:45 |  28.3s | 1.0e-04 | 0.0552 | 0.8870 | 0.8310 | 0.8010 | 0.0515 | 0.8766 | 0.8112 | 0.7597
0044 | 05:38:30 |  27.7s | 1.0e-04 | 0.0550 | 0.8866 | 0.8324 | 0.8015 | 0.0513 | 0.8911 | 0.8109 | 0.7814
0045 | 05:39:17 |  27.9s | 1.0e-04 | 0.0545 | 0.8879 | 0.8368 | 0.8099 | 0.0513 | 0.8813 | 0.8087 | 0.7660
0046 | 05:40:04 |  27.9s | 1.0e-04 | 0.0539 | 0.8897 | 0.8382 | 0.8156 | 0.0509 | 0.8879 | 0.8091 | 0.7738
0047 | 05:40:49 |  44.0s | 1.0e-04 | 0.0536 | 0.8896 | 0.8385 | 0.8150 | 0.0523 | 0.8709 | 0.8414 | 0.7908
0048 | 05:41:50 |  28.8s | 1.0e-04 | 0.0535 | 0.8924 | 0.8455 | 0.8288 | 0.0522 | 0.8817 | 0.8056 | 0.7610
0049 | 05:42:37 |  28.5s | 1.0e-04 | 0.0540 | 0.8898 | 0.8445 | 0.8260 | 0.0504 | 0.8649 | 0.8341 | 0.7698
0050 | 05:43:22 |  28.7s | 1.0e-04 | 0.0531 | 0.8920 | 0.8476 | 0.8310 | 0.0510 | 0.8525 | 0.8451 | 0.7721
