Epoch | Time_Start | Duration | LR | T_Loss | T_Prec | T_Rec | T_P@R0.9 | V_Loss | V_Prec | V_Rec | V_P@R0.9
0001 | 05:03:13 |  46.7s | 1.0e-04 | 0.3115 | 0.2530 | 0.0578 | 0.0972 | 0.1540 | 0.8210 | 0.1949 | 0.1744
0002 | 05:04:19 |  43.2s | 1.0e-04 | 0.1539 | 0.7459 | 0.3975 | 0.2545 | 0.1204 | 0.7665 | 0.4793 | 0.3142
0003 | 05:05:23 |  42.2s | 1.0e-04 | 0.1219 | 0.7776 | 0.5327 | 0.3617 | 0.1024 | 0.7509 | 0.5821 | 0.3369
0004 | 05:06:28 |  41.5s | 1.0e-04 | 0.1091 | 0.8058 | 0.5901 | 0.3982 | 0.1019 | 0.8221 | 0.5374 | 0.3776
0005 | 05:07:31 |  40.7s | 1.0e-04 | 0.1034 | 0.8154 | 0.6241 | 0.4279 | 0.0935 | 0.8016 | 0.6050 | 0.3703
0006 | 05:08:34 |  40.7s | 1.0e-04 | 0.0970 | 0.8279 | 0.6456 | 0.4503 | 0.0927 | 0.7829 | 0.6662 | 0.4119
0007 | 05:09:36 |  41.1s | 1.0e-04 | 0.0961 | 0.8331 | 0.6533 | 0.4551 | 0.0940 | 0.8448 | 0.5884 | 0.4052
0008 | 05:10:39 |  60.5s | 1.0e-04 | 0.0958 | 0.8294 | 0.6691 | 0.4750 | 0.0882 | 0.8106 | 0.6863 | 0.4480
0009 | 05:12:04 |  41.6s | 1.0e-04 | 0.0919 | 0.8375 | 0.6792 | 0.4886 | 0.0881 | 0.8193 | 0.6712 | 0.4478
0010 | 05:13:06 |  41.9s | 1.0e-04 | 0.0885 | 0.8444 | 0.6853 | 0.5007 | 0.0846 | 0.8234 | 0.6790 | 0.4468
0011 | 05:14:09 |  42.5s | 1.0e-04 | 0.0871 | 0.8470 | 0.6967 | 0.5206 | 0.0814 | 0.8317 | 0.6763 | 0.4668
0012 | 05:15:13 |  42.2s | 1.0e-04 | 0.0871 | 0.8482 | 0.7014 | 0.5347 | 0.0812 | 0.8522 | 0.6646 | 0.4880
0013 | 05:16:18 |  41.4s | 1.0e-04 | 0.0830 | 0.8516 | 0.7142 | 0.5549 | 0.0774 | 0.8439 | 0.6954 | 0.5128
0014 | 05:17:21 |  41.9s | 1.0e-04 | 0.0807 | 0.8544 | 0.7207 | 0.5709 | 0.0760 | 0.8529 | 0.6770 | 0.5083
0015 | 05:18:27 |  41.8s | 1.0e-04 | 0.0781 | 0.8578 | 0.7323 | 0.5908 | 0.0760 | 0.8596 | 0.7016 | 0.5571
0016 | 05:19:30 |  61.7s | 1.0e-04 | 0.0753 | 0.8581 | 0.7378 | 0.6053 | 0.0739 | 0.8459 | 0.7373 | 0.5899
0017 | 05:20:53 |  41.2s | 1.0e-04 | 0.0737 | 0.8590 | 0.7428 | 0.6177 | 0.0738 | 0.7964 | 0.7867 | 0.5867
0018 | 05:21:55 |  42.7s | 1.0e-04 | 0.0721 | 0.8593 | 0.7520 | 0.6253 | 0.0714 | 0.8210 | 0.7577 | 0.5792
0019 | 05:22:59 |  42.9s | 1.0e-04 | 0.0696 | 0.8614 | 0.7577 | 0.6418 | 0.0689 | 0.8339 | 0.7519 | 0.5838
0020 | 05:24:06 |  42.7s | 1.0e-04 | 0.0692 | 0.8641 | 0.7635 | 0.6599 | 0.0692 | 0.8317 | 0.7746 | 0.6114
0021 | 05:25:10 |  42.6s | 1.0e-04 | 0.0689 | 0.8642 | 0.7693 | 0.6675 | 0.0666 | 0.8705 | 0.7390 | 0.6415
0022 | 05:26:15 |  42.6s | 1.0e-04 | 0.0667 | 0.8673 | 0.7756 | 0.6765 | 0.0669 | 0.8556 | 0.7633 | 0.6366
0023 | 05:27:19 |  42.5s | 1.0e-04 | 0.0654 | 0.8676 | 0.7785 | 0.6856 | 0.0660 | 0.8504 | 0.7658 | 0.6444
0024 | 05:28:22 |  70.4s | 1.0e-04 | 0.0644 | 0.8690 | 0.7825 | 0.6953 | 0.0652 | 0.8882 | 0.7357 | 0.6700
0025 | 05:29:57 |  41.1s | 1.0e-04 | 0.0664 | 0.8682 | 0.7871 | 0.7062 | 0.0643 | 0.8921 | 0.7211 | 0.6608
0026 | 05:30:56 |  25.0s | 1.0e-04 | 0.0636 | 0.8711 | 0.7936 | 0.7192 | 0.0635 | 0.8423 | 0.8087 | 0.7009
0027 | 05:31:37 |  25.0s | 1.0e-04 | 0.0632 | 0.8738 | 0.7980 | 0.7312 | 0.0624 | 0.8457 | 0.8060 | 0.6986
