Epoch | Time_Start | Duration | LR | T_Loss | T_Prec | T_Rec | T_P@R0.9 | V_Loss | V_Prec | V_Rec | V_P@R0.9
0001 | 10:45:52 |  28.4s | 1.0e-04 | 0.2423 | 0.5163 | 0.1469 | 0.1236 | 0.1287 | 0.7486 | 0.3783 | 0.2682
0002 | 10:46:35 |  14.5s | 1.0e-04 | 0.1305 | 0.7592 | 0.4659 | 0.3327 | 0.1118 | 0.7680 | 0.4950 | 0.3382
0003 | 10:47:04 |  14.2s | 1.0e-04 | 0.1095 | 0.7838 | 0.5408 | 0.3757 | 0.1025 | 0.7807 | 0.5539 | 0.3518
0004 | 10:47:32 |  14.7s | 1.0e-04 | 0.1022 | 0.8090 | 0.5967 | 0.4092 | 0.1019 | 0.8279 | 0.5678 | 0.3955
0005 | 10:48:01 |  14.7s | 1.0e-04 | 0.0992 | 0.8189 | 0.6200 | 0.4232 | 0.0936 | 0.8324 | 0.5859 | 0.4008
0006 | 10:48:30 |  14.9s | 1.0e-04 | 0.0944 | 0.8286 | 0.6381 | 0.4392 | 0.0885 | 0.8152 | 0.6278 | 0.4087
0007 | 10:48:59 |  14.8s | 1.0e-04 | 0.0932 | 0.8329 | 0.6523 | 0.4561 | 0.0885 | 0.8227 | 0.6456 | 0.4301
0008 | 10:49:27 |  28.6s | 1.0e-04 | 0.0898 | 0.8374 | 0.6646 | 0.4682 | 0.0888 | 0.7916 | 0.7071 | 0.4473
0009 | 10:50:09 |  14.9s | 1.0e-04 | 0.0896 | 0.8446 | 0.6789 | 0.4919 | 0.0831 | 0.8206 | 0.6745 | 0.4362
0010 | 10:50:37 |  14.9s | 1.0e-04 | 0.0883 | 0.8485 | 0.6923 | 0.5087 | 0.0829 | 0.8192 | 0.6819 | 0.4440
0011 | 10:51:06 |  14.6s | 1.0e-04 | 0.0867 | 0.8476 | 0.6955 | 0.5134 | 0.0809 | 0.8214 | 0.6957 | 0.4579
0012 | 10:51:34 |  14.7s | 1.0e-04 | 0.0847 | 0.8525 | 0.7065 | 0.5301 | 0.0837 | 0.7845 | 0.7434 | 0.4732
0013 | 10:52:04 |  14.4s | 1.0e-04 | 0.0831 | 0.8542 | 0.7119 | 0.5408 | 0.0792 | 0.8631 | 0.6621 | 0.4812
0014 | 10:52:32 |  14.5s | 1.0e-04 | 0.0825 | 0.8561 | 0.7140 | 0.5437 | 0.0777 | 0.8154 | 0.7182 | 0.4711
0015 | 10:53:00 |  14.2s | 1.0e-04 | 0.0808 | 0.8581 | 0.7183 | 0.5537 | 0.0796 | 0.8828 | 0.6327 | 0.4945
0016 | 10:53:29 |  28.2s | 1.0e-04 | 0.0799 | 0.8620 | 0.7273 | 0.5676 | 0.0776 | 0.8307 | 0.7314 | 0.5244
0017 | 10:54:12 |  14.4s | 1.0e-04 | 0.0801 | 0.8603 | 0.7302 | 0.5738 | 0.0774 | 0.8615 | 0.7061 | 0.5417
0018 | 10:54:39 |  14.9s | 1.0e-04 | 0.0784 | 0.8629 | 0.7393 | 0.5969 | 0.0757 | 0.8714 | 0.6849 | 0.5098
0019 | 10:55:08 |  14.8s | 1.0e-04 | 0.0786 | 0.8651 | 0.7404 | 0.5970 | 0.0750 | 0.8442 | 0.7245 | 0.5305
0020 | 10:55:37 |  14.5s | 1.0e-04 | 0.0771 | 0.8654 | 0.7459 | 0.6099 | 0.0744 | 0.8819 | 0.6831 | 0.5400
0021 | 10:56:05 |  15.0s | 1.0e-04 | 0.0761 | 0.8671 | 0.7485 | 0.6117 | 0.0724 | 0.8502 | 0.7192 | 0.5234
0022 | 10:56:33 |  15.0s | 1.0e-04 | 0.0759 | 0.8668 | 0.7524 | 0.6236 | 0.0725 | 0.8344 | 0.7474 | 0.5510
