Epoch | Time_Start | Duration | LR | T_Loss | T_Prec | T_Rec | T_P@R0.9 | V_Loss | V_Prec | V_Rec | V_P@R0.9
0001 | 06:38:57 |  30.8s | 1.0e-04 | 0.2970 | 0.6740 | 0.0643 | 0.0998 | 0.1654 | 0.7916 | 0.2264 | 0.1325
0002 | 06:39:43 |  17.0s | 1.0e-04 | 0.1667 | 0.7535 | 0.3915 | 0.2129 | 0.1234 | 0.7493 | 0.4665 | 0.2778
0003 | 06:40:16 |  17.1s | 1.0e-04 | 0.1253 | 0.7666 | 0.5201 | 0.3355 | 0.1186 | 0.7440 | 0.5159 | 0.3004
0004 | 06:40:48 |  17.2s | 1.0e-04 | 0.1189 | 0.7779 | 0.5522 | 0.3649 | 0.1097 | 0.7724 | 0.4988 | 0.3133
0005 | 06:41:19 |  17.4s | 1.0e-04 | 0.1142 | 0.7890 | 0.5767 | 0.3884 | 0.1044 | 0.7372 | 0.5794 | 0.3255
0006 | 06:41:50 |  17.5s | 1.0e-04 | 0.1118 | 0.7944 | 0.5961 | 0.4105 | 0.1024 | 0.7579 | 0.5822 | 0.3503
0007 | 06:42:24 |  17.4s | 1.0e-04 | 0.1054 | 0.8027 | 0.6199 | 0.4344 | 0.1002 | 0.7906 | 0.5724 | 0.3604
0008 | 06:42:56 |  30.6s | 1.0e-04 | 0.1029 | 0.8060 | 0.6370 | 0.4571 | 0.0949 | 0.8246 | 0.5743 | 0.4163
0009 | 06:43:41 |  18.1s | 1.0e-04 | 0.0966 | 0.8132 | 0.6496 | 0.4618 | 0.0899 | 0.7960 | 0.6421 | 0.4293
0010 | 06:44:14 |  18.2s | 1.0e-04 | 0.0919 | 0.8182 | 0.6664 | 0.4900 | 0.0882 | 0.8110 | 0.6306 | 0.4340
0011 | 06:44:46 |  17.9s | 1.0e-04 | 0.0965 | 0.8153 | 0.6703 | 0.4902 | 0.0878 | 0.7968 | 0.6569 | 0.4593
0012 | 06:45:20 |  18.0s | 1.0e-04 | 0.0895 | 0.8248 | 0.6885 | 0.5234 | 0.0841 | 0.7964 | 0.6856 | 0.4659
0013 | 06:45:54 |  18.2s | 1.0e-04 | 0.0860 | 0.8269 | 0.6986 | 0.5353 | 0.0838 | 0.8341 | 0.6689 | 0.5129
0014 | 06:46:26 |  18.4s | 1.0e-04 | 0.0857 | 0.8287 | 0.7044 | 0.5440 | 0.0799 | 0.8433 | 0.6472 | 0.5020
0015 | 06:46:58 |  18.4s | 1.0e-04 | 0.0827 | 0.8332 | 0.7160 | 0.5666 | 0.0794 | 0.8429 | 0.6778 | 0.5370
0016 | 06:47:30 |  31.2s | 1.0e-04 | 0.0815 | 0.8354 | 0.7190 | 0.5709 | 0.0756 | 0.8188 | 0.7001 | 0.5284
0017 | 06:48:17 |  18.4s | 1.0e-04 | 0.0802 | 0.8378 | 0.7329 | 0.5943 | 0.0790 | 0.7643 | 0.7688 | 0.5404
0018 | 06:48:51 |  18.3s | 1.0e-04 | 0.0783 | 0.8400 | 0.7388 | 0.6046 | 0.0734 | 0.8393 | 0.6958 | 0.5559
0019 | 06:49:25 |  18.8s | 1.0e-04 | 0.0778 | 0.8416 | 0.7461 | 0.6216 | 0.0742 | 0.8105 | 0.7655 | 0.6023
0020 | 06:49:58 |  18.5s | 1.0e-04 | 0.0762 | 0.8440 | 0.7500 | 0.6237 | 0.0714 | 0.8569 | 0.7098 | 0.5931
0021 | 06:50:31 |  18.6s | 1.0e-04 | 0.0764 | 0.8451 | 0.7558 | 0.6412 | 0.0708 | 0.8431 | 0.7284 | 0.5958
0022 | 06:51:04 |  18.5s | 1.0e-04 | 0.0736 | 0.8483 | 0.7608 | 0.6505 | 0.0682 | 0.8097 | 0.7647 | 0.5963
0023 | 06:51:38 |  18.6s | 1.0e-04 | 0.0746 | 0.8484 | 0.7615 | 0.6560 | 0.0709 | 0.8132 | 0.7872 | 0.6351
0024 | 06:52:13 |  32.6s | 1.0e-04 | 0.0727 | 0.8490 | 0.7684 | 0.6654 | 0.0699 | 0.8095 | 0.7833 | 0.6232
0025 | 06:52:59 |  18.9s | 1.0e-04 | 0.0705 | 0.8541 | 0.7752 | 0.6818 | 0.0669 | 0.8106 | 0.7846 | 0.6349
0026 | 06:53:33 |  18.9s | 1.0e-04 | 0.0695 | 0.8555 | 0.7778 | 0.6837 | 0.0661 | 0.8415 | 0.7476 | 0.6197
0027 | 06:54:07 |  19.0s | 1.0e-04 | 0.0682 | 0.8562 | 0.7800 | 0.6915 | 0.0660 | 0.8272 | 0.7854 | 0.6475
