Epoch | Time_Start | Duration | LR | T_Loss | T_Prec | T_Rec | T_P@R0.9 | V_Loss | V_Prec | V_Rec | V_P@R0.9
0001 | 08:48:28 |  32.6s | 1.0e-04 | 0.2779 | 0.6812 | 0.0605 | 0.0991 | 0.1479 | 0.7346 | 0.2659 | 0.2243
0002 | 08:49:12 |  13.4s | 1.0e-04 | 0.1226 | 0.7681 | 0.5002 | 0.3514 | 0.1024 | 0.7817 | 0.5286 | 0.3633
0003 | 08:49:36 |  13.6s | 1.0e-04 | 0.1043 | 0.8017 | 0.6129 | 0.4394 | 0.0934 | 0.8069 | 0.5959 | 0.4150
0004 | 08:50:01 |  13.6s | 1.0e-04 | 0.1007 | 0.8126 | 0.6462 | 0.4688 | 0.0894 | 0.8267 | 0.5826 | 0.4269
0005 | 08:50:25 |  13.6s | 1.0e-04 | 0.0922 | 0.8218 | 0.6702 | 0.5022 | 0.0850 | 0.8108 | 0.6539 | 0.4569
0006 | 08:50:50 |  13.6s | 1.0e-04 | 0.0880 | 0.8286 | 0.6939 | 0.5350 | 0.0826 | 0.8312 | 0.6565 | 0.4850
0007 | 08:51:14 |  13.6s | 1.0e-04 | 0.0893 | 0.8292 | 0.6983 | 0.5497 | 0.0813 | 0.8356 | 0.6735 | 0.5192
0008 | 08:51:39 |  24.4s | 1.0e-04 | 0.0813 | 0.8366 | 0.7278 | 0.5877 | 0.0770 | 0.8424 | 0.6809 | 0.5362
0009 | 08:52:15 |  14.1s | 1.0e-04 | 0.0784 | 0.8450 | 0.7393 | 0.6129 | 0.0745 | 0.8165 | 0.7427 | 0.5556
0010 | 08:52:40 |  14.1s | 1.0e-04 | 0.0752 | 0.8495 | 0.7539 | 0.6397 | 0.0744 | 0.8271 | 0.7476 | 0.5812
0011 | 08:53:05 |  14.1s | 1.0e-04 | 0.0727 | 0.8545 | 0.7689 | 0.6664 | 0.0706 | 0.8372 | 0.7439 | 0.6018
0012 | 08:53:30 |  14.1s | 1.0e-04 | 0.0699 | 0.8589 | 0.7763 | 0.6834 | 0.0712 | 0.8735 | 0.6992 | 0.5887
0013 | 08:53:55 |  14.1s | 1.0e-04 | 0.0684 | 0.8602 | 0.7810 | 0.6929 | 0.0704 | 0.8219 | 0.7848 | 0.6303
0014 | 08:54:20 |  14.1s | 1.0e-04 | 0.0680 | 0.8614 | 0.7843 | 0.6938 | 0.0681 | 0.8363 | 0.7824 | 0.6445
0015 | 08:54:45 |  14.0s | 1.0e-04 | 0.0655 | 0.8657 | 0.7942 | 0.7175 | 0.0668 | 0.8389 | 0.7810 | 0.6451
0016 | 08:55:10 |  23.5s | 1.0e-04 | 0.0638 | 0.8687 | 0.7986 | 0.7238 | 0.0645 | 0.8467 | 0.7692 | 0.6406
0017 | 08:55:44 |  14.0s | 1.0e-04 | 0.0637 | 0.8686 | 0.8008 | 0.7283 | 0.0650 | 0.8706 | 0.7536 | 0.6621
0018 | 08:56:09 |  14.0s | 1.0e-04 | 0.0644 | 0.8694 | 0.8044 | 0.7396 | 0.0651 | 0.8323 | 0.8088 | 0.6758
0019 | 08:56:34 |  14.0s | 1.0e-04 | 0.0623 | 0.8707 | 0.8098 | 0.7465 | 0.0635 | 0.8584 | 0.7910 | 0.6893
0020 | 08:56:59 |  14.0s | 1.0e-04 | 0.0616 | 0.8741 | 0.8137 | 0.7573 | 0.0622 | 0.8527 | 0.7954 | 0.6875
0021 | 08:57:24 |  14.0s | 1.0e-04 | 0.0609 | 0.8731 | 0.8107 | 0.7478 | 0.0627 | 0.8727 | 0.7640 | 0.6836
0022 | 08:57:49 |  14.0s | 1.0e-04 | 0.0602 | 0.8766 | 0.8177 | 0.7678 | 0.0625 | 0.8901 | 0.7427 | 0.6918
0023 | 08:58:14 |  14.0s | 1.0e-04 | 0.0599 | 0.8767 | 0.8167 | 0.7609 | 0.0595 | 0.8620 | 0.7856 | 0.6872
0024 | 08:58:39 |  26.5s | 1.0e-04 | 0.0609 | 0.8760 | 0.8169 | 0.7651 | 0.0598 | 0.8865 | 0.7678 | 0.7190
