Epoch | Time_Start | Duration | LR | T_Loss | T_Prec | T_Rec | T_P@R0.9 | V_Loss | V_Prec | V_Rec | V_P@R0.9
0001 | 05:24:45 |  39.3s | 1.0e-04 | 0.1155 | 0.8074 | 0.6121 | 0.3298 | 0.0802 | 0.8117 | 0.7505 | 0.5396
0002 | 05:25:37 |  28.2s | 1.0e-04 | 0.0759 | 0.8610 | 0.7467 | 0.6101 | 0.0686 | 0.8770 | 0.7229 | 0.6116
0003 | 05:26:18 |  28.5s | 1.0e-04 | 0.0687 | 0.8730 | 0.7849 | 0.6925 | 0.0628 | 0.8715 | 0.7654 | 0.6543
0004 | 05:26:59 |  28.2s | 1.0e-04 | 0.0604 | 0.8870 | 0.8134 | 0.7538 | 0.0582 | 0.8503 | 0.8170 | 0.6967
0005 | 05:27:40 |  28.2s | 1.0e-04 | 0.0572 | 0.8915 | 0.8276 | 0.7896 | 0.0544 | 0.8784 | 0.8023 | 0.7319
0006 | 05:28:21 |  28.0s | 1.0e-04 | 0.0534 | 0.8981 | 0.8396 | 0.8153 | 0.0520 | 0.8919 | 0.8161 | 0.7639
0007 | 05:29:01 |  28.2s | 1.0e-04 | 0.0516 | 0.9013 | 0.8481 | 0.8337 | 0.0497 | 0.8834 | 0.8401 | 0.7899
0008 | 05:29:42 |  38.8s | 1.0e-04 | 0.0497 | 0.9016 | 0.8548 | 0.8464 | 0.0476 | 0.9004 | 0.8317 | 0.8156
0009 | 05:30:33 |  27.9s | 1.0e-04 | 0.0479 | 0.9026 | 0.8592 | 0.8533 | 0.0479 | 0.9062 | 0.8220 | 0.8178
0010 | 05:31:14 |  27.8s | 1.0e-04 | 0.0464 | 0.9032 | 0.8656 | 0.8656 | 0.0431 | 0.8959 | 0.8515 | 0.8402
0011 | 05:31:54 |  27.9s | 1.0e-04 | 0.0446 | 0.9059 | 0.8675 | 0.8703 | 0.0433 | 0.8944 | 0.8650 | 0.8526
0012 | 05:32:34 |  27.9s | 1.0e-04 | 0.0435 | 0.9090 | 0.8723 | 0.8811 | 0.0442 | 0.8653 | 0.8939 | 0.8580
0013 | 05:33:15 |  28.1s | 1.0e-04 | 0.0429 | 0.9091 | 0.8734 | 0.8800 | 0.0427 | 0.8707 | 0.8867 | 0.8534
0014 | 05:33:55 |  27.9s | 1.0e-04 | 0.0426 | 0.9105 | 0.8755 | 0.8843 | 0.0388 | 0.9043 | 0.8562 | 0.8616
0015 | 05:34:36 |  28.2s | 1.0e-04 | 0.0407 | 0.9128 | 0.8808 | 0.8928 | 0.0431 | 0.8536 | 0.9032 | 0.8569
0016 | 05:35:17 |  36.9s | 1.0e-04 | 0.0398 | 0.9142 | 0.8822 | 0.8958 | 0.0389 | 0.8962 | 0.8772 | 0.8701
0017 | 05:36:06 |  28.5s | 1.0e-04 | 0.0383 | 0.9133 | 0.8840 | 0.8975 | 0.0401 | 0.9090 | 0.8546 | 0.8661
0018 | 05:36:47 |  28.4s | 1.0e-04 | 0.0383 | 0.9166 | 0.8865 | 0.9033 | 0.0383 | 0.9002 | 0.8818 | 0.8803
0019 | 05:37:28 |  28.8s | 1.0e-04 | 0.0372 | 0.9160 | 0.8899 | 0.9072 | 0.0390 | 0.9147 | 0.8586 | 0.8800
0020 | 05:38:10 |  28.8s | 1.0e-04 | 0.0369 | 0.9178 | 0.8940 | 0.9124 | 0.0374 | 0.8951 | 0.8856 | 0.8800
0021 | 05:38:51 |  28.6s | 1.0e-04 | 0.0358 | 0.9177 | 0.8933 | 0.9113 | 0.0358 | 0.8927 | 0.8977 | 0.8908
0022 | 05:39:32 |  28.9s | 1.0e-04 | 0.0350 | 0.9207 | 0.8983 | 0.9192 | 0.0379 | 0.9204 | 0.8632 | 0.8879
0023 | 05:40:14 |  28.6s | 1.0e-04 | 0.0352 | 0.9198 | 0.8963 | 0.9169 | 0.0369 | 0.9256 | 0.8663 | 0.8965
