Epoch | Time_Start | Duration | LR | T_Loss | T_Prec | T_Rec | T_P@R0.95 | V_Loss | V_Prec | V_Rec | V_P@R0.95
0001 | 20:08:21 |  23.8s | 1.0e-04 | 0.1270 | 0.7162 | 0.5447 | 0.2066 | 0.0877 | 0.7846 | 0.7019 | 0.3163
0002 | 20:08:55 |  15.9s | 1.0e-04 | 0.0828 | 0.8406 | 0.6968 | 0.3690 | 0.0819 | 0.8819 | 0.6107 | 0.3413
0003 | 20:09:21 |  15.6s | 1.0e-04 | 0.0782 | 0.8519 | 0.7236 | 0.3962 | 0.0748 | 0.7963 | 0.7746 | 0.3870
0004 | 20:09:46 |  15.4s | 1.0e-04 | 0.0740 | 0.8542 | 0.7410 | 0.4230 | 0.0734 | 0.7895 | 0.7808 | 0.3913
0005 | 20:10:12 |  15.0s | 1.0e-04 | 0.0726 | 0.8603 | 0.7598 | 0.4456 | 0.0671 | 0.8353 | 0.8030 | 0.4481
0006 | 20:10:37 |  15.0s | 1.0e-04 | 0.0661 | 0.8651 | 0.7775 | 0.4849 | 0.0639 | 0.8878 | 0.7467 | 0.4714
0007 | 20:11:02 |  14.7s | 1.0e-04 | 0.0623 | 0.8738 | 0.7954 | 0.5319 | 0.0576 | 0.8628 | 0.8067 | 0.5249
0008 | 20:11:26 |  14.5s | 1.0e-04 | 0.0584 | 0.8768 | 0.8082 | 0.5690 | 0.0605 | 0.9038 | 0.7726 | 0.5449
0009 | 20:11:51 |  15.1s | 1.0e-04 | 0.0595 | 0.8774 | 0.8097 | 0.5679 | 0.0569 | 0.8825 | 0.7954 | 0.5594
0010 | 20:12:16 |  15.0s | 1.0e-04 | 0.0552 | 0.8849 | 0.8250 | 0.6083 | 0.0536 | 0.8943 | 0.8109 | 0.5703
0011 | 20:12:41 |  14.4s | 1.0e-04 | 0.0547 | 0.8880 | 0.8229 | 0.5963 | 0.0535 | 0.8747 | 0.8483 | 0.6252
0012 | 20:13:07 |  14.3s | 1.0e-04 | 0.0523 | 0.8891 | 0.8338 | 0.6313 | 0.0529 | 0.8955 | 0.8071 | 0.6051
0013 | 20:13:32 |  14.3s | 1.0e-04 | 0.0511 | 0.8930 | 0.8367 | 0.6462 | 0.0585 | 0.9320 | 0.7404 | 0.5508
0014 | 20:13:56 |  14.3s | 1.0e-04 | 0.0504 | 0.8942 | 0.8409 | 0.6535 | 0.0497 | 0.8735 | 0.8523 | 0.6015
0015 | 20:14:20 |  14.4s | 1.0e-04 | 0.0499 | 0.8944 | 0.8446 | 0.6703 | 0.0498 | 0.8900 | 0.8296 | 0.6088
0016 | 20:14:45 |  14.4s | 1.0e-04 | 0.0491 | 0.8990 | 0.8466 | 0.6723 | 0.0492 | 0.9156 | 0.8213 | 0.6809
0017 | 20:15:09 |  14.9s | 1.0e-04 | 0.0479 | 0.9022 | 0.8493 | 0.6903 | 0.0508 | 0.8640 | 0.8579 | 0.6102
0018 | 20:15:35 |  19.8s | 1.0e-04 | 0.0474 | 0.9020 | 0.8535 | 0.6895 | 0.0518 | 0.8812 | 0.8491 | 0.6220
0019 | 20:16:07 |  20.5s | 1.0e-04 | 0.0466 | 0.9022 | 0.8529 | 0.6947 | 0.0471 | 0.9110 | 0.8245 | 0.6630
0020 | 20:16:43 |  16.5s | 1.0e-04 | 0.0468 | 0.9035 | 0.8582 | 0.7096 | 0.0445 | 0.9027 | 0.8563 | 0.6855
0021 | 20:17:09 |  14.6s | 1.0e-04 | 0.0457 | 0.9069 | 0.8593 | 0.7145 | 0.0467 | 0.8765 | 0.8579 | 0.6302
0022 | 20:17:34 |  14.7s | 1.0e-04 | 0.0446 | 0.9087 | 0.8650 | 0.7334 | 0.0469 | 0.8912 | 0.8513 | 0.6794
0023 | 20:17:59 |  14.6s | 1.0e-04 | 0.0445 | 0.9079 | 0.8611 | 0.7202 | 0.0462 | 0.9013 | 0.8481 | 0.6875
0024 | 20:18:23 |  14.5s | 1.0e-04 | 0.0431 | 0.9080 | 0.8669 | 0.7378 | 0.0458 | 0.9118 | 0.8398 | 0.6974
0025 | 20:18:48 |  14.4s | 1.0e-04 | 0.0423 | 0.9096 | 0.8695 | 0.7556 | 0.0446 | 0.9007 | 0.8508 | 0.6834
0026 | 20:19:12 |  14.3s | 1.0e-04 | 0.0418 | 0.9126 | 0.8704 | 0.7563 | 0.0417 | 0.8950 | 0.8743 | 0.7206
0027 | 20:19:36 |  14.2s | 1.0e-04 | 0.0409 | 0.9130 | 0.8738 | 0.7669 | 0.0434 | 0.8744 | 0.8787 | 0.7145
0028 | 20:20:00 |  14.3s | 1.0e-04 | 0.0419 | 0.9131 | 0.8713 | 0.7527 | 0.0440 | 0.9264 | 0.8309 | 0.7191
0029 | 20:20:24 |  14.3s | 1.0e-04 | 0.0395 | 0.9153 | 0.8773 | 0.7826 | 0.0413 | 0.9152 | 0.8495 | 0.7242
0030 | 20:20:48 |  14.2s | 1.0e-04 | 0.0392 | 0.9145 | 0.8738 | 0.7785 | 0.0431 | 0.8953 | 0.8747 | 0.7282
0031 | 20:21:12 |  14.3s | 1.0e-04 | 0.0384 | 0.9156 | 0.8786 | 0.7865 | 0.0388 | 0.9161 | 0.8610 | 0.7626
0032 | 20:21:37 |  24.5s | 1.0e-04 | 0.0393 | 0.9164 | 0.8819 | 0.7977 | 0.0403 | 0.9194 | 0.8587 | 0.7646
0033 | 20:22:11 |  14.1s | 1.0e-04 | 0.0377 | 0.9194 | 0.8880 | 0.8157 | 0.0399 | 0.8859 | 0.8837 | 0.7588
0034 | 20:22:35 |  13.9s | 1.0e-04 | 0.0369 | 0.9225 | 0.8918 | 0.8240 | 0.0407 | 0.9053 | 0.8495 | 0.7186
0035 | 20:22:59 |  13.8s | 1.0e-04 | 0.0358 | 0.9217 | 0.8911 | 0.8245 | 0.0398 | 0.9133 | 0.8616 | 0.7372
0036 | 20:23:22 |  13.8s | 1.0e-04 | 0.0354 | 0.9223 | 0.8951 | 0.8408 | 0.0379 | 0.8933 | 0.8912 | 0.7718
0037 | 20:23:46 |  13.9s | 1.0e-04 | 0.0351 | 0.9227 | 0.8964 | 0.8389 | 0.0356 | 0.9269 | 0.8669 | 0.8129
0038 | 20:24:10 |  13.9s | 1.0e-04 | 0.0360 | 0.9225 | 0.8935 | 0.8338 | 0.0352 | 0.8984 | 0.8991 | 0.8019
0039 | 20:24:33 |  14.0s | 1.0e-04 | 0.0350 | 0.9233 | 0.8976 | 0.8451 | 0.0358 | 0.9002 | 0.8925 | 0.7921
0040 | 20:24:57 |  14.1s | 1.0e-04 | 0.0335 | 0.9238 | 0.9024 | 0.8570 | 0.0384 | 0.9127 | 0.8788 | 0.7914
0041 | 20:25:21 |  14.3s | 1.0e-04 | 0.0339 | 0.9241 | 0.8991 | 0.8488 | 0.0375 | 0.9006 | 0.9032 | 0.8127
0042 | 20:25:45 |  14.3s | 1.0e-04 | 0.0328 | 0.9267 | 0.9019 | 0.8586 | 0.0361 | 0.9014 | 0.8948 | 0.8071
0043 | 20:26:09 |  14.0s | 1.0e-04 | 0.0322 | 0.9261 | 0.9050 | 0.8636 | 0.0353 | 0.9140 | 0.8728 | 0.8021
0044 | 20:26:33 |  14.0s | 1.0e-04 | 0.0336 | 0.9266 | 0.9068 | 0.8635 | 0.0361 | 0.9199 | 0.8725 | 0.8080
0045 | 20:26:57 |  14.0s | 1.0e-04 | 0.0333 | 0.9258 | 0.9053 | 0.8609 | 0.0348 | 0.9226 | 0.8724 | 0.8157
0046 | 20:27:20 |  14.3s | 1.0e-04 | 0.0328 | 0.9249 | 0.9046 | 0.8629 | 0.0375 | 0.8886 | 0.9082 | 0.8024
0047 | 20:27:45 |  14.0s | 1.0e-04 | 0.0321 | 0.9259 | 0.9078 | 0.8661 | 0.0359 | 0.9216 | 0.8769 | 0.8012
0048 | 20:28:08 |  13.9s | 1.0e-04 | 0.0319 | 0.9288 | 0.9080 | 0.8650 | 0.0333 | 0.9087 | 0.8997 | 0.8218
0049 | 20:28:32 |  13.9s | 1.0e-04 | 0.0313 | 0.9291 | 0.9090 | 0.8748 | 0.0322 | 0.9082 | 0.9083 | 0.8314
0050 | 20:28:56 |  14.0s | 1.0e-04 | 0.0315 | 0.9281 | 0.9127 | 0.8761 | 0.0335 | 0.9002 | 0.9028 | 0.8201
0051 | 20:29:20 |  14.3s | 1.0e-04 | 0.0311 | 0.9280 | 0.9078 | 0.8712 | 0.0331 | 0.9190 | 0.8927 | 0.8324
0052 | 20:29:44 |  14.2s | 1.0e-04 | 0.0313 | 0.9268 | 0.9089 | 0.8751 | 0.0352 | 0.9227 | 0.8808 | 0.8169
0053 | 20:30:08 |  14.2s | 1.0e-04 | 0.0312 | 0.9283 | 0.9107 | 0.8739 | 0.0339 | 0.9025 | 0.9079 | 0.8413
0054 | 20:30:32 |  13.9s | 1.0e-04 | 0.0310 | 0.9290 | 0.9122 | 0.8791 | 0.0345 | 0.9125 | 0.8807 | 0.8024
0055 | 20:30:56 |  14.6s | 1.0e-04 | 0.0315 | 0.9272 | 0.9135 | 0.8798 | 0.0314 | 0.9198 | 0.8873 | 0.8170
0056 | 20:31:20 |  14.1s | 1.0e-04 | 0.0314 | 0.9277 | 0.9137 | 0.8802 | 0.0329 | 0.9127 | 0.9006 | 0.8278
0057 | 20:31:44 |  14.1s | 1.0e-04 | 0.0304 | 0.9303 | 0.9133 | 0.8852 | 0.0336 | 0.9168 | 0.8911 | 0.8236
0058 | 20:32:08 |  14.0s | 1.0e-04 | 0.0306 | 0.9323 | 0.9113 | 0.8793 | 0.0343 | 0.9052 | 0.8949 | 0.8233
0059 | 20:32:31 |  13.8s | 1.0e-04 | 0.0303 | 0.9301 | 0.9136 | 0.8818 | 0.0318 | 0.9179 | 0.8985 | 0.8365
0060 | 20:32:55 |  13.9s | 1.0e-04 | 0.0303 | 0.9301 | 0.9141 | 0.8818 | 0.0353 | 0.9275 | 0.8704 | 0.8221
0061 | 20:33:19 |  13.9s | 1.0e-04 | 0.0304 | 0.9319 | 0.9145 | 0.8817 | 0.0329 | 0.9369 | 0.8659 | 0.8319
0062 | 20:33:42 |  13.8s | 1.0e-04 | 0.0303 | 0.9310 | 0.9146 | 0.8837 | 0.0319 | 0.9097 | 0.9084 | 0.8440
0063 | 20:34:07 |  23.9s | 1.0e-04 | 0.0299 | 0.9315 | 0.9161 | 0.8874 | 0.0333 | 0.9166 | 0.9149 | 0.8635
0064 | 20:34:40 |  14.6s | 1.0e-04 | 0.0311 | 0.9290 | 0.9092 | 0.8748 | 0.0318 | 0.9083 | 0.9159 | 0.8641
0065 | 20:35:05 |  14.4s | 1.0e-04 | 0.0298 | 0.9291 | 0.9164 | 0.8855 | 0.0316 | 0.9289 | 0.8778 | 0.8289
0066 | 20:35:29 |  14.2s | 1.0e-04 | 0.0304 | 0.9278 | 0.9114 | 0.8740 | 0.0307 | 0.9153 | 0.9138 | 0.8518
0067 | 20:35:53 |  14.6s | 1.0e-04 | 0.0297 | 0.9294 | 0.9136 | 0.8829 | 0.0299 | 0.9229 | 0.9035 | 0.8582
0068 | 20:36:18 |  14.3s | 1.0e-04 | 0.0299 | 0.9295 | 0.9131 | 0.8807 | 0.0326 | 0.9255 | 0.8992 | 0.8574
0069 | 20:36:42 |  14.2s | 1.0e-04 | 0.0295 | 0.9309 | 0.9156 | 0.8888 | 0.0326 | 0.9006 | 0.9184 | 0.8492
0070 | 20:37:06 |  14.3s | 1.0e-04 | 0.0293 | 0.9292 | 0.9155 | 0.8846 | 0.0302 | 0.9348 | 0.8874 | 0.8591
0071 | 20:37:31 |  14.2s | 1.0e-04 | 0.0295 | 0.9292 | 0.9125 | 0.8785 | 0.0324 | 0.8983 | 0.9185 | 0.8501
0072 | 20:37:55 |  14.6s | 1.0e-04 | 0.0298 | 0.9316 | 0.9137 | 0.8816 | 0.0310 | 0.9169 | 0.9057 | 0.8366
0073 | 20:38:20 |  14.3s | 1.0e-04 | 0.0295 | 0.9307 | 0.9178 | 0.8874 | 0.0339 | 0.8958 | 0.9128 | 0.8314
0074 | 20:38:44 |  14.7s | 1.0e-04 | 0.0291 | 0.9311 | 0.9170 | 0.8874 | 0.0310 | 0.9309 | 0.8939 | 0.8684
0075 | 20:39:09 |  14.5s | 1.0e-04 | 0.0286 | 0.9303 | 0.9117 | 0.8811 | 0.0288 | 0.9043 | 0.9208 | 0.8545
0076 | 20:39:33 |  14.2s | 1.0e-04 | 0.0291 | 0.9316 | 0.9167 | 0.8864 | 0.0312 | 0.9032 | 0.9194 | 0.8511
0077 | 20:39:58 |  14.3s | 1.0e-04 | 0.0288 | 0.9335 | 0.9184 | 0.8933 | 0.0307 | 0.9189 | 0.9101 | 0.8577
