Epoch | Time_Start | Duration | LR | T_Loss | T_Prec | T_Rec | T_P@R0.95 | V_Loss | V_Prec | V_Rec | V_P@R0.95
0001 | 14:28:08 |  25.5s | 1.0e-04 | 0.1170 | 0.7768 | 0.5637 | 0.2220 | 0.0850 | 0.7624 | 0.7418 | 0.3257
0002 | 14:28:43 |  12.1s | 1.0e-04 | 0.0783 | 0.8485 | 0.7133 | 0.3925 | 0.0744 | 0.8185 | 0.7606 | 0.3900
0003 | 14:29:05 |  12.2s | 1.0e-04 | 0.0713 | 0.8570 | 0.7431 | 0.4300 | 0.0698 | 0.8850 | 0.7066 | 0.4279
0004 | 14:29:26 |  12.5s | 1.0e-04 | 0.0649 | 0.8713 | 0.7748 | 0.4772 | 0.0672 | 0.9319 | 0.6818 | 0.5211
0005 | 14:29:48 |  12.3s | 1.0e-04 | 0.0567 | 0.8874 | 0.8099 | 0.5561 | 0.0587 | 0.8476 | 0.8398 | 0.5440
0006 | 14:30:10 |  12.3s | 1.0e-04 | 0.0547 | 0.8894 | 0.8221 | 0.5826 | 0.0558 | 0.8982 | 0.7944 | 0.5470
0007 | 14:30:32 |  12.1s | 1.0e-04 | 0.0530 | 0.8959 | 0.8256 | 0.6057 | 0.0506 | 0.8990 | 0.8064 | 0.5959
0008 | 14:30:53 |  12.2s | 1.0e-04 | 0.0541 | 0.8945 | 0.8290 | 0.6098 | 0.0509 | 0.9156 | 0.7983 | 0.6365
0009 | 14:31:15 |  12.2s | 1.0e-04 | 0.0495 | 0.8979 | 0.8387 | 0.6503 | 0.0478 | 0.9032 | 0.8402 | 0.6567
0010 | 14:31:36 |  12.1s | 1.0e-04 | 0.0478 | 0.9012 | 0.8406 | 0.6601 | 0.0490 | 0.8865 | 0.8489 | 0.6546
0011 | 14:31:58 |  12.1s | 1.0e-04 | 0.0471 | 0.9000 | 0.8467 | 0.6870 | 0.0459 | 0.8864 | 0.8693 | 0.7219
0012 | 14:32:20 |  12.3s | 1.0e-04 | 0.0452 | 0.9021 | 0.8565 | 0.7174 | 0.0442 | 0.8952 | 0.8629 | 0.7189
0013 | 14:32:41 |  12.3s | 1.0e-04 | 0.0448 | 0.9004 | 0.8541 | 0.7152 | 0.0417 | 0.8992 | 0.8629 | 0.7303
0014 | 14:33:03 |  12.1s | 1.0e-04 | 0.0437 | 0.9026 | 0.8577 | 0.7305 | 0.0439 | 0.8945 | 0.8656 | 0.7466
0015 | 14:33:25 |  12.1s | 1.0e-04 | 0.0435 | 0.9051 | 0.8570 | 0.7266 | 0.0410 | 0.8938 | 0.8617 | 0.7453
0016 | 14:33:46 |  12.1s | 1.0e-04 | 0.0422 | 0.9075 | 0.8636 | 0.7463 | 0.0414 | 0.9121 | 0.8549 | 0.7510
0017 | 14:34:08 |  12.2s | 1.0e-04 | 0.0416 | 0.9086 | 0.8650 | 0.7565 | 0.0399 | 0.9180 | 0.8414 | 0.7498
0018 | 14:34:30 |  12.2s | 1.0e-04 | 0.0406 | 0.9097 | 0.8675 | 0.7676 | 0.0410 | 0.9051 | 0.8684 | 0.7721
0019 | 14:34:51 |  12.2s | 1.0e-04 | 0.0400 | 0.9105 | 0.8693 | 0.7732 | 0.0410 | 0.8965 | 0.8669 | 0.7715
0020 | 14:35:13 |  12.3s | 1.0e-04 | 0.0395 | 0.9114 | 0.8672 | 0.7718 | 0.0408 | 0.8910 | 0.8738 | 0.7578
0021 | 14:35:35 |  23.3s | 1.0e-04 | 0.0403 | 0.9106 | 0.8750 | 0.7817 | 0.0404 | 0.9061 | 0.8680 | 0.7676
0022 | 14:36:08 |  12.4s | 1.0e-04 | 0.0397 | 0.9165 | 0.8838 | 0.8074 | 0.0388 | 0.9230 | 0.8523 | 0.7910
0023 | 14:36:29 |  11.9s | 1.0e-04 | 0.0397 | 0.9139 | 0.8813 | 0.8019 | 0.0401 | 0.8923 | 0.8914 | 0.7823
0024 | 14:36:51 |  12.1s | 1.0e-04 | 0.0386 | 0.9152 | 0.8848 | 0.8138 | 0.0394 | 0.8911 | 0.8978 | 0.7930
0025 | 14:37:12 |  11.9s | 1.0e-04 | 0.0365 | 0.9167 | 0.8880 | 0.8212 | 0.0376 | 0.9225 | 0.8507 | 0.7745
0026 | 14:37:34 |  11.8s | 1.0e-04 | 0.0373 | 0.9177 | 0.8909 | 0.8247 | 0.0374 | 0.9153 | 0.8691 | 0.8046
0027 | 14:37:55 |  12.0s | 1.0e-04 | 0.0358 | 0.9188 | 0.8919 | 0.8301 | 0.0392 | 0.8957 | 0.8941 | 0.8043
0028 | 14:38:17 |  11.9s | 1.0e-04 | 0.0371 | 0.9186 | 0.8916 | 0.8304 | 0.0363 | 0.9150 | 0.8773 | 0.8090
0029 | 14:38:38 |  12.0s | 1.0e-04 | 0.0355 | 0.9186 | 0.8982 | 0.8442 | 0.0361 | 0.9004 | 0.8833 | 0.7899
0030 | 14:39:00 |  12.1s | 1.0e-04 | 0.0356 | 0.9208 | 0.8959 | 0.8395 | 0.0342 | 0.9128 | 0.8855 | 0.8241
0031 | 14:39:21 |  12.0s | 1.0e-04 | 0.0349 | 0.9201 | 0.8981 | 0.8460 | 0.0368 | 0.8870 | 0.9042 | 0.8038
0032 | 14:39:43 |  11.9s | 1.0e-04 | 0.0338 | 0.9241 | 0.9034 | 0.8569 | 0.0346 | 0.9003 | 0.9070 | 0.8276
0033 | 14:40:04 |  11.8s | 1.0e-04 | 0.0330 | 0.9242 | 0.9023 | 0.8559 | 0.0339 | 0.9045 | 0.8871 | 0.8105
0034 | 14:40:25 |  12.0s | 1.0e-04 | 0.0326 | 0.9247 | 0.9045 | 0.8629 | 0.0356 | 0.8864 | 0.9073 | 0.8131
0035 | 14:40:47 |  12.2s | 1.0e-04 | 0.0325 | 0.9258 | 0.9089 | 0.8685 | 0.0334 | 0.9061 | 0.9047 | 0.8415
0036 | 14:41:09 |  11.9s | 1.0e-04 | 0.0312 | 0.9266 | 0.9082 | 0.8680 | 0.0324 | 0.9257 | 0.8865 | 0.8392
0037 | 14:41:30 |  12.4s | 1.0e-04 | 0.0313 | 0.9268 | 0.9095 | 0.8728 | 0.0318 | 0.9065 | 0.9084 | 0.8401
0038 | 14:41:52 |  11.9s | 1.0e-04 | 0.0305 | 0.9279 | 0.9130 | 0.8792 | 0.0315 | 0.9163 | 0.9021 | 0.8462
0039 | 14:42:13 |  11.9s | 1.0e-04 | 0.0298 | 0.9277 | 0.9145 | 0.8840 | 0.0317 | 0.8926 | 0.9207 | 0.8412
0040 | 14:42:34 |  12.2s | 1.0e-04 | 0.0311 | 0.9269 | 0.9149 | 0.8805 | 0.0326 | 0.8997 | 0.9141 | 0.8406
0041 | 14:42:56 |  12.0s | 1.0e-04 | 0.0301 | 0.9291 | 0.9134 | 0.8805 | 0.0333 | 0.9158 | 0.9124 | 0.8587
0042 | 14:43:18 |  24.9s | 1.0e-04 | 0.0318 | 0.9260 | 0.9103 | 0.8713 | 0.0312 | 0.9189 | 0.8981 | 0.8447
0043 | 14:43:52 |  12.0s | 1.0e-04 | 0.0300 | 0.9281 | 0.9159 | 0.8829 | 0.0291 | 0.9148 | 0.9106 | 0.8616
0044 | 14:44:13 |  12.0s | 1.0e-04 | 0.0301 | 0.9300 | 0.9187 | 0.8913 | 0.0324 | 0.9012 | 0.9179 | 0.8493
0045 | 14:44:35 |  12.0s | 1.0e-04 | 0.0296 | 0.9305 | 0.9177 | 0.8912 | 0.0307 | 0.9187 | 0.9025 | 0.8526
0046 | 14:44:56 |  12.0s | 1.0e-04 | 0.0300 | 0.9295 | 0.9160 | 0.8864 | 0.0312 | 0.9225 | 0.8992 | 0.8537
0047 | 14:45:18 |  11.9s | 1.0e-04 | 0.0301 | 0.9291 | 0.9152 | 0.8837 | 0.0308 | 0.9334 | 0.8992 | 0.8706
0048 | 14:45:39 |  12.2s | 1.0e-04 | 0.0282 | 0.9321 | 0.9224 | 0.8987 | 0.0294 | 0.9019 | 0.9194 | 0.8556
0049 | 14:46:01 |  12.0s | 1.0e-04 | 0.0291 | 0.9308 | 0.9222 | 0.8982 | 0.0292 | 0.8986 | 0.9369 | 0.8755
0050 | 14:46:22 |  11.9s | 1.0e-04 | 0.0284 | 0.9316 | 0.9197 | 0.8940 | 0.0299 | 0.9232 | 0.9085 | 0.8732
0051 | 14:46:43 |  12.0s | 1.0e-04 | 0.0286 | 0.9312 | 0.9213 | 0.8973 | 0.0300 | 0.9457 | 0.8811 | 0.8756
0052 | 14:47:05 |  12.0s | 1.0e-04 | 0.0289 | 0.9331 | 0.9219 | 0.8981 | 0.0279 | 0.9281 | 0.9097 | 0.8742
0053 | 14:47:26 |  11.9s | 1.0e-04 | 0.0287 | 0.9316 | 0.9223 | 0.8955 | 0.0314 | 0.9298 | 0.8885 | 0.8511
0054 | 14:47:48 |  12.0s | 1.0e-04 | 0.0282 | 0.9309 | 0.9218 | 0.8981 | 0.0309 | 0.9212 | 0.9148 | 0.8730
0055 | 14:48:09 |  12.6s | 1.0e-04 | 0.0291 | 0.9298 | 0.9199 | 0.8921 | 0.0297 | 0.9353 | 0.8950 | 0.8728
0056 | 14:48:31 |  12.3s | 1.0e-04 | 0.0282 | 0.9337 | 0.9238 | 0.9023 | 0.0289 | 0.9307 | 0.9104 | 0.8720
0057 | 14:48:53 |  11.9s | 1.0e-04 | 0.0279 | 0.9322 | 0.9223 | 0.8997 | 0.0308 | 0.9332 | 0.8859 | 0.8688
0058 | 14:49:14 |  12.2s | 1.0e-04 | 0.0277 | 0.9326 | 0.9250 | 0.9052 | 0.0288 | 0.9145 | 0.9211 | 0.8697
0059 | 14:49:36 |  12.0s | 1.0e-04 | 0.0278 | 0.9331 | 0.9241 | 0.9036 | 0.0286 | 0.9287 | 0.9006 | 0.8727
0060 | 14:49:57 |  12.1s | 1.0e-04 | 0.0273 | 0.9325 | 0.9252 | 0.9048 | 0.0301 | 0.9106 | 0.9235 | 0.8732
0061 | 14:50:19 |  11.9s | 1.0e-04 | 0.0274 | 0.9337 | 0.9266 | 0.9068 | 0.0302 | 0.9218 | 0.8986 | 0.8545
0062 | 14:50:40 |  12.3s | 1.0e-04 | 0.0273 | 0.9345 | 0.9260 | 0.9085 | 0.0285 | 0.9222 | 0.9114 | 0.8714
0063 | 14:51:02 |  22.6s | 1.0e-04 | 0.0269 | 0.9337 | 0.9287 | 0.9086 | 0.0284 | 0.9279 | 0.9021 | 0.8725
0064 | 14:51:34 |  12.0s | 1.0e-04 | 0.0264 | 0.9353 | 0.9266 | 0.9095 | 0.0277 | 0.9180 | 0.9208 | 0.8804
0065 | 14:51:56 |  12.0s | 1.0e-04 | 0.0264 | 0.9348 | 0.9276 | 0.9090 | 0.0293 | 0.8994 | 0.9265 | 0.8689
0066 | 14:52:18 |  12.0s | 1.0e-04 | 0.0263 | 0.9344 | 0.9290 | 0.9103 | 0.0285 | 0.9296 | 0.9127 | 0.8819
0067 | 14:52:39 |  12.0s | 1.0e-04 | 0.0266 | 0.9339 | 0.9273 | 0.9092 | 0.0268 | 0.9148 | 0.9181 | 0.8704
0068 | 14:53:01 |  12.0s | 1.0e-04 | 0.0266 | 0.9338 | 0.9278 | 0.9100 | 0.0295 | 0.9084 | 0.9327 | 0.8825
0069 | 14:53:22 |  12.0s | 1.0e-04 | 0.0260 | 0.9362 | 0.9284 | 0.9115 | 0.0290 | 0.9162 | 0.9280 | 0.8870
0070 | 14:53:44 |  12.1s | 1.0e-04 | 0.0263 | 0.9339 | 0.9295 | 0.9104 | 0.0274 | 0.9332 | 0.9073 | 0.8872
0071 | 14:54:06 |  12.0s | 1.0e-04 | 0.0264 | 0.9360 | 0.9281 | 0.9092 | 0.0292 | 0.9242 | 0.9056 | 0.8643
0072 | 14:54:28 |  12.2s | 1.0e-04 | 0.0262 | 0.9351 | 0.9287 | 0.9099 | 0.0287 | 0.9282 | 0.9118 | 0.8814
0073 | 14:54:49 |  11.9s | 1.0e-04 | 0.0259 | 0.9368 | 0.9310 | 0.9131 | 0.0281 | 0.9261 | 0.9086 | 0.8752
0074 | 14:55:11 |  12.1s | 1.0e-04 | 0.0257 | 0.9369 | 0.9286 | 0.9125 | 0.0279 | 0.9258 | 0.9159 | 0.8824
