Epoch | Time_Start | Duration | LR | T_Loss | T_Prec | T_Rec | T_P@R0.95 | V_Loss | V_Prec | V_Rec | V_P@R0.95
0001 | 06:07:55 |  22.0s | 1.0e-04 | 0.0994 | 0.8411 | 0.6633 | 0.2689 | 0.0688 | 0.8310 | 0.7897 | 0.4092
0002 | 06:08:26 |  13.2s | 1.0e-04 | 0.0636 | 0.8844 | 0.7973 | 0.4965 | 0.0603 | 0.8936 | 0.7841 | 0.5086
0003 | 06:08:49 |  13.3s | 1.0e-04 | 0.0575 | 0.8967 | 0.8125 | 0.5516 | 0.0556 | 0.9021 | 0.7875 | 0.5102
0004 | 06:09:12 |  13.4s | 1.0e-04 | 0.0538 | 0.9006 | 0.8239 | 0.5841 | 0.0551 | 0.9043 | 0.7966 | 0.5469
0005 | 06:09:35 |  13.5s | 1.0e-04 | 0.0531 | 0.9020 | 0.8330 | 0.6242 | 0.0546 | 0.8626 | 0.8278 | 0.5406
0006 | 06:09:58 |  13.6s | 1.0e-04 | 0.0529 | 0.9020 | 0.8350 | 0.6416 | 0.0550 | 0.8726 | 0.8351 | 0.5857
0007 | 06:10:22 |  13.5s | 1.0e-04 | 0.0518 | 0.9023 | 0.8370 | 0.6506 | 0.0535 | 0.8782 | 0.8473 | 0.6252
0008 | 06:10:45 |  13.2s | 1.0e-04 | 0.0500 | 0.9080 | 0.8394 | 0.6607 | 0.0495 | 0.8905 | 0.8384 | 0.6169
0009 | 06:11:08 |  13.4s | 1.0e-04 | 0.0473 | 0.9066 | 0.8455 | 0.6846 | 0.0492 | 0.8960 | 0.8377 | 0.6321
0010 | 06:11:31 |  13.6s | 1.0e-04 | 0.0475 | 0.9103 | 0.8516 | 0.6980 | 0.0499 | 0.8824 | 0.8394 | 0.6159
0011 | 06:11:54 |  13.7s | 1.0e-04 | 0.0457 | 0.9100 | 0.8533 | 0.7101 | 0.0474 | 0.9201 | 0.8052 | 0.6526
0012 | 06:12:17 |  13.5s | 1.0e-04 | 0.0457 | 0.9109 | 0.8477 | 0.7003 | 0.0472 | 0.9100 | 0.8381 | 0.6738
0013 | 06:12:41 |  13.4s | 1.0e-04 | 0.0443 | 0.9117 | 0.8543 | 0.7226 | 0.0434 | 0.9165 | 0.8232 | 0.6786
0014 | 06:13:04 |  13.6s | 1.0e-04 | 0.0431 | 0.9119 | 0.8637 | 0.7444 | 0.0420 | 0.9031 | 0.8637 | 0.7303
