Epoch | Time_Start | Duration | LR | T_Loss | T_Prec | T_Rec | T_P@R0.95 | V_Loss | V_Prec | V_Rec | V_P@R0.95
0001 | 20:57:45 |  38.6s | 1.0e-04 | 0.1204 | 0.7403 | 0.5775 | 0.2241 | 0.0800 | 0.8605 | 0.6684 | 0.3612
0002 | 20:58:37 |  31.0s | 1.0e-04 | 0.0759 | 0.8559 | 0.7326 | 0.4201 | 0.0755 | 0.8005 | 0.7899 | 0.4211
0003 | 20:59:21 |  31.4s | 1.0e-04 | 0.0701 | 0.8651 | 0.7613 | 0.4623 | 0.0667 | 0.8479 | 0.7668 | 0.4378
0004 | 21:00:05 |  31.4s | 1.0e-04 | 0.0624 | 0.8753 | 0.7901 | 0.5206 | 0.0598 | 0.8687 | 0.7862 | 0.4853
0005 | 21:00:49 |  31.0s | 1.0e-04 | 0.0576 | 0.8858 | 0.8104 | 0.5609 | 0.0573 | 0.9065 | 0.7757 | 0.5421
0006 | 21:01:33 |  31.2s | 1.0e-04 | 0.0547 | 0.8916 | 0.8231 | 0.5957 | 0.0537 | 0.9139 | 0.7962 | 0.5943
0007 | 21:02:17 |  31.3s | 1.0e-04 | 0.0529 | 0.8941 | 0.8356 | 0.6379 | 0.0513 | 0.8762 | 0.8362 | 0.6084
0008 | 21:03:01 |  38.6s | 1.0e-04 | 0.0498 | 0.8971 | 0.8428 | 0.6624 | 0.0477 | 0.8841 | 0.8474 | 0.6649
0009 | 21:03:53 |  30.9s | 1.0e-04 | 0.0482 | 0.9029 | 0.8547 | 0.7074 | 0.0470 | 0.8905 | 0.8424 | 0.6887
0010 | 21:04:37 |  30.9s | 1.0e-04 | 0.0460 | 0.9050 | 0.8626 | 0.7347 | 0.0459 | 0.8992 | 0.8396 | 0.7094
0011 | 21:05:21 |  30.7s | 1.0e-04 | 0.0444 | 0.9061 | 0.8664 | 0.7496 | 0.0445 | 0.9074 | 0.8372 | 0.7174
0012 | 21:06:04 |  31.3s | 1.0e-04 | 0.0437 | 0.9060 | 0.8693 | 0.7659 | 0.0445 | 0.8839 | 0.8683 | 0.7320
0013 | 21:06:48 |  31.5s | 1.0e-04 | 0.0423 | 0.9083 | 0.8751 | 0.7801 | 0.0412 | 0.9096 | 0.8515 | 0.7534
0014 | 21:07:33 |  31.0s | 1.0e-04 | 0.0417 | 0.9096 | 0.8745 | 0.7818 | 0.0420 | 0.8840 | 0.8774 | 0.7551
0015 | 21:08:16 |  30.7s | 1.0e-04 | 0.0399 | 0.9109 | 0.8792 | 0.7945 | 0.0420 | 0.8799 | 0.8938 | 0.7805
0016 | 21:09:00 |  39.8s | 1.0e-04 | 0.0387 | 0.9134 | 0.8824 | 0.8011 | 0.0429 | 0.8574 | 0.9003 | 0.7629
0017 | 21:09:53 |  32.1s | 1.0e-04 | 0.0378 | 0.9111 | 0.8810 | 0.7993 | 0.0399 | 0.9189 | 0.8346 | 0.7644
0018 | 21:10:38 |  31.4s | 1.0e-04 | 0.0367 | 0.9137 | 0.8847 | 0.8112 | 0.0386 | 0.8844 | 0.8844 | 0.7728
0019 | 21:11:22 |  31.4s | 1.0e-04 | 0.0357 | 0.9151 | 0.8890 | 0.8184 | 0.0392 | 0.9092 | 0.8679 | 0.7847
0020 | 21:12:06 |  31.4s | 1.0e-04 | 0.0356 | 0.9157 | 0.8884 | 0.8210 | 0.0393 | 0.8855 | 0.8841 | 0.7671
0021 | 21:12:51 |  31.7s | 1.0e-04 | 0.0347 | 0.9166 | 0.8899 | 0.8267 | 0.0389 | 0.8979 | 0.8679 | 0.7635
0022 | 21:13:36 |  31.7s | 1.0e-04 | 0.0344 | 0.9196 | 0.8947 | 0.8363 | 0.0375 | 0.8929 | 0.8885 | 0.7883
0023 | 21:14:20 |  31.8s | 1.0e-04 | 0.0340 | 0.9185 | 0.8932 | 0.8371 | 0.0387 | 0.9019 | 0.8846 | 0.8002
0024 | 21:15:05 |  40.8s | 1.0e-04 | 0.0366 | 0.9197 | 0.8988 | 0.8452 | 0.0370 | 0.8844 | 0.9102 | 0.8087
0025 | 21:15:58 |  31.0s | 1.0e-04 | 0.0346 | 0.9191 | 0.8995 | 0.8487 | 0.0346 | 0.9053 | 0.8890 | 0.8129
0026 | 21:16:42 |  30.8s | 1.0e-04 | 0.0337 | 0.9215 | 0.9018 | 0.8537 | 0.0334 | 0.8995 | 0.9018 | 0.8223
0027 | 21:17:26 |  31.2s | 1.0e-04 | 0.0336 | 0.9207 | 0.9033 | 0.8565 | 0.0331 | 0.9226 | 0.8749 | 0.8269
0028 | 21:18:10 |  31.2s | 1.0e-04 | 0.0334 | 0.9220 | 0.9029 | 0.8576 | 0.0335 | 0.9324 | 0.8665 | 0.8312
