Epoch | Time_Start | Duration | LR | T_Loss | T_Prec | T_Rec | T_P@R0.95 | V_Loss | V_Prec | V_Rec | V_P@R0.95
0001 | 06:47:14 |  19.4s | 1.0e-04 | 0.1227 | 0.7980 | 0.5861 | 0.2459 | 0.0814 | 0.8406 | 0.6750 | 0.3456
0002 | 06:47:42 |  12.8s | 1.0e-04 | 0.0823 | 0.8493 | 0.7198 | 0.4104 | 0.0753 | 0.8700 | 0.6693 | 0.3587
0003 | 06:48:05 |  12.7s | 1.0e-04 | 0.0763 | 0.8591 | 0.7477 | 0.4410 | 0.0745 | 0.7978 | 0.7942 | 0.4206
0004 | 06:48:27 |  12.8s | 1.0e-04 | 0.0726 | 0.8640 | 0.7790 | 0.5033 | 0.0635 | 0.8268 | 0.7894 | 0.4461
0005 | 06:48:49 |  13.0s | 1.0e-04 | 0.0655 | 0.8782 | 0.8027 | 0.5473 | 0.0632 | 0.8421 | 0.8075 | 0.5001
0006 | 06:49:12 |  13.1s | 1.0e-04 | 0.0604 | 0.8850 | 0.8189 | 0.5833 | 0.0582 | 0.9074 | 0.7779 | 0.5017
0007 | 06:49:34 |  13.1s | 1.0e-04 | 0.0578 | 0.8910 | 0.8304 | 0.6136 | 0.0545 | 0.8928 | 0.8074 | 0.5510
0008 | 06:49:57 |  13.0s | 1.0e-04 | 0.0578 | 0.8931 | 0.8352 | 0.6278 | 0.0558 | 0.8435 | 0.8452 | 0.5185
0009 | 06:50:19 |  12.8s | 1.0e-04 | 0.0547 | 0.8962 | 0.8345 | 0.6301 | 0.0530 | 0.9151 | 0.7942 | 0.6005
0010 | 06:50:41 |  12.9s | 1.0e-04 | 0.0538 | 0.8982 | 0.8416 | 0.6552 | 0.0517 | 0.8860 | 0.8365 | 0.6118
0011 | 06:51:04 |  13.0s | 1.0e-04 | 0.0524 | 0.8978 | 0.8438 | 0.6664 | 0.0496 | 0.8820 | 0.8375 | 0.6080
0012 | 06:51:26 |  12.8s | 1.0e-04 | 0.0512 | 0.8999 | 0.8509 | 0.6893 | 0.0496 | 0.9172 | 0.8056 | 0.6622
0013 | 06:51:48 |  12.9s | 1.0e-04 | 0.0494 | 0.9015 | 0.8553 | 0.7155 | 0.0449 | 0.8870 | 0.8545 | 0.7048
0014 | 06:52:11 |  13.6s | 1.0e-04 | 0.0499 | 0.8993 | 0.8560 | 0.7197 | 0.0502 | 0.9194 | 0.8026 | 0.6608
0015 | 06:52:34 |  13.2s | 1.0e-04 | 0.0474 | 0.9033 | 0.8632 | 0.7508 | 0.0445 | 0.9028 | 0.8331 | 0.7079
0016 | 06:52:57 |  12.8s | 1.0e-04 | 0.0458 | 0.9059 | 0.8661 | 0.7581 | 0.0418 | 0.8901 | 0.8731 | 0.7316
0017 | 06:53:19 |  20.6s | 1.0e-04 | 0.0451 | 0.9050 | 0.8682 | 0.7618 | 0.0451 | 0.9173 | 0.8133 | 0.7045
0018 | 06:53:49 |  13.2s | 1.0e-04 | 0.0432 | 0.9064 | 0.8671 | 0.7644 | 0.0415 | 0.8774 | 0.8770 | 0.7404
0019 | 06:54:12 |  13.5s | 1.0e-04 | 0.0428 | 0.9081 | 0.8706 | 0.7697 | 0.0400 | 0.8827 | 0.8823 | 0.7436
0020 | 06:54:35 |  12.9s | 1.0e-04 | 0.0408 | 0.9110 | 0.8773 | 0.7901 | 0.0402 | 0.8952 | 0.8707 | 0.7539
0021 | 06:54:57 |  21.9s | 1.0e-04 | 0.0415 | 0.9117 | 0.8792 | 0.7946 | 0.0398 | 0.9236 | 0.8600 | 0.7814
0022 | 06:55:29 |  13.0s | 1.0e-04 | 0.0400 | 0.9110 | 0.8748 | 0.7838 | 0.0392 | 0.8966 | 0.8871 | 0.7716
0023 | 06:55:51 |  12.9s | 1.0e-04 | 0.0385 | 0.9125 | 0.8837 | 0.7975 | 0.0384 | 0.8942 | 0.8782 | 0.7649
0024 | 06:56:13 |  12.8s | 1.0e-04 | 0.0385 | 0.9119 | 0.8768 | 0.7884 | 0.0390 | 0.8784 | 0.8965 | 0.7843
0025 | 06:56:36 |  12.8s | 1.0e-04 | 0.0381 | 0.9139 | 0.8804 | 0.7991 | 0.0394 | 0.8786 | 0.8984 | 0.7737
0026 | 06:56:58 |  12.9s | 1.0e-04 | 0.0367 | 0.9135 | 0.8857 | 0.8154 | 0.0368 | 0.9208 | 0.8677 | 0.8018
0027 | 06:57:20 |  12.9s | 1.0e-04 | 0.0364 | 0.9135 | 0.8878 | 0.8168 | 0.0365 | 0.8827 | 0.9015 | 0.7954
0028 | 06:57:43 |  12.8s | 1.0e-04 | 0.0356 | 0.9149 | 0.8880 | 0.8202 | 0.0421 | 0.8443 | 0.9294 | 0.7963
0029 | 06:58:05 |  12.9s | 1.0e-04 | 0.0358 | 0.9135 | 0.8887 | 0.8175 | 0.0362 | 0.8987 | 0.8898 | 0.8031
0030 | 06:58:28 |  12.9s | 1.0e-04 | 0.0352 | 0.9158 | 0.8919 | 0.8336 | 0.0373 | 0.9111 | 0.8742 | 0.8121
0031 | 06:58:50 |  13.1s | 1.0e-04 | 0.0346 | 0.9164 | 0.8928 | 0.8329 | 0.0355 | 0.8980 | 0.8978 | 0.8117
0032 | 06:59:13 |  12.8s | 1.0e-04 | 0.0334 | 0.9213 | 0.8948 | 0.8401 | 0.0362 | 0.8948 | 0.8886 | 0.7953
0033 | 06:59:35 |  12.9s | 1.0e-04 | 0.0331 | 0.9188 | 0.8972 | 0.8420 | 0.0363 | 0.9039 | 0.8892 | 0.8153
0034 | 06:59:57 |  12.9s | 1.0e-04 | 0.0327 | 0.9216 | 0.9000 | 0.8478 | 0.0332 | 0.9232 | 0.8832 | 0.8324
0035 | 07:00:19 |  13.0s | 1.0e-04 | 0.0334 | 0.9198 | 0.8983 | 0.8463 | 0.0340 | 0.9067 | 0.8956 | 0.8339
0036 | 07:00:42 |  12.9s | 1.0e-04 | 0.0320 | 0.9215 | 0.8979 | 0.8473 | 0.0334 | 0.8999 | 0.9133 | 0.8463
0037 | 07:01:04 |  12.9s | 1.0e-04 | 0.0308 | 0.9248 | 0.9070 | 0.8682 | 0.0332 | 0.9142 | 0.8970 | 0.8379
0038 | 07:01:27 |  20.4s | 1.0e-04 | 0.0311 | 0.9257 | 0.9095 | 0.8686 | 0.0338 | 0.9241 | 0.8879 | 0.8368
0039 | 07:01:56 |  13.0s | 1.0e-04 | 0.0327 | 0.9235 | 0.9079 | 0.8683 | 0.0316 | 0.9127 | 0.8970 | 0.8413
0040 | 07:02:19 |  12.7s | 1.0e-04 | 0.0311 | 0.9259 | 0.9086 | 0.8739 | 0.0351 | 0.8792 | 0.9313 | 0.8432
0041 | 07:02:41 |  12.7s | 1.0e-04 | 0.0310 | 0.9277 | 0.9140 | 0.8826 | 0.0324 | 0.9167 | 0.8879 | 0.8392
0042 | 07:03:03 |  21.1s | 1.0e-04 | 0.0298 | 0.9297 | 0.9169 | 0.8884 | 0.0335 | 0.8902 | 0.9276 | 0.8522
0043 | 07:03:34 |  12.4s | 1.0e-04 | 0.0296 | 0.9292 | 0.9180 | 0.8899 | 0.0322 | 0.8996 | 0.9124 | 0.8414
0044 | 07:03:56 |  12.6s | 1.0e-04 | 0.0296 | 0.9303 | 0.9181 | 0.8899 | 0.0309 | 0.9152 | 0.9074 | 0.8588
0045 | 07:04:18 |  12.4s | 1.0e-04 | 0.0299 | 0.9303 | 0.9158 | 0.8870 | 0.0304 | 0.9058 | 0.9149 | 0.8536
0046 | 07:04:40 |  12.4s | 1.0e-04 | 0.0293 | 0.9296 | 0.9165 | 0.8889 | 0.0324 | 0.8989 | 0.9259 | 0.8598
0047 | 07:05:02 |  12.7s | 1.0e-04 | 0.0287 | 0.9314 | 0.9184 | 0.8915 | 0.0322 | 0.9276 | 0.8992 | 0.8706
0048 | 07:05:24 |  12.3s | 1.0e-04 | 0.0289 | 0.9294 | 0.9227 | 0.8965 | 0.0311 | 0.9310 | 0.9011 | 0.8705
0049 | 07:05:46 |  12.8s | 1.0e-04 | 0.0290 | 0.9292 | 0.9170 | 0.8890 | 0.0306 | 0.9111 | 0.9096 | 0.8500
0050 | 07:06:08 |  12.4s | 1.0e-04 | 0.0282 | 0.9324 | 0.9232 | 0.9014 | 0.0307 | 0.9104 | 0.9183 | 0.8671
0051 | 07:06:30 |  13.0s | 1.0e-04 | 0.0283 | 0.9331 | 0.9212 | 0.8955 | 0.0313 | 0.9041 | 0.9120 | 0.8411
0052 | 07:06:52 |  12.9s | 1.0e-04 | 0.0282 | 0.9307 | 0.9221 | 0.8971 | 0.0318 | 0.9096 | 0.9174 | 0.8601
0053 | 07:07:14 |  12.5s | 1.0e-04 | 0.0282 | 0.9324 | 0.9226 | 0.9015 | 0.0299 | 0.9227 | 0.9080 | 0.8656
0054 | 07:07:36 |  12.4s | 1.0e-04 | 0.0283 | 0.9306 | 0.9232 | 0.8979 | 0.0305 | 0.9149 | 0.9093 | 0.8591
0055 | 07:07:58 |  12.4s | 1.0e-04 | 0.0274 | 0.9325 | 0.9238 | 0.9034 | 0.0288 | 0.9306 | 0.9045 | 0.8810
0056 | 07:08:20 |  12.3s | 1.0e-04 | 0.0273 | 0.9329 | 0.9239 | 0.9027 | 0.0302 | 0.9350 | 0.8917 | 0.8654
