Epoch | Time_Start | Duration | LR | T_Loss | T_Prec | T_Rec | T_P@R0.95 | V_Loss | V_Prec | V_Rec | V_P@R0.95
0001 | 15:45:43 |  24.3s | 1.0e-04 | 0.1234 | 0.7430 | 0.5866 | 0.2427 | 0.0781 | 0.8401 | 0.6729 | 0.3541
0002 | 15:46:18 |  12.1s | 1.0e-04 | 0.0820 | 0.8469 | 0.7219 | 0.4083 | 0.0736 | 0.8314 | 0.7426 | 0.3984
0003 | 15:46:41 |  12.0s | 1.0e-04 | 0.0738 | 0.8611 | 0.7538 | 0.4540 | 0.0695 | 0.8543 | 0.7406 | 0.4413
0004 | 15:47:04 |  12.0s | 1.0e-04 | 0.0700 | 0.8647 | 0.7799 | 0.5041 | 0.0701 | 0.7579 | 0.8536 | 0.4770
0005 | 15:47:26 |  12.4s | 1.0e-04 | 0.0622 | 0.8806 | 0.8043 | 0.5425 | 0.0594 | 0.9022 | 0.7501 | 0.4875
0006 | 15:47:51 |  12.5s | 1.0e-04 | 0.0609 | 0.8838 | 0.8117 | 0.5674 | 0.0553 | 0.8769 | 0.8087 | 0.5324
0007 | 15:48:17 |  12.4s | 1.0e-04 | 0.0562 | 0.8916 | 0.8254 | 0.6078 | 0.0544 | 0.8804 | 0.8191 | 0.5915
0008 | 15:48:41 |  12.8s | 1.0e-04 | 0.0549 | 0.8949 | 0.8310 | 0.6243 | 0.0545 | 0.8486 | 0.8417 | 0.5418
0009 | 15:49:05 |  12.7s | 1.0e-04 | 0.0521 | 0.8943 | 0.8391 | 0.6540 | 0.0513 | 0.8724 | 0.8464 | 0.5990
0010 | 15:49:29 |  12.6s | 1.0e-04 | 0.0507 | 0.8993 | 0.8454 | 0.6818 | 0.0462 | 0.8969 | 0.8325 | 0.6917
0011 | 15:49:54 |  12.6s | 1.0e-04 | 0.0495 | 0.9013 | 0.8562 | 0.7143 | 0.0444 | 0.9013 | 0.8289 | 0.6883
0012 | 15:50:21 |  12.4s | 1.0e-04 | 0.0499 | 0.8977 | 0.8522 | 0.7044 | 0.0439 | 0.8823 | 0.8702 | 0.7330
0013 | 15:50:45 |  12.7s | 1.0e-04 | 0.0476 | 0.9038 | 0.8592 | 0.7290 | 0.0451 | 0.9369 | 0.8061 | 0.7629
0014 | 15:51:08 |  12.9s | 1.0e-04 | 0.0458 | 0.9061 | 0.8654 | 0.7522 | 0.0414 | 0.8887 | 0.8763 | 0.7562
0015 | 15:51:33 |  13.1s | 1.0e-04 | 0.0447 | 0.9051 | 0.8622 | 0.7477 | 0.0427 | 0.8893 | 0.8666 | 0.7575
0016 | 15:51:58 |  12.6s | 1.0e-04 | 0.0436 | 0.9033 | 0.8662 | 0.7620 | 0.0417 | 0.9145 | 0.8493 | 0.7560
0017 | 15:52:24 |  12.2s | 1.0e-04 | 0.0435 | 0.9078 | 0.8719 | 0.7728 | 0.0406 | 0.8835 | 0.8746 | 0.7430
0018 | 15:52:49 |  12.6s | 1.0e-04 | 0.0437 | 0.9059 | 0.8701 | 0.7681 | 0.0406 | 0.8822 | 0.8897 | 0.7607
0019 | 15:53:12 |  12.9s | 1.0e-04 | 0.0427 | 0.9083 | 0.8745 | 0.7803 | 0.0394 | 0.8780 | 0.8787 | 0.7528
0020 | 15:53:36 |  13.1s | 1.0e-04 | 0.0415 | 0.9076 | 0.8718 | 0.7807 | 0.0403 | 0.8786 | 0.8976 | 0.7771
0021 | 15:54:01 |  24.5s | 1.0e-04 | 0.0411 | 0.9111 | 0.8784 | 0.7910 | 0.0408 | 0.8849 | 0.8851 | 0.7624
0022 | 15:54:36 |  12.5s | 1.0e-04 | 0.0387 | 0.9131 | 0.8776 | 0.7881 | 0.0402 | 0.9075 | 0.8615 | 0.7706
0023 | 15:55:01 |  12.3s | 1.0e-04 | 0.0361 | 0.9180 | 0.8804 | 0.7992 | 0.0403 | 0.8699 | 0.9024 | 0.7829
0024 | 15:55:27 |  12.4s | 1.0e-04 | 0.0369 | 0.9168 | 0.8826 | 0.8061 | 0.0406 | 0.8812 | 0.9018 | 0.7867
0025 | 15:55:51 |  12.3s | 1.0e-04 | 0.0361 | 0.9179 | 0.8841 | 0.8092 | 0.0375 | 0.9008 | 0.8808 | 0.7944
0026 | 15:56:15 |  12.6s | 1.0e-04 | 0.0354 | 0.9208 | 0.8904 | 0.8254 | 0.0447 | 0.8585 | 0.8939 | 0.7145
0027 | 15:56:39 |  12.4s | 1.0e-04 | 0.0344 | 0.9213 | 0.8927 | 0.8335 | 0.0364 | 0.8985 | 0.8934 | 0.8018
0028 | 15:57:03 |  12.2s | 1.0e-04 | 0.0345 | 0.9197 | 0.8923 | 0.8299 | 0.0358 | 0.8808 | 0.9192 | 0.8260
0029 | 15:57:29 |  12.5s | 1.0e-04 | 0.0327 | 0.9257 | 0.8946 | 0.8396 | 0.0380 | 0.8963 | 0.8937 | 0.8052
0030 | 15:57:54 |  12.3s | 1.0e-04 | 0.0319 | 0.9257 | 0.8978 | 0.8478 | 0.0351 | 0.9233 | 0.8787 | 0.8178
0031 | 15:58:17 |  12.6s | 1.0e-04 | 0.0316 | 0.9250 | 0.8999 | 0.8496 | 0.0342 | 0.8978 | 0.9014 | 0.8120
0032 | 15:58:43 |  12.3s | 1.0e-04 | 0.0315 | 0.9267 | 0.9033 | 0.8601 | 0.0368 | 0.9341 | 0.8546 | 0.8159
0033 | 15:59:07 |  12.4s | 1.0e-04 | 0.0305 | 0.9276 | 0.9050 | 0.8637 | 0.0349 | 0.8950 | 0.9095 | 0.8271
