Epoch | Time_Start | Duration | LR | T_Loss | T_Prec | T_Rec | T_P@R0.95 | V_Loss | V_Prec | V_Rec | V_P@R0.95
0001 | 15:47:36 |  30.4s | 1.0e-04 | 0.1083 | 0.7743 | 0.6619 | 0.2596 | 0.0703 | 0.8817 | 0.7592 | 0.4581
0002 | 15:48:20 |  17.5s | 1.0e-04 | 0.0634 | 0.8898 | 0.7996 | 0.5131 | 0.0627 | 0.9178 | 0.7212 | 0.4601
0003 | 15:48:50 |  17.6s | 1.0e-04 | 0.0560 | 0.9020 | 0.8176 | 0.5680 | 0.0584 | 0.8758 | 0.8035 | 0.5231
0004 | 15:49:20 |  17.5s | 1.0e-04 | 0.0541 | 0.9021 | 0.8298 | 0.6141 | 0.0573 | 0.9093 | 0.7758 | 0.5310
0005 | 15:49:51 |  17.5s | 1.0e-04 | 0.0514 | 0.9036 | 0.8298 | 0.6224 | 0.0530 | 0.9046 | 0.8068 | 0.5870
0006 | 15:50:22 |  17.6s | 1.0e-04 | 0.0515 | 0.9068 | 0.8428 | 0.6576 | 0.0526 | 0.8714 | 0.8339 | 0.5671
0007 | 15:50:52 |  17.5s | 1.0e-04 | 0.0484 | 0.9092 | 0.8439 | 0.6749 | 0.0521 | 0.8581 | 0.8467 | 0.5727
0008 | 15:51:22 |  17.5s | 1.0e-04 | 0.0495 | 0.9107 | 0.8449 | 0.6861 | 0.0522 | 0.8762 | 0.8427 | 0.5851
0009 | 15:51:52 |  17.5s | 1.0e-04 | 0.0487 | 0.9122 | 0.8490 | 0.6870 | 0.0508 | 0.9133 | 0.8023 | 0.6190
0010 | 15:52:23 |  17.7s | 1.0e-04 | 0.0464 | 0.9110 | 0.8528 | 0.7044 | 0.0481 | 0.9060 | 0.8397 | 0.6740
0011 | 15:52:54 |  17.6s | 1.0e-04 | 0.0454 | 0.9128 | 0.8567 | 0.7198 | 0.0483 | 0.9147 | 0.8239 | 0.6659
0012 | 15:53:24 |  17.6s | 1.0e-04 | 0.0450 | 0.9119 | 0.8588 | 0.7297 | 0.0473 | 0.9112 | 0.8174 | 0.6540
