timestamp,gpu_id,name,utilization_gpu_pct,utilization_mem_pct,memory_used_mib,memory_total_mib,temperature_gpu_c,power_draw_w
2026/03/25 18:16:22.874,0,NVIDIA GeForce RTX 4090,0,0,2642,24564,35,123.30
2026/03/25 18:16:22.880,1,NVIDIA GeForce RTX 4080,3,3,14457,16376,40,119.98
2026/03/25 18:16:52.935,0,NVIDIA GeForce RTX 4090,49,33,2642,24564,37,288.30
2026/03/25 18:16:52.966,1,NVIDIA GeForce RTX 4080,0,0,14457,16376,40,135.08
2026/03/25 18:17:23.014,0,NVIDIA GeForce RTX 4090,0,0,2642,24564,35,77.08
2026/03/25 18:17:23.021,1,NVIDIA GeForce RTX 4080,0,0,14457,16376,39,65.51
2026/03/25 18:17:53.076,0,NVIDIA GeForce RTX 4090,67,47,2642,24564,44,186.44
2026/03/25 18:17:53.082,1,NVIDIA GeForce RTX 4080,70,45,14457,16376,53,113.49
2026/03/25 18:18:23.135,0,NVIDIA GeForce RTX 4090,0,0,2642,24564,36,104.70
2026/03/25 18:18:23.140,1,NVIDIA GeForce RTX 4080,77,51,14457,16376,54,251.58
2026/03/25 18:18:53.195,0,NVIDIA GeForce RTX 4090,0,0,2642,24564,35,66.82
2026/03/25 18:18:53.200,1,NVIDIA GeForce RTX 4080,0,0,14457,16376,38,57.04
2026/03/25 18:19:23.250,0,NVIDIA GeForce RTX 4090,0,0,2642,24564,35,66.18
2026/03/25 18:19:23.256,1,NVIDIA GeForce RTX 4080,8,7,14457,16376,39,57.13
2026/03/25 18:19:53.306,0,NVIDIA GeForce RTX 4090,0,0,2642,24564,36,162.56
2026/03/25 18:19:53.317,1,NVIDIA GeForce RTX 4080,0,0,14457,16376,39,74.41
2026/03/25 18:20:23.371,0,NVIDIA GeForce RTX 4090,62,42,2642,24564,43,184.01
2026/03/25 18:20:23.377,1,NVIDIA GeForce RTX 4080,0,0,14457,16376,39,74.28
2026/03/25 18:20:53.431,0,NVIDIA GeForce RTX 4090,0,0,2642,24564,37,223.80
2026/03/25 18:20:53.437,1,NVIDIA GeForce RTX 4080,76,57,14457,16376,53,179.07
2026/03/25 18:21:23.493,0,NVIDIA GeForce RTX 4090,0,0,2642,24564,40,83.43
2026/03/25 18:21:23.499,1,NVIDIA GeForce RTX 4080,82,57,14457,16376,52,161.65
2026/03/25 18:21:53.552,0,NVIDIA GeForce RTX 4090,0,0,2642,24564,36,116.69
2026/03/25 18:21:53.557,1,NVIDIA GeForce RTX 4080,0,0,14457,16376,40,114.33
2026/03/25 18:22:23.610,0,NVIDIA GeForce RTX 4090,0,0,2642,24564,36,118.94
2026/03/25 18:22:23.616,1,NVIDIA GeForce RTX 4080,0,0,14457,16376,41,149.53
2026/03/25 18:22:53.667,0,NVIDIA GeForce RTX 4090,64,44,2642,24564,41,174.23
2026/03/25 18:22:53.673,1,NVIDIA GeForce RTX 4080,78,52,14457,16376,51,241.38
2026/03/25 18:23:23.726,0,NVIDIA GeForce RTX 4090,0,0,2642,24564,36,149.85
2026/03/25 18:23:23.731,1,NVIDIA GeForce RTX 4080,71,48,14457,16376,55,247.52
2026/03/25 18:23:53.787,0,NVIDIA GeForce RTX 4090,0,0,2642,24564,36,110.47
2026/03/25 18:23:53.792,1,NVIDIA GeForce RTX 4080,65,44,14457,16376,54,244.57
2026/03/25 18:24:23.846,0,NVIDIA GeForce RTX 4090,0,0,2642,24564,37,240.66
2026/03/25 18:24:23.852,1,NVIDIA GeForce RTX 4080,71,47,14457,16376,54,244.96
2026/03/25 18:24:53.945,0,NVIDIA GeForce RTX 4090,0,0,2642,24564,36,67.41
2026/03/25 18:24:53.951,1,NVIDIA GeForce RTX 4080,75,51,14457,16376,52,254.08
2026/03/25 18:25:24.038,0,NVIDIA GeForce RTX 4090,0,0,2642,24564,36,92.88
2026/03/25 18:25:24.044,1,NVIDIA GeForce RTX 4080,74,49,14457,16376,52,251.13
2026/03/25 18:25:54.097,0,NVIDIA GeForce RTX 4090,0,0,2,24564,32,25.96
2026/03/25 18:25:54.111,1,NVIDIA GeForce RTX 4080,0,0,11678,16376,37,60.09
2026/03/25 18:26:24.160,0,NVIDIA GeForce RTX 4090,0,0,2,24564,33,25.91
2026/03/25 18:26:24.168,1,NVIDIA GeForce RTX 4080,0,0,11678,16376,35,59.92
2026/03/25 18:26:54.218,0,NVIDIA GeForce RTX 4090,0,0,2180,24564,38,79.60
2026/03/25 18:26:54.223,1,NVIDIA GeForce RTX 4080,0,0,11965,16376,34,56.54
2026/03/25 18:27:24.276,0,NVIDIA GeForce RTX 4090,56,39,2180,24564,41,328.74
2026/03/25 18:27:24.282,1,NVIDIA GeForce RTX 4080,82,55,13599,16376,53,277.63
2026/03/25 18:27:54.343,0,NVIDIA GeForce RTX 4090,73,50,2180,24564,46,335.15
2026/03/25 18:27:54.350,1,NVIDIA GeForce RTX 4080,79,52,13599,16376,53,241.49
2026/03/25 18:28:24.404,0,NVIDIA GeForce RTX 4090,0,0,2518,24564,35,66.47
2026/03/25 18:28:24.409,1,NVIDIA GeForce RTX 4080,0,0,13811,16376,39,60.39
2026/03/25 18:28:54.460,0,NVIDIA GeForce RTX 4090,0,0,2518,24564,38,237.78
2026/03/25 18:28:54.469,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,41,150.32
2026/03/25 18:29:24.514,0,NVIDIA GeForce RTX 4090,69,48,2518,24564,44,320.80
2026/03/25 18:29:24.523,1,NVIDIA GeForce RTX 4080,83,54,14149,16376,53,250.19
2026/03/25 18:29:54.577,0,NVIDIA GeForce RTX 4090,0,0,2518,24564,36,67.60
2026/03/25 18:29:54.584,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,40,56.83
2026/03/25 18:30:24.623,0,NVIDIA GeForce RTX 4090,0,0,2518,24564,36,67.39
2026/03/25 18:30:24.628,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,40,70.46
2026/03/25 18:30:54.677,0,NVIDIA GeForce RTX 4090,0,0,2518,24564,37,68.18
2026/03/25 18:30:54.682,1,NVIDIA GeForce RTX 4080,10,9,14149,16376,44,201.75
2026/03/25 18:31:24.733,0,NVIDIA GeForce RTX 4090,0,0,2518,24564,37,67.79
2026/03/25 18:31:24.741,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,39,60.38
2026/03/25 18:31:54.790,0,NVIDIA GeForce RTX 4090,14,9,2518,24564,41,73.63
2026/03/25 18:31:54.799,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,40,60.74
2026/03/25 18:32:24.848,0,NVIDIA GeForce RTX 4090,83,57,2518,24564,49,356.08
2026/03/25 18:32:24.857,1,NVIDIA GeForce RTX 4080,21,21,14149,16376,43,79.41
2026/03/25 18:32:54.906,0,NVIDIA GeForce RTX 4090,77,54,2518,24564,47,318.85
2026/03/25 18:32:54.916,1,NVIDIA GeForce RTX 4080,79,53,14149,16376,52,189.52
2026/03/25 18:33:25.008,0,NVIDIA GeForce RTX 4090,67,47,2520,24564,44,301.39
2026/03/25 18:33:25.015,1,NVIDIA GeForce RTX 4080,84,56,14149,16376,54,121.22
2026/03/25 18:33:55.059,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,39,127.94
2026/03/25 18:33:55.064,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,41,70.92
2026/03/25 18:34:25.114,0,NVIDIA GeForce RTX 4090,0,0,2520,24564,37,68.87
2026/03/25 18:34:25.120,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,41,57.30
2026/03/25 18:34:55.170,0,NVIDIA GeForce RTX 4090,55,39,2520,24564,44,318.99
2026/03/25 18:34:55.179,1,NVIDIA GeForce RTX 4080,0,0,14149,16376,44,121.74
2026/03/25 18:35:25.238,0,NVIDIA GeForce RTX 4090,74,52,2520,24564,46,328.34
2026/03/25 18:35:25.251,1,NVIDIA GeForce RTX 4080,75,50,14149,16376,56,265.45
2026/03/25 18:35:55.303,0,NVIDIA GeForce RTX 4090,47,31,2520,24564,41,153.73
2026/03/25 18:35:55.308,1,NVIDIA GeForce RTX 4080,80,57,14149,16376,58,264.90
2026/03/25 18:36:25.352,0,NVIDIA GeForce RTX 4090,77,53,2520,24564,46,342.78
