timestamp,utilization_gpu,power_draw,memory_used
2026/03/29 14:17:21.176, 0, 27.68, 2
2026/03/29 14:17:21.183, 0, 34.65, 2
2026/03/29 14:17:22.231, 0, 27.87, 2
2026/03/29 14:17:22.238, 0, 34.85, 2
2026/03/29 14:17:23.288, 0, 28.20, 2
2026/03/29 14:17:23.295, 0, 34.93, 2
2026/03/29 14:17:24.349, 0, 28.15, 2
2026/03/29 14:17:24.355, 0, 34.88, 2
2026/03/29 14:17:25.411, 0, 27.79, 2
2026/03/29 14:17:25.418, 0, 34.69, 2
2026/03/29 14:17:26.459, 0, 27.62, 2
2026/03/29 14:17:26.467, 0, 34.69, 2
2026/03/29 14:17:27.516, 0, 27.69, 2
2026/03/29 14:17:27.523, 0, 34.79, 2
2026/03/29 14:17:28.567, 0, 27.86, 2
2026/03/29 14:17:28.575, 0, 34.95, 2
2026/03/29 14:17:29.626, 0, 27.97, 2
2026/03/29 14:17:29.634, 0, 35.02, 2
2026/03/29 14:17:30.679, 0, 27.94, 2
2026/03/29 14:17:30.686, 0, 34.89, 2
2026/03/29 14:17:31.725, 0, 27.77, 2
2026/03/29 14:17:31.730, 0, 34.57, 2
2026/03/29 14:17:32.784, 0, 27.99, 2
2026/03/29 14:17:32.789, 0, 34.29, 4
2026/03/29 14:17:33.833, 0, 28.06, 2
2026/03/29 14:17:33.838, 0, 34.27, 4
2026/03/29 14:17:34.880, 0, 27.90, 2
2026/03/29 14:17:34.884, 0, 34.48, 4
2026/03/29 14:17:35.924, 0, 27.81, 2
2026/03/29 14:17:35.928, 0, 34.52, 4
2026/03/29 14:17:36.983, 0, 27.73, 2
2026/03/29 14:17:36.987, 0, 34.50, 4
2026/03/29 14:17:38.029, 0, 27.61, 2
2026/03/29 14:17:38.033, 0, 34.45, 4
2026/03/29 14:17:39.087, 0, 27.62, 2
2026/03/29 14:17:39.091, 0, 34.23, 4
2026/03/29 14:17:40.142, 0, 27.67, 2
2026/03/29 14:17:40.146, 0, 34.13, 4
2026/03/29 14:17:41.188, 0, 27.59, 2
2026/03/29 14:17:41.192, 0, 34.30, 4
2026/03/29 14:17:42.242, 0, 27.52, 2
2026/03/29 14:17:42.246, 1, 38.86, 248
2026/03/29 14:17:43.299, 0, 27.47, 2
2026/03/29 14:17:43.305, 0, 54.54, 292
2026/03/29 14:17:44.363, 0, 27.52, 2
2026/03/29 14:17:44.368, 0, 54.22, 292
2026/03/29 14:17:45.404, 0, 27.72, 2
2026/03/29 14:17:45.408, 0, 54.36, 292
2026/03/29 14:17:46.461, 0, 27.62, 2
2026/03/29 14:17:46.466, 0, 54.45, 292
2026/03/29 14:17:47.516, 0, 27.34, 2
2026/03/29 14:17:47.527, 0, 54.43, 292
2026/03/29 14:17:48.587, 0, 27.27, 2
2026/03/29 14:17:48.591, 0, 54.47, 292
2026/03/29 14:17:49.632, 0, 27.30, 2
2026/03/29 14:17:49.637, 0, 54.56, 292
2026/03/29 14:17:50.687, 0, 27.34, 2
2026/03/29 14:17:50.695, 0, 54.78, 292
2026/03/29 14:17:51.738, 0, 27.36, 2
2026/03/29 14:17:51.742, 0, 55.28, 292
2026/03/29 14:17:52.790, 0, 27.48, 2
2026/03/29 14:17:52.795, 0, 55.28, 292
2026/03/29 14:17:53.848, 0, 27.56, 2
2026/03/29 14:17:53.852, 0, 55.31, 328
2026/03/29 14:17:54.909, 0, 27.46, 2
2026/03/29 14:17:54.914, 0, 55.57, 328
2026/03/29 14:17:55.959, 0, 27.40, 2
2026/03/29 14:17:55.964, 0, 55.27, 328
2026/03/29 14:17:57.003, 0, 27.43, 2
2026/03/29 14:17:57.007, 0, 55.13, 328
2026/03/29 14:17:58.053, 0, 27.20, 2
2026/03/29 14:17:58.057, 0, 54.94, 328
2026/03/29 14:17:59.097, 0, 27.19, 2
2026/03/29 14:17:59.101, 0, 54.97, 328
2026/03/29 14:18:00.141, 0, 27.29, 2
2026/03/29 14:18:00.146, 0, 55.07, 328
2026/03/29 14:18:01.193, 0, 27.44, 2
2026/03/29 14:18:01.198, 0, 55.09, 328
2026/03/29 14:18:02.241, 0, 27.47, 2
2026/03/29 14:18:02.246, 0, 54.92, 328
2026/03/29 14:18:03.293, 0, 27.46, 2
2026/03/29 14:18:03.297, 0, 54.76, 328
2026/03/29 14:18:04.348, 0, 27.38, 2
2026/03/29 14:18:04.352, 0, 54.79, 328
2026/03/29 14:18:05.399, 0, 27.43, 2
2026/03/29 14:18:05.403, 0, 54.90, 328
2026/03/29 14:18:06.455, 0, 27.55, 2
2026/03/29 14:18:06.459, 0, 54.91, 328
2026/03/29 14:18:07.511, 0, 27.62, 2
2026/03/29 14:18:07.517, 0, 54.98, 328
2026/03/29 14:18:08.563, 0, 27.68, 2
2026/03/29 14:18:08.568, 0, 55.07, 328
2026/03/29 14:18:09.618, 0, 27.76, 2
2026/03/29 14:18:09.622, 0, 54.78, 328
2026/03/29 14:18:10.675, 0, 27.66, 2
2026/03/29 14:18:10.683, 0, 54.79, 328
2026/03/29 14:18:11.723, 0, 27.35, 2
2026/03/29 14:18:11.727, 0, 54.96, 328
2026/03/29 14:18:12.765, 0, 27.22, 2
2026/03/29 14:18:12.769, 0, 49.16, 328
2026/03/29 14:18:13.807, 0, 27.14, 2
2026/03/29 14:18:13.814, 0, 39.78, 328
2026/03/29 14:18:14.856, 0, 27.08, 2
2026/03/29 14:18:14.860, 0, 35.86, 328
2026/03/29 14:18:15.903, 0, 27.24, 2
2026/03/29 14:18:15.907, 0, 35.53, 328
2026/03/29 14:18:16.950, 0, 27.51, 2
2026/03/29 14:18:16.954, 0, 35.44, 2
2026/03/29 14:18:17.998, 0, 27.26, 2
2026/03/29 14:18:18.002, 0, 35.42, 2
2026/03/29 14:18:19.055, 0, 27.23, 2
2026/03/29 14:18:19.061, 0, 35.42, 2
2026/03/29 14:18:20.116, 0, 27.21, 2
2026/03/29 14:18:20.120, 0, 35.40, 2
2026/03/29 14:18:21.179, 0, 27.15, 2
2026/03/29 14:18:21.184, 0, 35.47, 2
2026/03/29 14:18:22.225, 0, 27.28, 2
2026/03/29 14:18:22.229, 0, 35.36, 2
2026/03/29 14:18:23.284, 0, 27.33, 2
2026/03/29 14:18:23.291, 0, 35.22, 2
2026/03/29 14:18:24.332, 0, 27.28, 2
2026/03/29 14:18:24.336, 0, 35.06, 2
2026/03/29 14:18:25.373, 0, 27.02, 2
2026/03/29 14:18:25.378, 0, 34.97, 2
2026/03/29 14:18:26.426, 0, 26.83, 2
2026/03/29 14:18:26.433, 0, 35.05, 2
2026/03/29 14:18:27.484, 0, 26.94, 2
2026/03/29 14:18:27.492, 0, 35.05, 2
2026/03/29 14:18:28.547, 0, 27.13, 2
2026/03/29 14:18:28.552, 0, 34.70, 2
2026/03/29 14:18:29.597, 0, 27.25, 2
2026/03/29 14:18:29.601, 0, 34.95, 2
2026/03/29 14:18:30.645, 0, 27.18, 2
2026/03/29 14:18:30.649, 0, 35.02, 2
2026/03/29 14:18:31.691, 0, 27.01, 2
2026/03/29 14:18:31.696, 0, 34.97, 2
2026/03/29 14:18:32.741, 0, 26.95, 2
2026/03/29 14:18:32.746, 0, 34.98, 2
2026/03/29 14:18:33.778, 0, 27.00, 2
2026/03/29 14:18:33.783, 0, 34.93, 2
2026/03/29 14:18:34.817, 0, 26.92, 2
2026/03/29 14:18:34.821, 0, 34.94, 2
2026/03/29 14:18:35.863, 0, 26.82, 2
2026/03/29 14:18:35.868, 0, 34.99, 2
2026/03/29 14:18:36.918, 0, 26.98, 2
2026/03/29 14:18:36.922, 0, 34.84, 2
2026/03/29 14:18:37.973, 0, 27.17, 2
2026/03/29 14:18:37.977, 0, 34.86, 2
2026/03/29 14:18:39.030, 0, 26.95, 2
2026/03/29 14:18:39.036, 0, 35.10, 2
2026/03/29 14:18:40.094, 0, 26.95, 2
2026/03/29 14:18:40.099, 0, 35.24, 2
2026/03/29 14:18:41.142, 0, 27.21, 2
