Starting C_Water Sweep around 0.226418...
C=0.22500 | P@R0.9: 0.9076
C=0.22520 | P@R0.9: 0.9077
C=0.22540 | P@R0.9: 0.9079
C=0.22560 | P@R0.9: 0.9080
C=0.22580 | P@R0.9: 0.9081
C=0.22600 | P@R0.9: 0.9081
C=0.22620 | P@R0.9: 0.9081
C=0.22640 | P@R0.9: 0.9082
C=0.22660 | P@R0.9: 0.9082
C=0.22680 | P@R0.9: 0.9081
C=0.22700 | P@R0.9: 0.9080
C=0.22720 | P@R0.9: 0.9079
C=0.22740 | P@R0.9: 0.9079
C=0.22760 | P@R0.9: 0.9078
C=0.22780 | P@R0.9: 0.9078
C=0.22800 | P@R0.9: 0.9076

Sweep complete. Plot saved to 2026-03-25_learnable_c_water/plots/c_water_sensitivity_sweep.png
